"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'42120 Officers Cost","'1,433","'1,800","'1,800",
"'42141 Drug Court Fees","'392","'650","'400",
"'42150 Jail Fees","'499","'700","'700",
"'42180 DUI Treatment Fines","'665","'600","'500",
"'42190 Data Entry Fee-Circuit Court","'332","'400","'400",
"'Total Circuit Court","'5,375","'7,150","'6,600",
"'42200 Criminal Court","'","'","'",
"'42280 DUI Treatment Fines","'332","'400","'250",
"'Total Criminal Court","'332","'400","'250",
"'42300 General Sessions Court","'","'","'",
"'42310 Fines","'10,692","'10,000","'10,000",
"'42320 Officers Cost","'30,401","'29,000","'30,800",
"'42330 Game and Fish Fines","'99","'150","'150",
"'42341 Drug Court Fees","'2,262","'2,000","'2,200",
"'42350 Jail Fees","'7,316","'7,000","'7,100",
"'42380 DUI Treatment Fines","'3,325","'3,000","'3,000",
"'42390 Data Entry Fee-General Sessions","'12,624","'11,700","'13,380",
"'Total General Sessions Court","'66,719","'62,850","'66,630",
"'42500 Chancery Court","'","'","'",
"'42520 Officers Costs","'515","'800","'500",
"'42530 Data Entry Fee-Chancery Court","'2,778","'3,000","'2,500",
"'Total Chancery Court","'3,293","'3,800","'3,000",
"'42800 Judicial District Drug Program","'","'","'",
"'42871 Courtroom Security Fee","'6,942","'8,000","'7,200",
"'Total Judicial District Drug Program","'6,942","'8,000","'7,200",
"'42900 Other Fines, Forfeitures, and Seizures","'","'","'",
"'42910 Proceeds from Confiscated Property","'2,783","'2,500","'2,700",
"'42910-STOR Proceeds from Confiscated Property-Storage","'0","'0","'35,000",
"'42990 Other Fines, Forfeitures, and Penalties","'0","'400","'0",
"'Total Other Fines, Forfeitures and Seizures","'2,783","'2,900","'37,700",
"'TOTAL FINES, FORFEITURES AND PENALTIES","'85,444","'85,100","'121,380",
"'43000 CHARGES FOR CURRENT SERVICES","'","'","'",
"'43100 General Services","'","'","'",
"'43102 Other Employee Benefit Charges/Contrib","'31,036","'25,000","'25,000",
"'43120 Patient Charges","'1,125,513","'1,200,000","'1,100,000",
"'Total Charges for General Services","'1,156,549","'1,225,000","'1,125,000",
,,,

'Confidence Scores % (Table Cell)
""'81.00585938","'92.77343750","'93.35937500","'95.60546875",
"'77.83203125","'89.06250000","'89.69726563","'91.79687500",
"'76.80664063","'87.93945313","'88.52539063","'90.62500000",
"'77.92968750","'89.20898438","'89.84375000","'91.94335938",
"'76.80664063","'87.89062500","'88.47656250","'90.57617188",
"'76.22070313","'87.25585938","'87.84179688","'89.94140625",
"'80.90820313","'92.62695313","'93.26171875","'95.45898438",
"'59.81445313","'59.81445313","'59.81445313","'59.81445313",
"'53.85742188","'61.66992188","'62.06054688","'63.57421875",
"'80.46875000","'92.08984375","'92.72460938","'94.92187500",
"'63.72070313","'63.72070313","'63.72070313","'63.72070313",
"'62.06054688","'71.04492188","'71.53320313","'73.24218750",
"'75.83007813","'86.76757813","'87.35351563","'89.45312500",
"'76.56250000","'87.59765625","'88.18359375","'90.28320313",
"'77.24609375","'88.37890625","'89.01367188","'91.11328125",
"'75.68359375","'86.62109375","'87.20703125","'89.25781250",
"'75.43945313","'86.32812500","'86.91406250","'88.96484375",
"'75.29296875","'86.18164063","'86.76757813","'88.81835938",
"'80.71289063","'92.38281250","'93.01757813","'95.21484375",
"'59.37500000","'59.37500000","'59.37500000","'59.37500000",
"'58.05664063","'66.45507813","'66.94335938","'68.50585938",
"'76.07421875","'87.06054688","'87.64648438","'89.74609375",
"'80.51757813","'92.13867188","'92.77343750","'94.97070313",
"'54.39453125","'54.39453125","'54.39453125","'54.39453125",
"'47.70507813","'54.58984375","'54.98046875","'56.29882813",
"'80.51757813","'92.13867188","'92.77343750","'94.97070313",
"'59.61914063","'59.61914063","'59.61914063","'59.61914063",
"'62.79296875","'71.87500000","'72.36328125","'74.07226563",
"'73.09570313","'83.69140625","'84.22851563","'86.23046875",
"'73.68164063","'84.32617188","'84.86328125","'86.91406250",
"'80.27343750","'91.89453125","'92.48046875","'94.67773438",
"'79.83398438","'91.35742188","'91.99218750","'94.18945313",
"'47.36328125","'47.36328125","'47.36328125","'47.36328125",
"'42.62695313","'42.62695313","'42.62695313","'42.62695313",
"'71.43554688","'81.73828125","'82.27539063","'84.27734375",
"'73.53515625","'84.17968750","'84.76562500","'86.76757813",
"'81.00585938","'92.77343750","'93.35937500","'95.60546875",
