"'Account No. Description","'Actual 2022-2023","'Original Estimate 2023-2024","'Estimate 2024-2025",
"'ESTIMATED EXPENDITURES","'","'","'",
"'71000 Instruction","'","'","'",
"'71100 Regular Instruction Program","'","'","'",
"'116 Teachers","'9,006,758","'10,065,910","'10,273,253",
"'117 Career Ladder Program","'42,000","'45,000","'45,000",
"'128 Homebound Teachers","'0","'10,797","'12,000",
"'140 Salary Supplements","'334,741","'414,200","'460,000",
"'163 Educational Assistants","'347,585","'402,000","'460,000",
"'189 Other Salaries and Wages","'437,806","'405,000","'420,000",
"'198 Non-Certified Substitute Teachers","'182,692","'185,000","'175,000",
"'201 Social Security","'752,931","'1,095,393","'906,162",
"'204 State Retirement","'787,535","'972,254","'1,016,744",
"'207 Medical Insurance","'1,517,010","'2,270,840","'2,000,000",
"'212 Employer Medicare","'2,947","'0","'0",
"'215 On-behalf Payments to OPEB","'20,490","'0","'0",
"'336 Maint and Repair Service - Equipment","'16,000","'16,000","'12,000",
"'399 Other Contracted Services","'69,599","'85,000","'55,000",
"'429 Instructional Supplies and Materials","'147,908","'125,000","'125,000",
"'449 Textbooks","'181,914","'175,000","'175,000",
"'499 Other Supplies and Materials","'8,105","'10,000","'8,000",
"'599 Other Charges","'850","'0","'0",
"'722 Regular Instructional Equipment","'168,656","'100,000","'50,000",
"'Total Instructional Program","'14,025,527","'16,377,394","'16,193,159",
"'71150 Alternative Instruction Program","'","'","'",
"'116 Teachers","'114,800","'190,000","'195,000",
"'163 Educational Assistants","'19,811","'22,900","'25,000",
"'201 Social Security","'9,968","'16,287","'16,830",
"'204 State Retirement","'17,523","'19,811","'19,656",
"'207 Medical Insurance","'26,334","'33,812","'36,179",
"'355 Travel","'0","'3,000","'1,500",
"'429 Instructional Supplies and Materials","'981","'1,500","'1,500",
"'499 Other Supplies and Materials","'808","'1,500","'1,500",
"'Total Alternative Schools","'190,225","'288,810","'297,165",
"'71200 Special Education Program","'","'","'",
"'116 Teachers","'1,639,984","'1,908,233","'1,980,000",
"'124 Psychological Personnel","'67,344","'77,203","'0",
"'128 Homebound Teachers","'4,016","'15,000","'15,000",
"'163 Educational Assistants","'340,991","'406,000","'510,000",
"'171 Speech Pathologist","'189,303","'260,000","'300,000",
"'201 Social Security","'164,432","'201,971","'214,583",
"'204 State Retirement","'213,202","'237,779","'256,948",
"'207 Medical Insurance","'322,667","'359,725","'399,706",
"'212 Employer Medicare","'0","'0","'0",
,,,

'Confidence Scores % (Table Cell)
""'76.26953125","'93.35937500","'94.38476563","'94.58007813",
"'74.07226563","'74.07226563","'74.07226563","'74.07226563",
"'52.53906250","'52.53906250","'52.53906250","'52.53906250",
"'49.51171875","'49.51171875","'49.51171875","'49.51171875",
"'72.41210938","'88.67187500","'89.64843750","'89.79492188",
"'73.58398438","'90.08789063","'91.06445313","'91.25976563",
"'73.29101563","'89.74609375","'90.72265625","'90.86914063",
"'73.58398438","'90.08789063","'91.06445313","'91.25976563",
"'71.92382813","'88.03710938","'88.96484375","'89.16015625",
"'73.24218750","'89.64843750","'90.62500000","'90.77148438",
"'72.55859375","'88.81835938","'89.74609375","'89.94140625",
"'73.09570313","'89.45312500","'90.42968750","'90.62500000",
"'73.19335938","'89.59960938","'90.57617188","'90.77148438",
"'72.94921875","'89.30664063","'90.28320313","'90.47851563",
"'73.53515625","'89.99023438","'90.96679688","'91.16210938",
"'72.36328125","'88.57421875","'89.55078125","'89.69726563",
"'72.36328125","'88.57421875","'89.55078125","'89.69726563",
"'71.43554688","'87.40234375","'88.37890625","'88.52539063",
"'73.48632813","'89.94140625","'90.91796875","'91.11328125",
"'71.48437500","'87.50000000","'88.47656250","'88.62304688",
"'73.43750000","'89.89257813","'90.82031250","'91.01562500",
"'71.58203125","'87.64648438","'88.62304688","'88.76953125",
"'72.50976563","'88.76953125","'89.74609375","'89.89257813",
"'75.92773438","'92.91992188","'93.94531250","'94.14062500",
"'69.67773438","'69.67773438","'69.67773438","'69.67773438",
"'59.37500000","'72.65625000","'73.43750000","'73.63281250",
"'72.75390625","'89.01367188","'89.99023438","'90.18554688",
"'71.58203125","'87.59765625","'88.57421875","'88.72070313",
"'71.58203125","'87.64648438","'88.62304688","'88.76953125",
"'72.94921875","'89.25781250","'90.23437500","'90.42968750",
"'73.09570313","'89.45312500","'90.42968750","'90.62500000",
"'72.36328125","'88.57421875","'89.55078125","'89.69726563",
"'70.01953125","'85.69335938","'86.62109375","'86.81640625",
"'76.31835938","'93.40820313","'94.43359375","'94.62890625",
"'69.77539063","'69.77539063","'69.77539063","'69.77539063",
"'56.73828125","'69.48242188","'70.21484375","'70.36132813",
"'72.46093750","'88.72070313","'89.69726563","'89.84375000",
"'71.33789063","'87.30468750","'88.28125000","'88.47656250",
"'71.63085938","'87.69531250","'88.62304688","'88.81835938",
"'73.82812500","'90.38085938","'91.35742188","'91.55273438",
"'71.24023438","'87.20703125","'88.13476563","'88.33007813",
"'73.48632813","'89.94140625","'90.91796875","'91.11328125",
"'73.14453125","'89.55078125","'90.52734375","'90.72265625",
"'75.73242188","'92.67578125","'93.70117188","'93.89648438",
