"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'ESTIMATED EXPENDITURES","'","'","'",
"'51000 GENERAL ADMINISTRATION","'","'","'",
"'51100 County Commission","'","'","'",
"'191 Board and Committee Members Fees","'36,400","'33,600","'33,600",
"'301 Accounting Services","'0","'1,500","'1,500",
"'305 Audit Services","'10,469","'11,000","'11,500",
"'332 Legal Notices, Recording and Court Cost","'2,757","'5,000","'5,000",
"'355 Travel","'354","'2,500","'2,500",
"'719 Office Equipment","'3,383","'0","'0",
"'51210 Board of Equalization","'","'","'",
"'191 Board and Committee Members Fees","'3,315","'3,500","'3,500",
"'51220 Beer Board","'","'","'",
"'533 Criminal Investigation of Applicants","'116","'1,000","'1,000",
"'Total County Commission","'56,794","'58,100","'58,600",
"'51300 County Mayor","'","'","'",
"'101 County Official","'99,787","'104,776","'110,015",
"'140 Salary Supplement","'1,629","'0","'0",
"'161 Secretary","'33,176","'35,055","'36,458",
"'169 Part-Time Personnel","'0","'0","'0",
"'186 Longevity","'500","'0","'0",
"'332 Legal Notices, Rec & Court Cost","'385","'1,200","'1,200",
"'355 Travel","'912","'3,000","'3,000",
"'399 Other Contracted Services","'4,327","'5,000","'5,000",
"'435 Office Supplies","'933","'1,500","'1,500",
"'508 Premiums on Corp Surety Bonds","'0","'0","'0",
"'524 In-Service/Staff Development","'545","'1,500","'1,500",
"'719 Office Equipment","'400","'1,000","'1,000",
"'Total County Mayor","'142,594","'153,031","'159,673",
"'51400 County Attorney","'","'","'",
"'331 Legal Services","'33,738","'35,000","'40,000",
"'599 Other Charges(Deductibles)","'500","'5,000","'5,000",
"'Total County Attorney","'34,238","'40,000","'45,000",
"'51500 Election Commission","'","'","'",
"'101 County Official","'77,756","'81,644","'85,726",
"'106 Deputy","'33,146","'34,804","'36,197",
"'169 Part-Time Personnel","'12,224","'18,000","'19,000",
"'192 Election Commission","'5,200","'7,400","'8,400",
"'193 Election Workers","'46,547","'55,000","'60,000",
"'317 Data Processing Services","'3,502","'4,500","'4,500",
,,,

'Confidence Scores % (Table Cell)
""'65.77148438","'92.72460938","'93.35937500","'94.43359375",
"'79.93164063","'79.93164063","'79.93164063","'79.93164063",
"'50.09765625","'50.09765625","'50.09765625","'50.09765625",
"'47.07031250","'47.07031250","'47.07031250","'47.07031250",
"'61.62109375","'86.86523438","'87.45117188","'88.47656250",
"'63.28125000","'89.20898438","'89.84375000","'90.86914063",
"'63.13476563","'89.01367188","'89.59960938","'90.67382813",
"'63.42773438","'89.40429688","'89.99023438","'91.06445313",
"'59.96093750","'84.57031250","'85.15625000","'86.13281250",
"'62.40234375","'88.03710938","'88.62304688","'89.64843750",
"'48.43750000","'48.43750000","'48.43750000","'48.43750000",
"'41.38183594","'58.34960938","'58.74023438","'59.47265625",
"'49.60937500","'49.60937500","'49.60937500","'49.60937500",
"'42.35839844","'59.76562500","'60.15625000","'60.83984375",
"'65.82031250","'92.82226563","'93.45703125","'94.53125000",
"'68.84765625","'68.84765625","'68.84765625","'68.84765625",
"'55.46875000","'78.17382813","'78.71093750","'79.63867188",
"'62.89062500","'88.67187500","'89.25781250","'90.33203125",
"'62.01171875","'87.45117188","'88.03710938","'89.06250000",
"'61.13281250","'86.23046875","'86.81640625","'87.84179688",
"'62.74414063","'88.42773438","'89.01367188","'90.08789063",
"'60.88867188","'85.88867188","'86.42578125","'87.45117188",
"'61.03515625","'86.08398438","'86.66992188","'87.69531250",
"'62.30468750","'87.89062500","'88.47656250","'89.55078125",
"'62.50000000","'88.13476563","'88.72070313","'89.74609375",
"'61.71875000","'87.06054688","'87.64648438","'88.67187500",
"'58.83789063","'82.95898438","'83.54492188","'84.52148438",
"'60.44921875","'85.25390625","'85.83984375","'86.86523438",
"'65.38085938","'92.18750000","'92.77343750","'93.89648438",
"'67.72460938","'67.72460938","'67.72460938","'67.72460938",
"'49.24316406","'69.43359375","'69.92187500","'70.75195313",
"'58.78906250","'82.86132813","'83.44726563","'84.42382813",
"'65.18554688","'91.94335938","'92.57812500","'93.65234375",
"'69.33593750","'69.33593750","'69.33593750","'69.33593750",
"'52.83203125","'74.51171875","'75.00000000","'75.87890625",
"'61.91406250","'87.35351563","'87.93945313","'88.96484375",
"'63.03710938","'88.86718750","'89.45312500","'90.52734375",
"'64.11132813","'90.42968750","'91.01562500","'92.08984375",
"'63.47656250","'89.50195313","'90.08789063","'91.16210938",
"'65.38085938","'92.18750000","'92.82226563","'93.94531250",
