"'Account No. Description","'Actual 2022-2023","'Original Estimate 2023-2024","'Estimate 2024-2025",
"'131 Medical Personnel","'163,424","'360,000","'380,000",
"'189 Other Salaries & Wages","'51,020","'56,000","'57,000",
"'201 Social security","'21,085","'37,248","'46,512",
"'204 State Retirement","'27,811","'47,354","'54,720",
"'207 Medical Insurance","'22,942","'53,588","'57,339",
"'355 Travel","'4,503","'5,000","'4,000",
"'399 Other Contracted Services","'4,215","'6,000","'56,821",
"'413 Drugs and Medical Supplies","'3,819","'5,500","'5,500",
"'499 Other Supplies and Materials","'2,720","'3,500","'3,500",
"'524 Inservice","'488","'5,000","'4,000",
"'599 Other Charges","'9,068","'5,000","'5,000",
"'735 Health Equipment","'9,577","'5,500","'5,500",
"'Total Health Service","'388,925","'660,690","'850,892",
"'72130 Other Student Support","'","'","'",
"'123 Guidance Personnel","'531,343","'667,000","'685,000",
"'189 Other Salaries and Wages","'86,190","'96,184","'190,000",
"'201 Social Security","'46,374","'57,566","'66,938",
"'204 State Retirement","'61,507","'57,650","'74,885",
"'207 Medical Insurance","'65,836","'78,790","'84,305",
"'212 Employer Medicare","'11","'0","'0",
"'322 Evaluating and Testing","'40,000","'40,000","'20,000",
"'344 Payments to Schools - Other","'80,000","'80,000","'80,000",
"'355 Travel","'2,690","'5,000","'8,000",
"'399 Other Contracted Services","'24,412","'25,000","'25,000",
"'499 Other Supplies and Materials","'4,000","'4,000","'4,000",
"'524 Inservice","'0","'3,000","'3,000",
"'599 Other Charges","'1,740","'10,000","'7,000",
"'Total Other Student Support","'944,103","'1,124,190","'1,248,128",
"'72210 Regular Instruction Program","'","'","'",
"'105 Supervisor/Director","'42,100","'45,100","'119,000",
"'129 Librarians","'426,777","'475,000","'485,000",
"'161 Secretary(s)","'201,768","'220,000","'235,000",
"'162 Clerical Personnel","'215,804","'255,000","'272,000",
"'189 Other Salaries and Wages","'21,069","'20,000","'20,000",
"'201 Social Security","'66,364","'78,803","'86,522",
"'204 State Retirement","'85,188","'103,692","'113,047",
"'207 Medical Insurance","'154,660","'177,615","'190,048",
"'212 Employer Medicare","'23","'0","'0",
"'336 Maint and Repair Services - Equipment","'4,000","'4,000","'4,000",
"'355 Travel","'1,081","'5,000","'2,500",
"'399 Other Contracted Services","'14,680","'16,000","'16,000",
"'432 Library Books and Media","'8,000","'8,000","'8,000",
"'499 Other Supplies and Materials","'3,168","'6,000","'5,000",
"'524 In-Service/Staff Development","'276","'2,000","'2,000",
"'701 Administration Equipment","'0","'0","'0",
"'722 Regular Instruction Equipment","'10,000","'10,000","'0",
,,,

'Confidence Scores % (Table Cell)
""'90.08789063","'94.28710938","'95.06835938","'95.80078125",
"'86.91406250","'90.96679688","'91.74804688","'92.43164063",
"'86.42578125","'90.47851563","'91.21093750","'91.89453125",
"'87.15820313","'91.21093750","'91.94335938","'92.67578125",
"'86.86523438","'90.91796875","'91.69921875","'92.38281250",
"'87.35351563","'91.40625000","'92.13867188","'92.87109375",
"'86.18164063","'90.18554688","'90.91796875","'91.60156250",
"'86.86523438","'90.91796875","'91.69921875","'92.38281250",
"'85.40039063","'89.40429688","'90.13671875","'90.82031250",
"'86.23046875","'90.23437500","'90.96679688","'91.65039063",
"'86.13281250","'90.13671875","'90.86914063","'91.60156250",
"'86.47460938","'90.52734375","'91.25976563","'91.94335938",
"'81.54296875","'85.35156250","'86.03515625","'86.71875000",
"'89.94140625","'94.14062500","'94.92187500","'95.65429688",
"'66.55273438","'66.55273438","'66.55273438","'66.55273438",
"'76.56250000","'80.12695313","'80.81054688","'81.39648438",
"'86.13281250","'90.13671875","'90.86914063","'91.60156250",
"'86.62109375","'90.67382813","'91.40625000","'92.08984375",
"'85.54687500","'89.55078125","'90.28320313","'90.96679688",
"'86.47460938","'90.52734375","'91.25976563","'91.94335938",
"'85.35156250","'89.30664063","'90.03906250","'90.72265625",
"'85.93750000","'89.94140625","'90.67382813","'91.40625000",
"'84.47265625","'88.42773438","'89.16015625","'89.84375000",
"'85.79101563","'89.79492188","'90.52734375","'91.21093750",
"'85.88867188","'89.89257813","'90.67382813","'91.35742188",
"'85.83984375","'89.84375000","'90.57617188","'91.25976563",
"'83.59375000","'87.50000000","'88.23242188","'88.86718750",
"'83.64257813","'87.54882813","'88.28125000","'88.91601563",
"'89.59960938","'93.79882813","'94.53125000","'95.26367188",
"'63.76953125","'63.76953125","'63.76953125","'63.76953125",
"'69.58007813","'72.85156250","'73.43750000","'73.97460938",
"'84.08203125","'87.98828125","'88.72070313","'89.40429688",
"'87.06054688","'91.11328125","'91.89453125","'92.57812500",
"'82.22656250","'86.03515625","'86.76757813","'87.40234375",
"'86.27929688","'90.28320313","'91.01562500","'91.69921875",
"'84.17968750","'88.08593750","'88.81835938","'89.50195313",
"'85.83984375","'89.84375000","'90.62500000","'91.30859375",
"'85.79101563","'89.79492188","'90.52734375","'91.21093750",
"'87.93945313","'92.04101563","'92.82226563","'93.50585938",
"'81.44531250","'85.25390625","'85.93750000","'86.62109375",
"'85.83984375","'89.84375000","'90.57617188","'91.25976563",
"'85.64453125","'89.64843750","'90.38085938","'91.06445313",
"'87.50000000","'91.60156250","'92.33398438","'93.06640625",
"'85.49804688","'89.50195313","'90.23437500","'90.91796875",
"'87.30468750","'91.35742188","'92.08984375","'92.82226563",
"'85.35156250","'89.35546875","'90.08789063","'90.77148438",
"'88.76953125","'92.87109375","'93.65234375","'94.38476563",
