"'Account No Description","'Actual 2022-2023","'Estimated 2023-2024","'Estimated 2024-2025",
"'ESTIMATED EXPENDITURES","'","'","'",
"'73000 OPERATION OF NON-INSTRUCTIONAL SERVICES","'","'","'",
"'73100 Food Services","'","'","'",
"'105 Supervisor/Director","'32,503","'37,000","'38,500",
"'119 Accountants/Bookkeeper","'123,963","'155,000","'175,000",
"'165 Cafeteria Personnel","'490,032","'657,000","'675,000",
"'189 Other Salaries & Wages","'0","'0","'53,221",
"'201 Social Security","'43,571","'64,948","'72,042",
"'204 State Retirement","'69,507","'100,522","'111,500",
"'207 Medical Insurance","'48,000","'135,000","'145,000",
"'307 Communication","'3,118","'3,500","'4,200",
"'336 Maint & Repair Services - Equipment","'91,792","'59,000","'75,000",
"'354 Transportation - Other than Students","'4,251","'5,000","'5,000",
"'355 Travel","'3,501","'4,000","'3,000",
"'399 Other Contracted Services","'42,299","'59,000","'59,000",
"'422 Food Supplies","'848,662","'1,213,000","'1,150,000",
"'422-SCA Food Supplies-Supply Chain","'78,612","'0","'0",
"'452 Utilities","'1,279","'3,000","'30,000",
"'469 USDA-Commodities","'133,059","'0","'0",
"'499 Other Supplies and Materials","'102,255","'198,024","'175,000",
"'599 Other Charges","'21,699","'25,000","'27,500",
"'710 Food Service Equipment","'12,750","'180,500","'450,000",
"'Total Food Service","'2,150,853","'2,899,494","'3,248,963",
"'Total Estimated Expenditures","'2,150,853","'2,899,494","'3,248,963",
"'","'","'","'",
"'Excess of Estimated Revenues Over","'","'","'",
"'(Under) Estimated Expenditures","'202,806","'(412,524)","'(541,496)",
"'Estimated Beginning Fund Balance July 1","'1,091,080","'1,293,886","'1,173,886",
"'Estimated Ending Fund Balance June 30","'1,293,886","'881,362","'632,390",
,,,

'Confidence Scores % (Table Cell)
""'73.19335938","'91.16210938","'91.25976563","'94.62890625",
"'74.02343750","'74.02343750","'74.02343750","'74.02343750",
"'61.86523438","'61.86523438","'61.86523438","'61.86523438",
"'45.99609375","'45.99609375","'45.99609375","'45.99609375",
"'68.84765625","'85.74218750","'85.83984375","'89.01367188",
"'70.21484375","'87.45117188","'87.54882813","'90.77148438",
"'70.36132813","'87.59765625","'87.69531250","'90.91796875",
"'71.53320313","'89.11132813","'89.20898438","'92.48046875",
"'71.09375000","'88.57421875","'88.62304688","'91.89453125",
"'69.92187500","'87.06054688","'87.15820313","'90.38085938",
"'71.09375000","'88.57421875","'88.62304688","'91.89453125",
"'71.33789063","'88.86718750","'88.96484375","'92.23632813",
"'70.89843750","'88.28125000","'88.37890625","'91.65039063",
"'69.23828125","'86.23046875","'86.32812500","'89.55078125",
"'69.53125000","'86.62109375","'86.71875000","'89.89257813",
"'71.48437500","'89.06250000","'89.16015625","'92.43164063",
"'70.89843750","'88.28125000","'88.37890625","'91.65039063",
"'70.36132813","'87.59765625","'87.69531250","'90.91796875",
"'69.23828125","'86.18164063","'86.27929688","'89.50195313",
"'70.75195313","'88.13476563","'88.23242188","'91.50390625",
"'70.89843750","'88.28125000","'88.37890625","'91.65039063",
"'69.58007813","'86.66992188","'86.76757813","'89.94140625",
"'65.91796875","'82.08007813","'82.17773438","'85.20507813",
"'73.04687500","'90.91796875","'91.01562500","'94.38476563",
"'73.43750000","'91.45507813","'91.55273438","'94.92187500",
"'38.50097656","'38.50097656","'38.50097656","'38.50097656",
"'45.43457031","'45.43457031","'45.43457031","'45.43457031",
"'41.30859375","'51.46484375","'51.51367188","'53.41796875",
"'68.50585938","'85.30273438","'85.40039063","'88.52539063",
"'72.31445313","'90.03906250","'90.13671875","'93.45703125",
