"'Account No.","'Description","'Actual 2022-2023","'Original Estimate 2023-2024","'Estimate 2024-2025",
"'","'ESTIMATED REVENUES","'","'","'",
"'40000","'Local Taxes","'","'","'",
"'40100","'County Property Taxes","'","'","'",
"'40110","'Current Property Taxes","'3,144,196","'2,974,879","'3,032,648",
"'40120","'Trustee's Collection - Prior Year","'63,996","'65,000","'65,000",
"'40125","'Trustee's Collection - Bankruptcy","'641","'500","'500",
"'40130","'Circuit/Clerk & Master Collections - Prior Years","'33,469","'47,000","'47,000",
"'40140","'Interest and Penalty","'14,071","'15,000","'15,000",
"'40161","'Payments in Lieu of Taxes - TVA","'3,495","'4,000","'4,000",
"'40162","'Payments in Lieu of Taxes - Local Utilities","'6,000","'6,000","'6,000",
"'40200","'County Local Option Taxes","'","'","'",
"'40210","'Local Option Sales Tax","'2,869,529","'2,455,008","'2,535,177",
"'40270","'Business Tax","'50,007","'35,000","'35,000",
"'40300","'Statutory Local Taxes","'","'","'",
"'40320","'Bank Excise Tax","'0","'0","'0",
"'40350","'Interstate Telecommunication Tax","'0","'0","'0",
"'","'Total Local Taxes","'6,185,404","'5,602,387","'5,740,325",
"'41000","'Licenses and Permits","'","'","'",
"'41100","'Licenses","'","'","'",
"'41110","'Marriage Licenses","'1,672","'1,300","'1,300",
"'","'Total Licenses and Permits","'1,672","'1,300","'1,300",
"'43000","'Charges for Current Services","'","'","'",
"'43500","'Education Charges","'","'","'",
"'43517","'Tuition - Other","'1,000","'2,000","'0",
"'43570","'Receipts from Individual Schools","'22,820","'30,000","'30,000",
"'43582","'Community Service Fees Adults","'279","'200","'200",
"'","'Total Charges for Current Services","'24,099","'32,200","'30,200",
"'44000","'Other Local Revenues","'","'","'",
"'44100","'Recurring Items","'","'","'",
"'44110","'Investment Income","'298,729","'0","'0",
"'44120","'Lease/Rentals","'9,258","'10,000","'10,000",
"'44170","'Miscellaneous Refunds","'73,181","'30,000","'30,000",
"'44500","'Nonrecurring Items","'","'","'",
"'44530","'Sale of Equipment","'9,332","'15,000","'15,000",
"'44560","'Damages Recovered from Individuals","'1,324","'3,000","'3,000",
"'44570","'Contributions and Gifts","'11,657","'15,000","'15,000",
"'44990","'Other Local Revenues","'0","'0","'0",
,,,,

'Confidence Scores % (Table Cell)
""'47.63183594","'71.77734375","'93.99414063","'93.35937500","'95.36132813",
"'70.06835938","'70.06835938","'70.06835938","'70.06835938","'70.06835938",
"'43.60351563","'65.72265625","'86.03515625","'85.44921875","'87.25585938",
"'29.73632813","'44.82421875","'58.69140625","'58.30078125","'59.52148438",
"'43.65234375","'65.77148438","'86.13281250","'85.49804688","'87.35351563",
"'45.16601563","'68.06640625","'89.16015625","'88.52539063","'90.42968750",
"'45.33691406","'68.31054688","'89.50195313","'88.86718750","'90.77148438",
"'44.79980469","'67.52929688","'88.42773438","'87.79296875","'89.69726563",
"'45.31250000","'68.31054688","'89.45312500","'88.81835938","'90.72265625",
"'44.87304688","'67.62695313","'88.57421875","'87.93945313","'89.84375000",
"'46.80175781","'70.55664063","'92.38281250","'91.69921875","'93.70117188",
"'33.98437500","'51.22070313","'67.08984375","'66.60156250","'68.06640625",
"'42.40722656","'63.91601563","'83.74023438","'83.10546875","'84.91210938",
"'45.55664063","'68.65234375","'89.89257813","'89.25781250","'91.21093750",
"'35.88867188","'54.05273438","'70.80078125","'70.31250000","'71.82617188",
"'44.70214844","'67.38281250","'88.23242188","'87.59765625","'89.50195313",
"'44.97070313","'67.77343750","'88.76953125","'88.13476563","'90.03906250",
"'47.38769531","'71.43554688","'93.55468750","'92.87109375","'94.87304688",
"'48.14453125","'48.14453125","'48.14453125","'48.14453125","'48.14453125",
"'27.83203125","'41.94335938","'54.93164063","'54.54101563","'55.71289063",
"'39.28222656","'59.17968750","'77.53906250","'76.95312500","'78.61328125",
"'47.21679688","'71.14257813","'93.16406250","'92.52929688","'94.53125000",
"'48.04687500","'48.04687500","'48.04687500","'48.04687500","'48.04687500",
"'27.97851563","'42.16308594","'55.22460938","'54.83398438","'56.00585938",
"'41.21093750","'62.10937500","'81.34765625","'80.76171875","'82.51953125",
"'44.82421875","'67.52929688","'88.47656250","'87.84179688","'89.74609375",
"'42.18750000","'63.57421875","'83.25195313","'82.66601563","'84.42382813",
"'47.19238281","'71.09375000","'93.11523438","'92.48046875","'94.48242188",
"'59.91210938","'59.91210938","'59.91210938","'59.91210938","'59.91210938",
"'47.16796875","'47.16796875","'47.16796875","'47.16796875","'47.16796875",
"'48.53515625","'48.53515625","'84.52148438","'83.88671875","'85.74218750",
"'38.30566406","'38.30566406","'89.01367188","'88.37890625","'90.28320313",
"'39.28222656","'39.28222656","'92.72460938","'92.04101563","'94.04296875",
"'45.80078125","'45.80078125","'45.80078125","'45.80078125","'45.80078125",
"'42.62695313","'64.25781250","'84.13085938","'83.54492188","'85.35156250",
"'45.16601563","'68.06640625","'89.16015625","'88.52539063","'90.42968750",
"'44.16503906","'44.16503906","'90.13671875","'89.50195313","'91.45507813",
"'47.24121094","'71.19140625","'93.21289063","'92.52929688","'94.58007813",
