"'Fund","'Estimated Beginning Fund Balance 7/1/2024","'Estimated Revenue","'Transfers In","'Estimated Total Available Funds","'Estimated Expenditures","'Transfers Out","'Total Appropriations","'Estimated Ending Fund Balance 6/30/2025",
"'General","'4,500,000","'18,023,014","'35,000","'22,558,014","'18,932,206","'135,000","'19,067,206","'3,490,808",
"'Drug Control","'95,000","'53,000","'0","'148,000","'115,000","'0","'115,000","'33,000",
"'Adequate Facilities Tax","'1,052,720","'260,000","'0","'1,312,720","'3,000","'400,000","'403,000","'909,720",
"'American Rescue Plan(SLFRF)","'2,640,000","'575,921","'0","'3,215,921","'3,046,361","'0","'3,046,361","'169,560",
"'Highway/Public Works","'1,800,000","'8,012,120","'35,000","'9,847,120","'9,043,282","'143,373","'9,186,655","'660,465",
"'General Debt Service","'5,400,000","'1,761,216","'608,373","'7,769,589","'2,845,264","'0","'2,845,264","'4,924,325",
"'General Purpose School","'11,968,733","'31,765,369","'25,000","'43,759,102","'39,119,974","'0","'39,119,974","'4,639,128",
"'Central Cafeteria","'1,173,886","'2,707,467","'0","'3,881,353","'3,248,963","'0","'3,248,963","'632,390",
"'Solid Waste Disposal","'550,000","'1,773,300","'0","'2,323,300","'2,244,029","'0","'2,244,029","'79,271",
"'Totals","'29,180,339","'64,931,407","'703,373","'94,815,119","'78,598,079","'678,373","'79,276,452","'15,538,667",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'96.48437500","'92.87109375","'95.16601563","'94.14062500","'95.55664063","'96.14257813","'91.79687500","'94.48242188","'94.14062500",
"'90.77148438","'87.40234375","'89.50195313","'88.57421875","'89.89257813","'90.42968750","'86.32812500","'88.86718750","'88.57421875",
"'90.33203125","'86.96289063","'89.11132813","'88.13476563","'89.45312500","'89.99023438","'85.93750000","'88.47656250","'88.13476563",
"'89.45312500","'86.13281250","'88.23242188","'87.30468750","'88.62304688","'89.16015625","'85.10742188","'87.64648438","'87.30468750",
"'88.03710938","'84.76562500","'86.86523438","'85.93750000","'87.20703125","'87.74414063","'83.74023438","'86.23046875","'85.93750000",
"'90.86914063","'87.50000000","'89.64843750","'88.72070313","'90.03906250","'90.57617188","'86.47460938","'89.01367188","'88.72070313",
"'88.23242188","'84.96093750","'87.01171875","'86.08398438","'87.40234375","'87.93945313","'83.93554688","'86.42578125","'86.08398438",
"'90.82031250","'87.45117188","'89.55078125","'88.62304688","'89.94140625","'90.47851563","'86.37695313","'88.91601563","'88.62304688",
"'87.79296875","'84.52148438","'86.62109375","'85.69335938","'86.96289063","'87.50000000","'83.54492188","'85.98632813","'85.69335938",
"'88.47656250","'85.20507813","'87.25585938","'86.32812500","'87.59765625","'88.13476563","'84.17968750","'86.66992188","'86.32812500",
"'95.99609375","'92.43164063","'94.67773438","'93.70117188","'95.06835938","'95.65429688","'91.30859375","'93.99414063","'93.70117188",
