"'Account No. Description","'Actual 2022-2023","'Original Estimate 2023-2024","'Estimate 2024-2025",
"'719 Office Equipment","'288","'5,000","'5,000",
"'Total Administration","'224,729","'319,012","'363,289",
"'62000 HIGHWAY AND BRIDGE MAINTENANCE","'","'","'",
"'140 Salary Supplements","'1,500","'1,500","'1,500",
"'141 Foremen","'243,059","'332,470","'332,925",
"'143 Equipment Operators","'326,326","'390,000","'479,067",
"'149 Laborers","'290,298","'426,291","'418,491",
"'186 Longevity","'0","'0","'31,700",
"'187 Overtime Pay","'21,821","'55,000","'55,000",
"'323 Explosive and Drilling Services","'0","'2,000","'2,000",
"'403 Asphalt-Cold Mix","'62,069","'100,000","'80,000",
"'405 Asphalt-Liquid","'646,298","'900,000","'850,000",
"'409 Crushed Stone","'201,901","'750,000","'600,000",
"'426 General Construction Materials","'293","'25,000","'25,000",
"'436 Other Road Supplies","'23,235","'55,000","'55,000",
"'438 Pipe","'56,194","'70,000","'55,000",
"'443 Road Signs","'4,956","'18,000","'15,000",
"'444 Salt","'5,641","'6,500","'6,500",
"'446 Small Tools","'1,458","'5,000","'4,000",
"'455 Wood Products","'0","'5,000","'5,000",
"'468 Chemical","'4,800","'8,550","'7,500",
"'Total Highway and Bridge Maintenance","'1,889,849","'3,150,311","'3,023,683",
"'63100 OPERATION AND MAINTENANCE OF EQUIPMENT","'","'","'",
"'141 Foremen","'42,858","'48,000","'51,190",
"'142 Mechanic(s)","'32,471","'38,000","'42,120",
"'186 Longevity","'0","'0","'3,000",
"'187 Overtime Pay","'470","'5,000","'5,000",
"'329 Laundry Services","'10,890","'12,000","'12,000",
"'412 Diesel Fuel","'154,004","'250,000","'250,000",
"'418 Equipment and Machinery Parts","'87,597","'150,000","'125,000",
"'424 Garage Supplies","'20,702","'75,000","'70,000",
"'425 Gasoline","'25,628","'45,000","'45,000",
"'433 Lubricants","'11,733","'25,000","'25,000",
"'450 Tires and Tubes","'49,541","'75,000","'60,000",
"'599 Other Charges","'605","'1,500","'1,500",
"'Total Operation and Maintenance of Equip","'436,499","'724,500","'689,810",
"'65000 OTHER CHARGES","'","'","'",
"'307 Communication","'4,650","'7,500","'7,500",
"'331 Legal Services","'0","'3,500","'3,500",
"'415 Electricity","'4,231","'8,000","'7,500",
"'454 Water and Sewer","'3,462","'6,500","'6,000",
"'506 Liability Insurance","'57,970","'65,000","'84,000",
"'510 Trustees Commission","'35,063","'35,000","'40,000",
"'Total Other Charges","'105,376","'125,500","'148,500",
,,,

'Confidence Scores % (Table Cell)
""'80.12695313","'93.50585938","'95.75195313","'96.63085938",
"'74.26757813","'86.66992188","'88.72070313","'89.55078125",
"'79.34570313","'92.62695313","'94.82421875","'95.70312500",
"'72.02148438","'72.02148438","'72.02148438","'72.02148438",
"'71.24023438","'83.15429688","'85.15625000","'85.88867188",
"'76.66015625","'89.50195313","'91.60156250","'92.43164063",
"'76.95312500","'89.84375000","'91.94335938","'92.77343750",
"'75.78125000","'88.42773438","'90.52734375","'91.35742188",
"'76.22070313","'89.01367188","'91.11328125","'91.94335938",
"'75.97656250","'88.67187500","'90.77148438","'91.60156250",
"'76.90429688","'89.79492188","'91.89453125","'92.72460938",
"'75.83007813","'88.52539063","'90.62500000","'91.45507813",
"'76.61132813","'89.40429688","'91.50390625","'92.33398438",
"'76.51367188","'89.30664063","'91.45507813","'92.28515625",
"'76.75781250","'89.59960938","'91.69921875","'92.52929688",
"'76.41601563","'89.20898438","'91.35742188","'92.18750000",
"'77.29492188","'90.23437500","'92.38281250","'93.21289063",
"'76.85546875","'89.74609375","'91.84570313","'92.67578125",
"'75.39062500","'88.03710938","'90.08789063","'90.91796875",
"'76.70898438","'89.55078125","'91.65039063","'92.48046875",
"'75.14648438","'87.69531250","'89.79492188","'90.57617188",
"'72.65625000","'84.76562500","'86.81640625","'87.59765625",
"'79.58984375","'92.87109375","'95.06835938","'95.94726563",
"'74.46289063","'74.46289063","'74.46289063","'74.46289063",
"'72.55859375","'84.66796875","'86.71875000","'87.50000000",
"'75.87890625","'88.57421875","'90.67382813","'91.50390625",
"'75.73242188","'88.37890625","'90.47851563","'91.30859375",
"'75.83007813","'88.52539063","'90.62500000","'91.45507813",
"'75.14648438","'87.69531250","'89.79492188","'90.57617188",
"'75.53710938","'88.13476563","'90.23437500","'91.06445313",
"'76.26953125","'89.01367188","'91.16210938","'91.99218750",
"'75.92773438","'88.62304688","'90.72265625","'91.55273438",
"'75.68359375","'88.33007813","'90.42968750","'91.25976563",
"'77.29492188","'90.23437500","'92.38281250","'93.21289063",
"'76.51367188","'89.30664063","'91.45507813","'92.28515625",
"'73.82812500","'86.18164063","'88.23242188","'89.01367188",
"'79.83398438","'93.21289063","'95.41015625","'96.28906250",
"'71.53320313","'71.53320313","'71.53320313","'71.53320313",
"'67.96875000","'79.34570313","'81.20117188","'81.93359375",
"'77.68554688","'90.72265625","'92.87109375","'93.70117188",
"'76.66015625","'89.50195313","'91.60156250","'92.43164063",
"'76.90429688","'89.79492188","'91.89453125","'92.72460938",
"'76.41601563","'89.16015625","'91.30859375","'92.13867188",
"'76.56250000","'89.35546875","'91.50390625","'92.28515625",
"'80.41992188","'93.84765625","'96.09375000","'96.92382813",
