"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'82230 Education","'","'","'",
"'613 Interest on other Loans","'287,622","'297,230","'376,651",
"'Total Education","'287,622","'297,230","'376,651",
"'82300 OTHER DEBT SERVICE","'","'","'",
"'82310 General Government","'","'","'",
"'510 Trustees Commission","'28,328","'45,000","'45,000",
"'699 Other Debt Service","'23,130","'21,608","'19,099",
"'Total General Government","'51,458","'66,608","'64,099",
"'82320 Highway and Streets","'","'","'",
"'699 Other Debt Service","'0","'0","'0",
"'Total Highways and Streets","'0","'0","'0",
"'82330 Education","'","'","'",
"'699 Other Debt Service","'54,177","'47,578","'40,369",
"'Total Education","'54,177","'47,578","'40,369",
"'Total Interest Payments","'589,013","'605,745","'668,510",
"'Total Principal and Interest Payments","'3,000,890","'2,796,479","'2,845,264",
"'99000 OTHER USES","'","'","'",
"'99100 Transfers Out","'","'","'",
"'590 Transfers to Other Funds","'0","'0","'0",
"'Total Estimated Other Uses","'0","'0","'0",
"'Total Estimated Expenditures and Other Uses","'3,000,890","'2,796,479","'2,845,264",
"'","'","'","'",
"'Excess of Estimated Revenues and Other Sources Over","'","'","'",
"'(Under) Estimated Expenditures and Other Uses","'755,640","'476,159","'(475,675)",
"'Estimated Beginning Fund Balance, July 1","'3,283,713","'4,039,353","'5,400,000",
"'Fund Balance Audit Adjustment","'","'","'",
"'Estimated Ending fund Balance, June 30","'4,039,353","'4,515,512","'4,924,325",
,,,

'Confidence Scores % (Table Cell)
""'44.48242188","'88.08593750","'91.69921875","'93.60351563",
"'57.95898438","'57.95898438","'57.95898438","'57.95898438",
"'29.76074219","'58.93554688","'61.32812500","'62.59765625",
"'43.87207031","'86.86523438","'90.42968750","'92.28515625",
"'55.46875000","'55.46875000","'55.46875000","'55.46875000",
"'39.42871094","'39.42871094","'39.42871094","'39.42871094",
"'37.06054688","'73.38867188","'76.36718750","'77.92968750",
"'40.18554688","'79.58984375","'82.86132813","'84.52148438",
"'43.87207031","'86.86523438","'90.42968750","'92.28515625",
"'49.41406250","'49.41406250","'49.41406250","'49.41406250",
"'25.85449219","'51.22070313","'53.32031250","'54.39453125",
"'43.99414063","'87.15820313","'90.72265625","'92.57812500",
"'53.71093750","'53.71093750","'53.71093750","'53.71093750",
"'28.95507813","'57.37304688","'59.71679688","'60.93750000",
"'42.96875000","'85.05859375","'88.57421875","'90.38085938",
"'42.91992188","'85.00976563","'88.47656250","'90.28320313",
"'43.11523438","'85.40039063","'88.86718750","'90.72265625",
"'55.66406250","'55.66406250","'55.66406250","'55.66406250",
"'41.01562500","'41.01562500","'41.01562500","'41.01562500",
"'35.35156250","'70.01953125","'72.90039063","'74.36523438",
"'43.65234375","'86.42578125","'89.99023438","'91.79687500",
"'43.87207031","'86.86523438","'90.42968750","'92.28515625",
"'40.64941406","'40.64941406","'40.64941406","'40.64941406",
"'34.37500000","'34.37500000","'34.37500000","'40.03906250",
"'19.45800781","'38.54980469","'40.13671875","'40.03906250",
"'42.06542969","'83.30078125","'86.71875000","'88.47656250",
"'16.72363281","'43.50585938","'42.16308594","'45.60546875",
"'18.00537109","'43.50585938","'42.16308594","'45.60546875",
