"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'196 In-Service Training","'482","'1,250","'1,250",
"'355 Travel","'1,280","'5,000","'5,000",
"'435 Office Supplies","'698","'700","'700",
"'524 In-Service/Staff Development","'150","'200","'200",
"'599 Other Charges","'330","'360","'480",
"'Total Judicial Commissioners","'55,783","'63,211","'65,512",
"'53920 Courtroom Security","'","'","'",
"'431 Law Enforcement Supplies","'0","'0","'0",
"'499 Other Supplies and Materials","'0","'0","'0",
"'499-CRF Other Supplies and Materials-Coronavirus Relief","'0","'0","'0",
"'599 Other Charges","'0","'0","'0",
"'799 Other Capital Outlay","'0","'0","'0",
"'799-SEC Other Capital Outlay-Security Grant","'0","'0","'0",
"'Total Courtroom Security","'0","'0","'0",
"'Total Administration of Justice","'767,180","'863,582","'913,896",
"'54000 PUBLIC SAFETY","'","'","'",
"'54110 Sheriff's Department","'","'","'",
"'101 County Official","'95,035","'99,787","'104,776",
"'103 Assistant","'39,903","'41,899","'45,002",
"'106 Deputies","'926,358","'1,138,086","'1,418,601",
"'106-SEC Deputies (Courtroom Security)","'98,594","'108,524","'114,916",
"'119 Accounts/Bookkeepers","'37,910","'39,806","'42,826",
"'140 Salary Supplements","'23,100","'27,000","'31,900",
"'148 Dispatchers and Radio Operators","'384,421","'350,000","'380,000",
"'169-SEC Part-time Personnel","'19,435","'46,000","'46,000",
"'170 School Resource Officer","'0","'241,367","'51,843",
"'170-SROG School Resource Officer-Grant","'0","'0","'264,856",
"'186 Longevity Pay","'19,900","'19,200","'19,600",
"'187 Overtime Pay","'75,149","'60,000","'110,000",
"'187-TDDTF Overtime Pay-TN Dangerous Drug Task Force","'0","'0","'145,200",
"'187-THSO Overtime Pay- TN Hwy Safety Grant","'0","'0","'0",
"'187-TSEE Overtime Pay-Tennessee Safety Environment &","'0","'15,000","'0",
"'187-VCIF Overtime Pay-Violent Crimes","'0","'15,000","'15,000",
"'188 Bonus Payments","'26,000","'31,000","'37,000",
"'189 Other Salaries and Wages","'","'43,045","'0",
"'189-SRO Other Salaries and Wages(SRO)","'218,027","'0","'0",
"'201-SROG Social Security-School Resource Officer Grant","'0","'0","'9,995",
"'204-SROG State Retirement-School Resource Officer Grant","'0","'0","'32,500",
"'206-SROG Life Insurance-School Resource Officer Grant","'0","'0","'0",
"'207-SROG Medical Insurance-School Resource Officer Grant","'0","'0","'53,752",
"'210-SROG Unemployment Compensation-School Resource Officer G","'0","'0","'0",
"'302 Advertising","'0","'500","'500",
"'307 Communication","'4,380","'15,000","'15,000",
"'312 Contracts with Private Agencies","'0","'2,500","'2,500",
"'317 Data Processing Services","'20,289","'30,000","'30,000",
"'331 Legal Services","'0","'200","'200",
,,,

'Confidence Scores % (Table Cell)
""'96.82617188","'93.75000000","'95.65429688","'95.41015625",
"'92.04101563","'89.06250000","'90.86914063","'90.62500000",
"'91.69921875","'88.76953125","'90.52734375","'90.33203125",
"'93.40820313","'90.42968750","'92.23632813","'91.99218750",
"'91.94335938","'89.01367188","'90.77148438","'90.52734375",
"'90.38085938","'87.50000000","'89.25781250","'89.06250000",
"'96.67968750","'93.55468750","'95.45898438","'95.21484375",
"'70.65429688","'70.65429688","'70.65429688","'70.65429688",
"'84.42382813","'81.73828125","'83.34960938","'83.15429688",
"'92.13867188","'89.16015625","'90.96679688","'90.72265625",
"'93.16406250","'90.18554688","'91.99218750","'91.79687500",
"'92.57812500","'89.64843750","'91.45507813","'91.21093750",
"'92.96875000","'89.99023438","'91.79687500","'91.60156250",
"'92.28515625","'89.35546875","'91.16210938","'90.91796875",
"'96.04492188","'92.96875000","'94.82421875","'94.58007813",
"'95.70312500","'92.62695313","'94.53125000","'94.28710938",
"'73.58398438","'73.58398438","'73.58398438","'73.58398438",
"'53.51562500","'53.51562500","'53.51562500","'53.51562500",
"'92.43164063","'89.50195313","'91.30859375","'91.06445313",
"'93.70117188","'90.72265625","'92.52929688","'92.28515625",
"'94.09179688","'91.06445313","'92.91992188","'92.67578125",
"'92.28515625","'89.35546875","'91.16210938","'90.91796875",
"'91.06445313","'88.13476563","'89.94140625","'89.69726563",
"'92.96875000","'89.99023438","'91.79687500","'91.60156250",
"'91.65039063","'88.72070313","'90.47851563","'90.28320313",
"'90.91796875","'88.03710938","'89.79492188","'89.55078125",
"'92.72460938","'89.79492188","'91.60156250","'91.35742188",
"'91.89453125","'88.96484375","'90.72265625","'90.52734375",
"'91.25976563","'88.33007813","'90.13671875","'89.89257813",
"'88.62304688","'85.79101563","'87.54882813","'87.30468750",
"'92.23632813","'89.25781250","'91.06445313","'90.82031250",
"'90.91796875","'88.03710938","'89.79492188","'89.55078125",
"'91.99218750","'89.01367188","'90.82031250","'90.57617188",
"'91.35742188","'88.42773438","'90.23437500","'89.99023438",
"'92.48046875","'89.55078125","'91.35742188","'91.11328125",
"'90.38085938","'87.50000000","'89.25781250","'89.06250000",
"'92.91992188","'89.94140625","'91.74804688","'91.55273438",
"'92.13867188","'89.16015625","'90.96679688","'90.72265625",
"'92.04101563","'89.06250000","'90.86914063","'90.62500000",
"'92.57812500","'89.64843750","'91.45507813","'91.21093750",
"'94.14062500","'91.11328125","'92.96875000","'92.72460938",
"'91.35742188","'88.42773438","'90.23437500","'89.99023438",
"'92.48046875","'89.55078125","'91.35742188","'91.11328125",
"'94.43359375","'91.40625000","'93.21289063","'93.01757813",
"'92.87109375","'89.89257813","'91.74804688","'91.50390625",
"'94.18945313","'91.16210938","'93.01757813","'92.77343750",
"'95.75195313","'92.67578125","'94.53125000","'94.33593750",
