"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'410 Custodial Supplies","'19,564","'7,000","'20,000",
"'410-ELC Custodial Supplies-ELC Grant","'0","'18,000","'0",
"'413 Drugs & Medical Supplies","'24,983","'40,000","'40,000",
"'422 Food Supplies","'224,717","'260,000","'285,000",
"'431 Law Enforcement Supplies","'2,094","'5,000","'5,000",
"'435 Office Supplies","'4,873","'5,000","'5,000",
"'441 Prisoners Clothing","'1,762","'0","'4,000",
"'441-ELC Prisoners Clothing-ELC Grant","'0","'8,200","'0",
"'451 Uniforms","'7,425","'8,000","'8,000",
"'499 Other Supplies and Materials","'6,121","'15,000","'15,000",
"'499-ELC Other Supplies and Materials-ELC Grant","'0","'13,090","'0",
"'524 In-Service/Staff Development","'0","'5,000","'5,000",
"'599-ELC Other Charges-ELC Grant","'0","'17,000","'0",
"'709 Data Processing Equipment","'23,010","'29,000","'29,000",
"'719 Office Equipment","'2,888","'5,000","'5,000",
"'719-TCI Office Equipment-TN Correction Institute","'9,873","'0","'0",
"'790-TCI Office Equipment-TN Correction Institute","'0","'0","'0",
"'Total Jail","'1,430,497","'1,763,929","'1,854,509",
"'54310 Fire Prevention and Control","'","'","'",
"'309 Contracts with Govt Agen","'2,000","'2,000","'2,000",
"'429 Instructional Supplies and Materials","'2,356","'1,500","'1,500",
"'524 In-Service/Staff Development","'9,362","'14,000","'14,000",
"'790 Other Equipment","'0","'3,000","'3,000",
"'Total Fire Prevention and Control","'13,718","'20,500","'20,500",
"'54320 Rural Fire Protection","'","'","'",
"'316 Contributions","'70,000","'150,000","'150,000",
"'790 Other Equipment","'0","'0","'0",
"'Total Rural Fire Prevention","'70,000","'150,000","'150,000",
"'54410 Civil Defense","'","'","'",
"'105 Supervisor/Director","'56,317","'69,608","'72,393",
"'169 Part-time Personnel","'1,560","'5,000","'5,000",
"'186 Longevity Pay","'0","'0","'500",
"'187 Overtime Pay","'357","'5,000","'5,000",
"'189 Other Salaries and Wages","'45,000","'47,251","'49,142",
"'320 Dues and Memberships","'265","'1,000","'1,000",
"'330 Operating Lease Payment","'3,400","'3,600","'3,600",
"'336 Maint and Repair Services - Equipment","'5,261","'5,000","'8,000",
"'338 Maint and Repair Services - Vehicles","'7,718","'14,000","'14,000",
"'355 Travel","'697","'1,000","'1,000",
"'399 Other Contracted Services","'3,134","'4,500","'4,500",
"'412 Diesel","'1,394","'4,000","'4,000",
"'425 Gasoline","'5,542","'10,000","'10,000",
"'435 Office Supplies","'1,057","'1,000","'2,000",
"'442 Propane Gas","'1,164","'3,000","'3,000",
"'451 Uniforms","'904","'1,500","'2,000",
,,,

'Confidence Scores % (Table Cell)
""'96.87500000","'93.99414063","'95.70312500","'95.75195313",
"'94.18945313","'91.35742188","'93.01757813","'93.06640625",
"'93.01757813","'90.23437500","'91.84570313","'91.89453125",
"'94.18945313","'91.35742188","'93.01757813","'93.06640625",
"'93.11523438","'90.33203125","'91.94335938","'91.99218750",
"'93.89648438","'91.06445313","'92.72460938","'92.77343750",
"'93.31054688","'90.52734375","'92.13867188","'92.18750000",
"'93.31054688","'90.52734375","'92.13867188","'92.18750000",
"'94.04296875","'91.21093750","'92.87109375","'92.91992188",
"'93.26171875","'90.47851563","'92.08984375","'92.13867188",
"'93.75000000","'90.91796875","'92.57812500","'92.62695313",
"'94.28710938","'91.45507813","'93.11523438","'93.11523438",
"'92.67578125","'89.89257813","'91.55273438","'91.60156250",
"'93.60351563","'90.82031250","'92.43164063","'92.48046875",
"'93.75000000","'90.91796875","'92.57812500","'92.62695313",
"'93.06640625","'90.28320313","'91.89453125","'91.94335938",
"'94.23828125","'91.40625000","'93.06640625","'93.06640625",
"'89.50195313","'86.86523438","'88.42773438","'88.47656250",
"'96.43554688","'93.55468750","'95.21484375","'95.26367188",
"'70.50781250","'70.50781250","'70.50781250","'70.50781250",
"'84.86328125","'82.32421875","'83.83789063","'83.88671875",
"'91.69921875","'88.91601563","'90.52734375","'90.57617188",
"'92.57812500","'89.84375000","'91.45507813","'91.50390625",
"'91.89453125","'89.11132813","'90.72265625","'90.77148438",
"'96.58203125","'93.70117188","'95.36132813","'95.41015625",
"'61.03515625","'61.03515625","'61.03515625","'61.03515625",
"'74.16992188","'71.92382813","'73.24218750","'73.29101563",
"'89.64843750","'87.01171875","'88.57421875","'88.57421875",
"'96.28906250","'93.40820313","'95.06835938","'95.11718750",
"'68.99414063","'68.99414063","'68.99414063","'68.99414063",
"'80.07812500","'77.68554688","'79.10156250","'79.15039063",
"'91.99218750","'89.25781250","'90.86914063","'90.91796875",
"'92.96875000","'90.18554688","'91.79687500","'91.84570313",
"'89.25781250","'86.57226563","'88.13476563","'88.18359375",
"'92.18750000","'89.45312500","'91.06445313","'91.11328125",
"'92.82226563","'90.03906250","'91.65039063","'91.69921875",
"'91.79687500","'89.01367188","'90.62500000","'90.67382813",
"'91.40625000","'88.67187500","'90.23437500","'90.28320313",
"'92.33398438","'89.59960938","'91.21093750","'91.25976563",
"'92.96875000","'90.18554688","'91.79687500","'91.84570313",
"'92.91992188","'90.13671875","'91.74804688","'91.79687500",
"'93.50585938","'90.72265625","'92.33398438","'92.38281250",
"'94.58007813","'91.79687500","'93.40820313","'93.45703125",
"'92.96875000","'90.18554688","'91.79687500","'91.84570313",
"'93.21289063","'90.42968750","'92.04101563","'92.08984375",
"'95.70312500","'92.82226563","'94.53125000","'94.58007813",
