"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'Total Tourism","'0","'1,200","'1,200",
"'58120 Industrial Development (Vision 21)","'","'","'",
"'105 Supervisor/Director","'63,000","'66,150","'0",
"'316 Contributions","'11,773","'9,054","'35,000",
"'Total Industrial Development","'74,773","'75,204","'35,000",
"'58300 Veterans Services","'","'","'",
"'105 Supervisor/Director","'32,450","'34,073","'35,436",
"'338 Maint & Repair Services - Vehicles","'435","'750","'750",
"'351 Rentals","'3,600","'3,600","'3,600",
"'355 Travel","'0","'600","'600",
"'399 Other Contracted Service","'449","'450","'450",
"'425 Gasoline","'1,243","'1,000","'1,000",
"'435 Office Supplies","'187","'200","'500",
"'599 Other Charges","'0","'1,000","'1,000",
"'719 Office Equipment","'94","'200","'1,500",
"'Total Veterans Services","'38,458","'41,873","'44,836",
"'58400 Other Charges","'","'","'",
"'506 Liability Insurance","'299,437","'335,400","'424,000",
"'510 Trustees Commission","'224,803","'225,000","'232,000",
"'513 Workers Comp","'136,731","'170,450","'196,000",
"'599 Other Charges","'329","'0","'0",
"'Total Other Charges","'661,300","'730,850","'852,000",
"'58600 Employee Benefits","'","'","'",
"'201 Social Security","'506,341","'610,684","'630,000",
"'204 State Retirement","'724,610","'762,186","'883,000",
"'206 Life Insurance","'46,422","'62,000","'68,000",
"'207 Medical Insurance","'1,842,446","'2,031,600","'2,235,060",
"'210 Unemployment Comp","'4,560","'22,000","'22,000",
"'399 Other Contracted Services","'0","'6,000","'0",
"'Total Employees Benefits","'3,124,379","'3,494,470","'3,838,060",
"'58801 Covid 19 Grant # 1-Dept of Health Drug Room","'","'","'",
"'707 Building Improvements","'0","'100,000","'90,800",
"'Total Covid 19 Grant#1- Dept. of Health Drug Room","'0","'100,000","'90,800",
"'58900 Miscellaneous","'","'","'",
"'309 Contracts with Government Agencies","'12,920","'12,920","'13,993",
"'316 Contributions","'61,500","'65,000","'55,000",
"'320 Dues and Memberships","'16,100","'16,100","'17,000",
,,,

'Confidence Scores % (Table Cell)
""'95.84960938","'91.40625000","'93.31054688","'93.55468750",
"'95.36132813","'90.96679688","'92.82226563","'93.06640625",
"'64.25781250","'64.25781250","'64.25781250","'64.25781250",
"'69.43359375","'66.25976563","'67.57812500","'67.77343750",
"'84.22851563","'80.37109375","'81.98242188","'82.22656250",
"'95.36132813","'90.96679688","'92.82226563","'93.06640625",
"'77.58789063","'77.58789063","'77.58789063","'77.58789063",
"'78.46679688","'74.85351563","'76.41601563","'76.61132813",
"'91.30859375","'87.10937500","'88.91601563","'89.11132813",
"'90.38085938","'86.18164063","'87.98828125","'88.18359375",
"'91.25976563","'87.06054688","'88.86718750","'89.06250000",
"'90.08789063","'85.93750000","'87.69531250","'87.93945313",
"'90.47851563","'86.27929688","'88.08593750","'88.28125000",
"'90.91796875","'86.71875000","'88.47656250","'88.72070313",
"'87.40234375","'83.39843750","'85.10742188","'85.30273438",
"'87.69531250","'83.64257813","'85.40039063","'85.59570313",
"'95.99609375","'91.55273438","'93.45703125","'93.65234375",
"'74.56054688","'74.56054688","'74.56054688","'74.56054688",
"'81.05468750","'77.29492188","'78.90625000","'79.10156250",
"'90.67382813","'86.47460938","'88.23242188","'88.47656250",
"'89.69726563","'85.54687500","'87.30468750","'87.54882813",
"'81.78710938","'77.97851563","'79.58984375","'79.78515625",
"'95.41015625","'91.01562500","'92.87109375","'93.11523438",
"'74.70703125","'74.70703125","'74.70703125","'74.70703125",
"'83.83789063","'79.98046875","'81.64062500","'81.83593750",
"'85.40039063","'81.44531250","'83.10546875","'83.30078125",
"'87.35351563","'83.34960938","'85.05859375","'85.25390625",
"'89.06250000","'84.91210938","'86.66992188","'86.91406250",
"'83.83789063","'79.98046875","'81.64062500","'81.83593750",
"'88.37890625","'84.27734375","'86.03515625","'86.23046875",
"'95.75195313","'91.30859375","'93.21289063","'93.45703125",
"'42.16308594","'42.16308594","'42.16308594","'42.16308594",
"'44.43359375","'42.38281250","'43.23730469","'43.35937500",
"'95.70312500","'91.30859375","'93.16406250","'93.40820313",
"'70.26367188","'70.26367188","'70.26367188","'70.26367188",
"'85.44921875","'81.49414063","'83.15429688","'83.34960938",
"'90.52734375","'86.32812500","'88.13476563","'88.33007813",
"'94.62890625","'90.23437500","'92.08984375","'92.33398438",
