"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'348 Postal Charges","'41,684","'45,000","'50,000",
"'351 Rentals","'65","'2,500","'2,500",
"'399 Other Contracted Services","'0","'0","'7,300",
"'599 Other Charges","'2,014","'2,500","'2,500",
"'Total Miscellaneous","'134,283","'144,020","'148,293",
"'Total Other General Government","'4,033,193","'4,587,617","'5,010,189",
"'Total Estimated Expenditures","'14,618,355","'17,592,557","'18,932,206",
"'99000 OTHER USES","'","'","'",
"'91190 Other General Government Projects","'","'","'",
"'732 Building Purchases","'0","'0","'0",
"'799-DA Building Construction","'9,500","'0","'0",
"'Total Estimated General Administration Projects","'9,500","'0","'0",
"'99000 ESTIMATED OTHER USES","'","'","'",
"'99100 Transfers Out","'","'","'",
"'590 Transfers to Other Funds","'134,891","'100,000","'135,000",
"'Total Estimated Other Uses","'134,891","'100,000","'135,000",
"'Total Estimated Expenditures and other uses","'14,762,746","'17,692,557","'19,067,206",
"'Excess of Estimated Revenue and Other Sources over (under) Estimated Expenditures and Other Uses","'(179,992)","'(2,676,219)","'(1,009,192)",
"'Estimated Begin Fund Balance July 1","'6,663,263","'6,483,271","'4,500,000",
"'Estimated Ending Fund Balance June 30","'6,483,271","'3,807,052","'3,490,808",
,,,

'Confidence Scores % (Table Cell)
""'96.09375000","'93.35937500","'93.16406250","'95.36132813",
"'88.81835938","'86.32812500","'86.08398438","'88.13476563",
"'88.67187500","'86.18164063","'85.93750000","'87.98828125",
"'85.20507813","'82.81250000","'82.56835938","'84.57031250",
"'85.44921875","'83.05664063","'82.86132813","'84.81445313",
"'95.36132813","'92.67578125","'92.43164063","'94.62890625",
"'93.70117188","'91.06445313","'90.82031250","'93.01757813",
"'95.11718750","'92.48046875","'92.23632813","'94.43359375",
"'64.40429688","'64.40429688","'64.40429688","'64.40429688",
"'45.60546875","'45.60546875","'45.60546875","'45.60546875",
"'84.61914063","'82.22656250","'82.03125000","'83.98437500",
"'87.40234375","'84.96093750","'84.76562500","'86.76757813",
"'94.72656250","'92.08984375","'91.84570313","'94.04296875",
"'67.82226563","'67.82226563","'67.82226563","'67.82226563",
"'44.55566406","'44.55566406","'44.55566406","'44.55566406",
"'84.37500000","'82.03125000","'81.78710938","'83.74023438",
"'94.92187500","'92.28515625","'92.04101563","'94.23828125",
"'96.09375000","'93.35937500","'93.16406250","'95.36132813",
"'39.86816406","'38.74511719","'38.64746094","'39.55078125",
"'77.24609375","'75.09765625","'74.90234375","'76.66015625",
"'90.67382813","'88.13476563","'87.89062500","'89.99023438",
