"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'48130 Contributions","'0","'27,219","'0",
"'Total Other Governments and Citizens Groups","'0","'27,219","'0",
"'Total Estimated Revenues","'3,268,532","'2,975,663","'1,761,216",
"'49000 ESTIMATED OTHER SOURCES","'","'","'",
"'49200 Notes Issued","'0","'0","'0",
"'49800 Transfers In","'487,998","'296,975","'608,373",
"'Total Estimated Other Sources","'487,998","'296,975","'608,373",
"'Total Estimated Revenues and Other Sources","'3,756,530","'3,272,638","'2,369,589",
"'ESTIMATED EXPENDITURES","'","'","'",
"'82100 PRINCIPAL ON DEBT","'","'","'",
"'82110 General Government","'","'","'",
"'602 Principal on Notes","'128,353","'133,707","'139,554",
"'612 Principal on Other Loans","'427,000","'443,780","'459,000",
"'Total General Government","'555,353","'577,487","'598,554",
"'82120 Highways and Streets","'","'","'",
"'602 Principal on Notes","'159,100","'164,100","'167,200",
"'Total Highways and Streets","'159,100","'164,100","'167,200",
"'82130 Education","'","'","'",
"'612 Principal on Other Loans","'1,697,424","'1,449,147","'1,411,000",
"'Total Education","'1,697,424","'1,449,147","'1,411,000",
"'Total Principal Payments","'2,411,877","'2,190,734","'2,176,754",
"'82200 INTEREST ON DEBT","'","'","'",
"'82210 General Government","'","'","'",
"'604 Interest on Notes","'55,825","'50,473","'44,627",
"'613 Interest on Other Loans","'103,838","'110,981","'113,874",
"'Total General Government","'159,663","'161,454","'158,501",
"'82220 Highway and Streets","'","'","'",
"'604 Interest on Notes","'36,093","'32,875","'28,891",
"'Total Highways and Streets","'36,093","'32,875","'28,891",
,,,

'Confidence Scores % (Table Cell)
""'44.75097656","'91.11328125","'91.79687500","'93.79882813",
"'48.43750000","'78.02734375","'78.61328125","'80.27343750",
"'47.65625000","'89.35546875","'90.03906250","'91.94335938",
"'48.53515625","'89.79492188","'90.42968750","'92.38281250",
"'56.98242188","'56.98242188","'56.98242188","'56.98242188",
"'44.84863281","'63.62304688","'64.11132813","'65.47851563",
"'54.49218750","'81.10351563","'81.68945313","'83.44726563",
"'48.24218750","'90.42968750","'91.06445313","'93.01757813",
"'49.60937500","'86.62109375","'87.25585938","'89.11132813",
"'71.53320313","'71.53320313","'71.53320313","'71.53320313",
"'50.00000000","'50.00000000","'50.00000000","'50.00000000",
"'40.82031250","'40.82031250","'40.82031250","'40.82031250",
"'44.94628906","'79.73632813","'80.32226563","'82.03125000",
"'49.51171875","'84.03320313","'84.66796875","'86.47460938",
"'49.51171875","'90.42968750","'91.06445313","'93.01757813",
"'45.70312500","'45.70312500","'45.70312500","'45.70312500",
"'42.91992188","'51.70898438","'52.09960938","'53.17382813",
"'53.41796875","'89.64843750","'90.28320313","'92.23632813",
"'57.76367188","'57.76367188","'57.76367188","'57.76367188",
"'46.19140625","'60.49804688","'60.93750000","'62.25585938",
"'51.46484375","'88.57421875","'89.20898438","'91.11328125",
"'57.47070313","'88.62304688","'89.30664063","'91.21093750",
"'60.10742188","'60.10742188","'60.10742188","'60.10742188",
"'43.01757813","'43.01757813","'43.01757813","'43.01757813",
"'53.90625000","'77.24609375","'77.83203125","'79.49218750",
"'75.83007813","'84.96093750","'85.59570313","'87.45117188",
"'53.12500000","'90.28320313","'90.91796875","'92.87109375",
"'47.07031250","'47.07031250","'47.07031250","'47.07031250",
"'40.72265625","'49.56054688","'49.92675781","'51.02539063",
"'80.85937500","'91.16210938","'91.84570313","'93.84765625",
