"'Account No.","'Description","'Actual 2022-2023","'Original Estimate 2023-2024","'Estimate 2024-2025",
"'","'Total Other Local Revenues","'403,481","'73,000","'73,000",
"'","'Total Local Revenue","'6,614,656","'5,708,887","'5,844,825",
"'46000","'State of Tennessee","'","'","'",
"'46175","'On-Behalf Contributions for OPEB","'63,566","'35,000","'35,000",
"'46500","'State Education Funds","'","'","'",
"'46510","'Tennessee Investment in Student Achievement","'0","'23,886,562","'24,228,618",
"'46511","'Basic Education Program","'23,055,227","'0","'0",
"'46515","'Early Childhood Education","'417,763","'417,796","'490,275",
"'46520","'School Food Service","'","'22,000","'22,000",
"'46550","'Driver Education","'828","'5,000","'5,000",
"'46590","'Other State Education Funds","'465,122","'240,000","'240,000",
"'46591","'Coordinated School Health","'90,000","'0","'0",
"'46594","'Family Resource Centers","'59,223","'0","'0",
"'46790","'Other Vocational","'0","'0","'",
"'46610","'Career Ladder Program","'53,340","'45,000","'45,000",
"'46800","'Other State Revenues","'","'","'",
"'46851","'State Revenue Sharing - TVA","'227,133","'230,000","'230,000",
"'46980","'Other State Grants","'95,158","'0","'124,847",
"'46981","'Safe Schools","'43,000","'0","'0",
"'46990","'Other State Revenues","'0","'0","'258,804",
"'","'Total State of Tennessee","'24,570,360","'24,881,358","'25,679,544",
"'47000","'Federal Government","'","'","'",
"'47100","'Federal Through State","'","'","'",
"'47590","'Other Federal Through State","'102,023","'0","'",
"'47600","'Direct Federal Revenue","'","'","'",
"'47640","'ROTC Reimbursement","'39,766","'70,000","'70,000",
"'47990","'Other Direct Federal Revenue","'166,806","'0","'0",
"'","'Total Federal Government","'308,595","'70,000","'70,000",
"'48000","'Other Governments and Citizens Groups","'","'","'",
"'48610","'Donations","'198,000","'0","'0",
"'48990","'Other","'197,892","'258,804","'161,000",
"'","'Total Other Governments and Citizens Groups","'395,892","'258,804","'161,000",
"'","'Total Estimated Revenues","'31,889,503","'30,919,049","'31,755,369",
"'49000","'OTHER SOURCES (NON-REVENUE)","'","'","'",
"'49700","'Insurance Recovery","'193,594","'10,000","'10,000",
"'49800","'Transfers In","'8,259","'25,000","'25,000",
"'","'Total Other Sources","'201,853","'35,000","'35,000",
"'","'Total Estimated Revenues & Other Sources","'32,091,356","'30,954,049","'31,790,369",
,,,,

'Confidence Scores % (Table Cell)
""'53.61328125","'88.18359375","'94.09179688","'93.84765625","'93.45703125",
"'53.22265625","'87.54882813","'93.40820313","'93.16406250","'92.72460938",
"'53.12500000","'87.40234375","'93.26171875","'93.01757813","'92.57812500",
"'49.70703125","'49.70703125","'49.70703125","'49.70703125","'49.70703125",
"'40.13671875","'66.01562500","'70.41015625","'70.26367188","'69.92187500",
"'39.11132813","'64.35546875","'68.65234375","'68.50585938","'68.16406250",
"'50.63476563","'83.30078125","'88.86718750","'88.67187500","'88.23242188",
"'51.12304688","'84.03320313","'89.69726563","'89.45312500","'89.01367188",
"'51.12304688","'84.08203125","'89.74609375","'89.50195313","'89.06250000",
"'51.22070313","'84.27734375","'89.89257813","'89.69726563","'89.25781250",
"'51.41601563","'84.52148438","'90.18554688","'89.94140625","'89.55078125",
"'51.02539063","'83.88671875","'89.55078125","'89.30664063","'88.91601563",
"'50.83007813","'83.54492188","'89.16015625","'88.91601563","'88.52539063",
"'51.41601563","'84.52148438","'90.18554688","'89.94140625","'89.55078125",
"'51.31835938","'84.37500000","'90.03906250","'89.84375000","'89.40429688",
"'52.39257813","'86.18164063","'91.94335938","'91.74804688","'91.30859375",
"'36.98730469","'60.83984375","'64.94140625","'64.74609375","'64.45312500",
"'49.58496094","'81.54296875","'87.01171875","'86.81640625","'86.37695313",
"'51.90429688","'85.35156250","'91.06445313","'90.82031250","'90.42968750",
"'50.53710938","'83.05664063","'88.67187500","'88.42773438","'88.03710938",
"'50.24414063","'82.61718750","'88.13476563","'87.93945313","'87.50000000",
"'53.22265625","'87.50000000","'93.35937500","'93.11523438","'92.67578125",
"'41.11328125","'41.11328125","'41.11328125","'41.11328125","'41.11328125",
"'31.37207031","'51.56250000","'55.02929688","'54.88281250","'54.63867188",
"'49.58496094","'81.54296875","'87.01171875","'86.81640625","'86.37695313",
"'36.81640625","'60.54687500","'64.59960938","'64.45312500","'64.16015625",
"'44.53125000","'73.24218750","'78.17382813","'77.97851563","'77.58789063",
"'50.39062500","'82.91015625","'88.47656250","'88.23242188","'87.84179688",
"'53.17382813","'87.45117188","'93.31054688","'93.06640625","'92.62695313",
"'46.97265625","'46.97265625","'46.97265625","'46.97265625","'46.97265625",
"'35.25390625","'57.95898438","'61.86523438","'61.71875000","'61.42578125",
"'49.58496094","'81.54296875","'87.01171875","'86.81640625","'86.37695313",
"'52.97851563","'87.15820313","'92.96875000","'92.77343750","'92.33398438",
"'52.78320313","'86.76757813","'92.62695313","'92.38281250","'91.94335938",
"'50.19531250","'50.19531250","'50.19531250","'50.19531250","'50.19531250",
"'36.15722656","'59.42382813","'63.42773438","'63.28125000","'62.98828125",
"'50.24414063","'82.61718750","'88.18359375","'87.93945313","'87.54882813",
"'53.32031250","'87.64648438","'93.55468750","'93.31054688","'92.87109375",
"'53.27148438","'87.59765625","'93.50585938","'93.26171875","'92.82226563",
