"'Account No.","'Description","'Actual 2022-2023","'Original Estimate 2023-2024","'Estimate 2024-2025",
"'66000","'EMPLOYEE BENEFITS","'","'","'",
"'201","'Social Security","'85,936","'114,600","'120,000",
"'204","'State Retirement","'128,024","'145,000","'150,000",
"'205","'Employee and Dependent Insurance","'485,993","'550,000","'900,000",
"'210","'Unemployment Compensation","'7,575","'17,000","'15,000",
"'513","'Worker's Compensation Insurance","'117,628","'152,000","'125,000",
"'599","'Other Charges","'634","'7,500","'5,000",
"'","'Total Employees Benefits","'825,790","'986,100","'1,315,000",
"'68000","'CAPITAL OUTLAY","'","'","'",
"'705","'Bridge Construction","'75,097","'1,600,000","'1,600,000",
"'708","'Communication Equipment","'1,239","'4,000","'3,000",
"'713","'Highway Construction","'467,267","'1,500,000","'1,750,000",
"'714","'Highway Equipment","'59,410","'100,000","'100,000",
"'718","'Motor Vehicles","'21,000","'39,000","'35,000",
"'791","'Other Construction","'2,045","'15,000","'15,000",
"'","'Total Capital Outlay","'626,058","'3,258,000","'3,503,000",
"'","'Total Estimated Expenditures","'4,108,301","'8,563,423","'9,043,282",
"'99000","'OTHER USES","'","'","'",
"'99100","'Transfers Out","'","'","'",
"'590","'Transfers to Other Funds","'142,998","'143,655","'143,373",
"'","'Total Other Uses","'142,998","'143,655","'143,373",
"'","'Total Estimated Expenditures and Other Uses","'4,251,299","'8,707,078","'9,186,655",
"'","'","'","'","'",
"'","'Excess of Estimated Revenue Over (Under)","'","'","'",
"'","'Estimated Expenditures and Other Uses","'503,069","'(933,814)","'(1,139,535)",
"'","'Estimated Beginning Fund Balance July 1","'1,986,176","'2,489,245","'1,800,000",
"'","'Fund Balance Audit Adjustment Estimated Ending Fund Balance June 30","'2,489,245","'1,555,431","'660,465",
,,,,

'Confidence Scores % (Table Cell)
""'42.26074219","'46.04492188","'91.84570313","'92.52929688","'95.31250000",
"'52.83203125","'52.83203125","'52.83203125","'52.83203125","'52.83203125",
"'37.37792969","'40.72265625","'81.20117188","'81.83593750","'84.27734375",
"'39.30664063","'42.82226563","'85.40039063","'86.03515625","'88.62304688",
"'39.79492188","'43.38378906","'86.52343750","'87.15820313","'89.79492188",
"'39.13574219","'42.65136719","'85.05859375","'85.69335938","'88.28125000",
"'39.45312500","'42.99316406","'85.74218750","'86.37695313","'88.96484375",
"'39.28222656","'42.79785156","'85.40039063","'85.98632813","'88.57421875",
"'42.72460938","'42.72460938","'91.79687500","'92.48046875","'95.26367188",
"'65.67382813","'65.67382813","'65.67382813","'65.67382813","'65.67382813",
"'37.59765625","'40.96679688","'81.73828125","'82.32421875","'84.81445313",
"'39.33105469","'42.87109375","'85.49804688","'86.13281250","'88.72070313",
"'39.89257813","'43.45703125","'86.71875000","'87.35351563","'89.94140625",
"'40.08789063","'43.67675781","'87.10937500","'87.74414063","'90.38085938",
"'38.67187500","'42.13867188","'84.03320313","'84.66796875","'87.20703125",
"'37.57324219","'40.94238281","'81.68945313","'82.27539063","'84.76562500",
"'41.01562500","'41.01562500","'91.21093750","'91.89453125","'94.62890625",
"'43.31054688","'43.31054688","'90.77148438","'91.40625000","'94.18945313",
"'55.71289063","'55.71289063","'55.71289063","'55.71289063","'55.71289063",
"'22.64404297","'24.67041016","'49.21875000","'49.58496094","'51.07421875",
"'32.95898438","'35.91308594","'71.63085938","'72.16796875","'74.31640625",
"'42.62695313","'42.62695313","'91.06445313","'91.69921875","'94.48242188",
"'43.40820313","'43.40820313","'90.77148438","'91.40625000","'94.18945313",
"'47.85156250","'47.85156250","'47.85156250","'47.85156250","'47.85156250",
"'36.42578125","'36.42578125","'36.42578125","'36.42578125","'36.42578125",
"'36.20605469","'36.20605469","'48.31542969","'48.65722656","'50.09765625",
"'44.75097656","'44.75097656","'89.16015625","'89.84375000","'92.52929688",
"'35.66894531","'35.66894531","'38.79394531","'39.06250000","'40.23437500",
