"'Account No. Description","'Actual 2022-2023","'Original Estimate 2023-2024","'Estimate 2024-2025",
"'790 Other Equipment","'6,790","'50,000","'0",
"'Total Regular Instruction Program","'1,261,748","'1,476,210","'1,558,117",
"'72220 Special Education Program","'","'","'",
"'105 Supervisor/Director","'72,938","'84,088","'96,742",
"'124 Psychological Personnel","'0","'0","'80,000",
"'131 Medical Personnel","'0","'0","'65,335",
"'189 Other Salaries and Wages","'5,000","'5,000","'5,000",
"'196 In-Service Training","'425","'2,000","'2,000",
"'201 Social Security","'5,843","'6,968","'19,054",
"'204 State Retirement","'6,338","'7,742","'19,683",
"'207 Medical Insurance","'7,900","'8,100","'8,667",
"'336 Maint and Repair Services - Equipment","'794","'5,000","'5,000",
"'355 Travel","'7,045","'7,500","'7,500",
"'524 In-Service Training","'2,231","'7,000","'4,000",
"'Total Special Education Program","'108,514","'133,398","'312,981",
"'72230 Career and Technical Education Program","'","'","'",
"'105 Supervisor/Director","'167,860","'173,500","'89,613",
"'189 Other Salaries and Wages","'2,000","'2,000","'81,937",
"'201 Social Security","'7,488","'13,426","'13,075",
"'204 State Retirement","'7,204","'7,531","'13,633",
"'207 Medical Insurance","'7,542","'8,100","'24,867",
"'336 Maint and Repair Services - Equipment","'0","'3,000","'3,000",
"'355 Travel","'766","'2,000","'2,000",
"'399 Other Contracted Services","'0","'0","'3,000",
"'499 Other Supplies and Materials","'1,094","'3,000","'0",
"'524 In-Service Training","'0","'0","'0",
"'790 Other Equipment","'0","'0","'0",
"'Total Vocational Education Program","'193,954","'212,557","'231,125",
"'72250 Technology","'","'","'",
"'105 Supervisor","'68,253","'73,713","'74,816",
"'189 Other Salaries and Wages","'5,167","'10,000","'70,659",
"'201 Social Security","'5,589","'6,197","'11,129",
"'204 State Retirement","'8,198","'9,582","'14,511",
"'207 Medical Insurance","'7,900","'8,100","'8,667",
"'336 Maint and Repair Services - Equipment","'1,350","'10,000","'10,000",
"'350 Internet Connectivity","'92,786","'105,000","'105,000",
"'355 Travel","'354","'2,000","'2,000",
"'399 Other Contracted Services","'97,633","'105,000","'90,000",
"'499 Other Supplies and Materials","'1,870","'2,000","'2,000",
"'722 Regular Instruction Equipment","'31,505","'120,000","'75,000",
"'Total Technology","'320,605","'451,592","'463,782",
,,,

'Confidence Scores % (Table Cell)
""'96.43554688","'93.06640625","'93.79882813","'95.41015625",
"'89.79492188","'86.66992188","'87.35351563","'88.86718750",
"'95.41015625","'92.13867188","'92.82226563","'94.43359375",
"'65.77148438","'65.77148438","'65.77148438","'65.77148438",
"'76.17187500","'73.53515625","'74.12109375","'75.39062500",
"'92.77343750","'89.59960938","'90.28320313","'91.79687500",
"'90.08789063","'86.96289063","'87.64648438","'89.11132813",
"'93.06640625","'89.84375000","'90.57617188","'92.08984375",
"'91.06445313","'87.93945313","'88.62304688","'90.13671875",
"'92.13867188","'88.96484375","'89.64843750","'91.16210938",
"'91.40625000","'88.28125000","'88.96484375","'90.42968750",
"'93.26171875","'90.03906250","'90.77148438","'92.28515625",
"'91.84570313","'88.67187500","'89.35546875","'90.86914063",
"'91.89453125","'88.72070313","'89.40429688","'90.91796875",
"'87.69531250","'84.66796875","'85.35156250","'86.76757813",
"'95.26367188","'91.99218750","'92.67578125","'94.28710938",
"'63.62304688","'63.62304688","'63.62304688","'63.62304688",
"'78.51562500","'75.78125000","'76.36718750","'77.68554688",
"'91.01562500","'87.89062500","'88.57421875","'90.08789063",
"'90.82031250","'87.64648438","'88.33007813","'89.84375000",
"'92.28515625","'89.06250000","'89.79492188","'91.30859375",
"'91.06445313","'87.93945313","'88.62304688","'90.13671875",
"'91.60156250","'88.42773438","'89.11132813","'90.62500000",
"'89.35546875","'86.27929688","'86.96289063","'88.42773438",
"'91.99218750","'88.81835938","'89.50195313","'91.01562500",
"'90.42968750","'87.30468750","'87.98828125","'89.45312500",
"'91.45507813","'88.28125000","'89.01367188","'90.47851563",
"'83.88671875","'81.00585938","'81.64062500","'83.00781250",
"'95.55664063","'92.23632813","'92.96875000","'94.53125000",
"'71.04492188","'71.04492188","'71.04492188","'71.04492188",
"'75.29296875","'72.65625000","'73.24218750","'74.46289063",
"'89.74609375","'86.66992188","'87.30468750","'88.81835938",
"'91.11328125","'87.98828125","'88.67187500","'90.18554688",
"'90.91796875","'87.79296875","'88.47656250","'89.99023438",
"'90.47851563","'87.35351563","'88.03710938","'89.50195313",
"'93.40820313","'90.18554688","'90.86914063","'92.43164063",
"'89.20898438","'86.13281250","'86.81640625","'88.28125000",
"'92.72460938","'89.55078125","'90.23437500","'91.79687500",
"'91.94335938","'88.76953125","'89.45312500","'90.96679688",
"'92.82226563","'89.64843750","'90.33203125","'91.84570313",
"'88.08593750","'85.05859375","'85.69335938","'87.15820313",
"'95.94726563","'92.62695313","'93.35937500","'94.92187500",
