"'Account No. Description","'Actual 2022-2023","'Original Estimate 2023-2024","'Estimate 2024-2025",
"'399 Other Contracted Services","'135,991","'168,000","'130,000",
"'701 Administration Equipment","'32,444","'0","'0",
"'Total Office of the Principal","'1,793,065","'2,014,392","'2,090,218",
"'72510 Fiscal Services","'","'","'",
"'399 Other Contracted Services","'45,000","'50,000","'50,000",
"'Total Fiscal Services","'45,000","'50,000","'50,000",
"'72610 Operation of Plant","'","'","'",
"'307 Communication","'39,481","'50,000","'50,000",
"'399 Other Contracted Services","'717,290","'775,000","'829,250",
"'410 Custodial Supplies","'34,018","'38,500","'38,500",
"'415 Electricity","'883,028","'975,000","'1,000,000",
"'434 Natural Gas","'85,127","'200,000","'160,000",
"'454 Water and Sewer","'285,921","'315,000","'325,000",
"'499 Other Supplies and Materials","'332","'3,500","'3,500",
"'501 Boiler Insurance","'8,412","'10,000","'10,500",
"'502 Building and Contents Insurance","'177,538","'200,000","'250,000",
"'790 Other Equipment","'0","'0","'15,000",
"'Total Operation of Plant","'2,231,147","'2,567,000","'2,681,750",
"'72620 Maintenance of Plant","'","'","'",
"'105 Supervisor/Director","'63,135","'73,713","'74,816",
"'161 Secretary(s)","'12,303","'13,489","'23,000",
"'189 Other Salaries and Wages","'223,230","'270,000","'230,000",
"'201 Social Security","'23,207","'27,275","'25,078",
"'204 State Retirement","'35,376","'42,214","'41,783",
"'207 Medical Insurance","'44,829","'47,967","'51,325",
"'335 Maint & Repair Services - Building","'461,802","'347,600","'375,000",
"'336 Maint & Repair Services - Equipment","'178,716","'264,000","'275,000",
"'355 Travel","'3,920","'5,000","'3,000",
"'399 Other Contracted Services","'141,278","'231,000","'250,000",
"'418 Equipment and Machinery Parts","'0","'10,000","'10,000",
"'499 Other Supplies and Materials","'0","'1,000","'1,000",
"'701 Administrative Equipment","'0","'0","'0",
"'707 Building Improvements","'44,607","'0","'0",
"'717 Maintenance Equipment","'0","'0","'0",
"'718 Motor Vehicles","'0","'0","'0",
"'Total Maintenance of Plant","'1,232,403","'1,333,258","'1,360,002",
"'72710 Transportation","'","'","'",
"'105 Supervisor/Director","'65,000","'70,203","'74,816",
"'142 Mechanic(s)","'84,639","'140,000","'130,000",
"'146 Bus Drivers","'679,508","'790,000","'865,000",
"'161 Secretary(s)","'12,303","'13,489","'23,000",
,,,

'Confidence Scores % (Table Cell)
""'93.31054688","'93.31054688","'95.16601563","'94.09179688",
"'85.10742188","'85.10742188","'86.76757813","'85.83984375",
"'81.59179688","'81.59179688","'83.20312500","'82.27539063",
"'93.31054688","'93.31054688","'95.11718750","'94.04296875",
"'66.55273438","'66.55273438","'66.55273438","'66.55273438",
"'61.62109375","'61.62109375","'62.79296875","'62.10937500",
"'92.18750000","'92.18750000","'93.99414063","'92.91992188",
"'70.16601563","'70.16601563","'70.16601563","'70.16601563",
"'71.53320313","'71.53320313","'72.94921875","'72.11914063",
"'89.74609375","'89.74609375","'91.50390625","'90.47851563",
"'87.89062500","'87.89062500","'89.59960938","'88.62304688",
"'88.18359375","'88.18359375","'89.94140625","'88.91601563",
"'87.45117188","'87.45117188","'89.16015625","'88.18359375",
"'89.06250000","'89.06250000","'90.82031250","'89.84375000",
"'87.15820313","'87.15820313","'88.86718750","'87.84179688",
"'86.81640625","'86.81640625","'88.52539063","'87.54882813",
"'88.33007813","'88.33007813","'90.08789063","'89.06250000",
"'81.59179688","'81.59179688","'83.20312500","'82.27539063",
"'92.43164063","'92.43164063","'94.23828125","'93.16406250",
"'73.58398438","'73.58398438","'73.58398438","'73.58398438",
"'71.72851563","'71.72851563","'73.14453125","'72.31445313",
"'87.30468750","'87.30468750","'89.01367188","'87.98828125",
"'83.25195313","'83.25195313","'84.91210938","'83.93554688",
"'86.42578125","'86.42578125","'88.08593750","'87.10937500",
"'85.59570313","'85.59570313","'87.25585938","'86.27929688",
"'87.10937500","'87.10937500","'88.81835938","'87.84179688",
"'87.10937500","'87.10937500","'88.81835938","'87.84179688",
"'84.08203125","'84.08203125","'85.74218750","'84.81445313",
"'85.59570313","'85.59570313","'87.25585938","'86.27929688",
"'86.76757813","'86.76757813","'88.47656250","'87.50000000",
"'88.57421875","'88.57421875","'90.33203125","'89.30664063",
"'83.39843750","'83.39843750","'85.05859375","'84.08203125",
"'88.52539063","'88.52539063","'90.28320313","'89.25781250",
"'84.66796875","'84.66796875","'86.32812500","'85.35156250",
"'86.08398438","'86.08398438","'87.79296875","'86.81640625",
"'82.03125000","'82.03125000","'83.64257813","'82.71484375",
"'92.52929688","'92.52929688","'94.38476563","'93.31054688",
"'67.38281250","'67.38281250","'67.38281250","'67.38281250",
"'77.97851563","'77.97851563","'79.49218750","'78.61328125",
"'88.76953125","'88.76953125","'90.47851563","'89.50195313",
"'88.57421875","'88.57421875","'90.33203125","'89.30664063",
"'92.43164063","'92.43164063","'94.28710938","'93.21289063",
