"'Account No. Description","'Actual 2022-2023","'Original Estimate 2023-2024","'Estimate 2024-2025",
"'399 Other Contracted Services","'214,770","'250,000","'180,000",
"'429 Instructional Supplies and Materials","'0","'0","'7,000",
"'499 Other Supplies and Materials","'0","'5,000","'5,000",
"'725 Special Education Equipment","'0","'0","'5,404",
"'Total Special Educational Program","'3,156,709","'3,720,911","'3,873,641",
"'71300 Career and Technical Education Program","'","'","'",
"'116 Teachers","'735,588","'862,530","'900,000",
"'140 Supplements","'12,000","'12,000","'6,000",
"'189 Other Salaries and Wages","'1,200","'14,000","'14,000",
"'198 Non-Certified Substitute Teachers","'15,938","'20,000","'18,000",
"'201 Social Security","'56,702","'68,992","'71,757",
"'204 State Retirement","'65,453","'75,277","'79,598",
"'207 Medical Insurance","'103,140","'121,439","'121,487",
"'307 Communications","'0","'15,000","'0",
"'355 Travel","'1,088","'5,500","'2,000",
"'399 Other Contracted Services","'10,000","'20,000","'0",
"'429 Instructional Supplies and Materials","'2,886","'15,500","'11,000",
"'449 Text Books","'11,154","'7,000","'7,000",
"'471 Software","'0","'0","'139,850",
"'499 Other Supplies and Materials","'36,986","'48,000","'25,000",
"'524 Inservice","'63","'3,000","'0",
"'599 Other Charges","'5,538","'9,000","'3,500",
"'730 Vocational Instruction Equipment","'3,157","'30,000","'430,970",
"'790 Vocational Other Equipment","'0","'10,000","'10,000",
"'Total Vocational Education Program","'1,060,893","'1,337,238","'1,840,162",
"'Total Instruction","'18,433,354","'21,724,353","'22,204,127",
"'72000 Support Services","'","'","'",
"'72110 Attendance","'","'","'",
"'105 Supervisor/Director","'79,240","'85,000","'92,000",
"'189 Other Salaries & Wages","'34,126","'36,857","'56,000",
"'201 Social Security","'8,653","'9,218","'11,322",
"'204 State Retirement","'10,927","'8,312","'12,482",
"'207 Medical Insurance","'11,442","'17,244","'18,451",
"'355 Travel","'2,578","'3,000","'3,000",
"'399 Other Contracted Services","'8,407","'20,000","'20,000",
"'499 Other Supplies and Materials","'1,635","'3,000","'2,000",
"'524 In Service/Staff Development","'0","'1,000","'1,000",
"'719 Office Equipment","'0","'6,000","'5,000",
"'Total Attendance","'157,008","'189,631","'221,255",
"'72120 Health Services","'","'","'",
"'105 Supervisor/Director","'68,253","'71,000","'75,000",
"'130 Social Workers","'0","'0","'96,000",
,,,

'Confidence Scores % (Table Cell)
""'93.65234375","'93.26171875","'95.06835938","'95.50781250",
"'90.03906250","'89.69726563","'91.40625000","'91.79687500",
"'89.74609375","'89.35546875","'91.06445313","'91.50390625",
"'90.13671875","'89.79492188","'91.50390625","'91.89453125",
"'87.10937500","'86.71875000","'88.37890625","'88.81835938",
"'93.65234375","'93.26171875","'95.06835938","'95.50781250",
"'68.70117188","'68.70117188","'68.70117188","'68.70117188",
"'79.68750000","'79.34570313","'80.85937500","'81.25000000",
"'90.13671875","'89.79492188","'91.50390625","'91.89453125",
"'90.13671875","'89.79492188","'91.50390625","'91.89453125",
"'89.50195313","'89.11132813","'90.82031250","'91.25976563",
"'91.06445313","'90.72265625","'92.43164063","'92.87109375",
"'89.40429688","'89.06250000","'90.72265625","'91.16210938",
"'90.08789063","'89.74609375","'91.45507813","'91.84570313",
"'89.74609375","'89.35546875","'91.06445313","'91.50390625",
"'90.23437500","'89.89257813","'91.60156250","'91.99218750",
"'88.62304688","'88.23242188","'89.94140625","'90.33203125",
"'88.62304688","'88.23242188","'89.94140625","'90.33203125",
"'87.74414063","'87.40234375","'89.06250000","'89.45312500",
"'89.55078125","'89.16015625","'90.86914063","'91.30859375",
"'89.74609375","'89.35546875","'91.06445313","'91.50390625",
"'88.13476563","'87.74414063","'89.40429688","'89.84375000",
"'90.62500000","'90.23437500","'91.94335938","'92.38281250",
"'87.89062500","'87.50000000","'89.20898438","'89.59960938",
"'85.20507813","'84.86328125","'86.47460938","'86.86523438",
"'92.48046875","'92.08984375","'93.84765625","'94.28710938",
"'93.40820313","'93.01757813","'94.77539063","'95.21484375",
"'65.77148438","'65.77148438","'65.77148438","'65.77148438",
"'48.53515625","'48.53515625","'48.53515625","'48.53515625",
"'84.76562500","'84.42382813","'86.03515625","'86.42578125",
"'89.30664063","'88.96484375","'90.62500000","'91.06445313",
"'90.08789063","'89.74609375","'91.45507813","'91.84570313",
"'88.72070313","'88.33007813","'90.03906250","'90.42968750",
"'88.81835938","'88.42773438","'90.13671875","'90.52734375",
"'87.89062500","'87.50000000","'89.20898438","'89.59960938",
"'90.18554688","'89.84375000","'91.55273438","'91.94335938",
"'88.33007813","'87.98828125","'89.64843750","'90.08789063",
"'88.33007813","'87.98828125","'89.64843750","'90.08789063",
"'85.40039063","'85.00976563","'86.66992188","'87.06054688",
"'93.50585938","'93.16406250","'94.92187500","'95.36132813",
"'54.39453125","'54.39453125","'54.39453125","'54.39453125",
"'81.25000000","'80.90820313","'82.47070313","'82.86132813",
"'92.28515625","'91.89453125","'93.65234375","'94.09179688",
