"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'348 Postal Charges","'4,100","'5,700","'5,700",
"'349 Printing, Stationery and Forms","'630","'2,000","'2,000",
"'351 Rentals","'19,494","'20,000","'20,000",
"'355 Travel","'1,365","'2,500","'500",
"'359 Disposal Fees","'659,165","'600,000","'750,000",
"'399 Other Contracted Services","'3,873","'5,000","'10,000",
"'410 Custodial Supplies","'0","'1,800","'1,800",
"'412 Diesel Fuel","'70,700","'95,000","'95,000",
"'415 Electricity","'17,631","'19,000","'19,000",
"'420 Fertilizer, Lime Chemicals and Seed","'0","'2,000","'2,000",
"'425 Gasoline","'4,290","'8,000","'8,000",
"'433 Lubricants","'2,794","'5,000","'8,600",
"'435 Office Supplies","'2,605","'4,000","'4,000",
"'436 Other Road Materials","'881","'5,000","'5,000",
"'446 Small Tools","'1,546","'2,000","'2,000",
"'450 Tires and Tubes","'9,461","'15,000","'15,000",
"'451 Uniforms","'1,427","'5,000","'0",
"'452 Utilities","'12,842","'18,000","'18,000",
"'462 Wire","'0","'7,000","'8,230",
"'463 Testing","'779","'15,000","'15,000",
"'499 Other Supplies and Materials","'2,255","'5,000","'5,000",
"'510 Trustees Commission","'15,069","'18,000","'20,000",
"'514 Depreciation","'119,552","'45,171","'45,171",
"'517 Surcharge","'9,642","'9,000","'10,000",
"'524 In Service/Staff Development","'549","'650","'650",
"'612 Principal on Other Loans","'75,000","'77,000","'78,000",
"'613 Interest on Other Loans","'6,660","'20,193","'18,368",
"'718 Motor Vehicles","'0","'0","'0",
"'719 Office Equipment","'376","'5,000","'2,500",
"'733 Solid Waste Equipment","'3,000","'0","'0",
"'791 Other Construction","'4,800","'15,000","'15,000",
"'Total Sanitation Management","'1,870,288","'1,972,824","'2,178,729",
"'60000 HIGHWAYS","'","'","'",
"'64000 Litter and Trash Collection","'","'","'",
"'105 Supervisor/Director","'25,265","'25,900","'25,900",
"'429 Instructional Supply and Materials","'12,325","'12,325","'12,325",
"'599 Other Charges","'9,270","'11,075","'11,075",
"'Total Litter and Trash Collection","'46,860","'49,300","'49,300",
"'90000 CAPITAL PROJECTS","'","'","'",
"'91140 Public Health and Welfare Projects","'","'","'",
"'799 Other Capital Outlay-Reserve","'18,488","'56,000","'16,000",
"'799-GRT Other Capital Outlay-Grant","'0","'0","'0",
"'799-GRT1 Other Capital Outlay-Grant 1","'0","'0","'0",
"'799-LOAN Other Capital Outlay-Loan","'37,393","'0","'0",
"'Total Public Health and Welfare Projects","'55,881","'56,000","'16,000",
,,,

'Confidence Scores % (Table Cell)
""'40.28320313","'93.26171875","'95.16601563","'94.58007813",
"'38.52539063","'89.16015625","'90.96679688","'90.42968750",
"'37.57324219","'87.01171875","'88.76953125","'88.23242188",
"'38.25683594","'88.57421875","'90.38085938","'89.79492188",
"'38.62304688","'89.40429688","'91.21093750","'90.67382813",
"'39.16015625","'90.67382813","'92.52929688","'91.94335938",
"'38.23242188","'88.52539063","'90.33203125","'89.74609375",
"'38.81835938","'89.84375000","'91.69921875","'91.11328125",
"'38.08593750","'88.18359375","'89.94140625","'89.40429688",
"'38.62304688","'89.45312500","'91.25976563","'90.72265625",
"'37.84179688","'87.59765625","'89.40429688","'88.81835938",
"'37.98828125","'87.98828125","'89.74609375","'89.20898438",
"'38.30566406","'88.72070313","'90.52734375","'89.94140625",
"'38.52539063","'89.20898438","'91.01562500","'90.47851563",
"'37.30468750","'86.37695313","'88.13476563","'87.59765625",
"'38.74511719","'89.69726563","'91.50390625","'90.91796875",
"'37.98828125","'87.98828125","'89.74609375","'89.20898438",
"'37.42675781","'86.62109375","'88.37890625","'87.84179688",
"'38.18359375","'88.37890625","'90.18554688","'89.64843750",
"'37.96386719","'87.89062500","'89.64843750","'89.11132813",
"'38.08593750","'88.18359375","'89.94140625","'89.40429688",
"'37.86621094","'87.64648438","'89.40429688","'88.86718750",
"'37.37792969","'86.57226563","'88.28125000","'87.74414063",
"'37.93945313","'87.84179688","'89.59960938","'89.06250000",
"'37.50000000","'86.81640625","'88.57421875","'88.03710938",
"'37.28027344","'86.32812500","'88.08593750","'87.54882813",
"'37.13378906","'85.93750000","'87.69531250","'87.15820313",
"'37.93945313","'87.84179688","'89.59960938","'89.06250000",
"'37.76855469","'87.45117188","'89.20898438","'88.67187500",
"'38.42773438","'88.96484375","'90.72265625","'90.18554688",
"'37.62207031","'87.10937500","'88.86718750","'88.33007813",
"'36.88964844","'85.40039063","'87.10937500","'86.57226563",
"'39.99023438","'92.57812500","'94.43359375","'93.89648438",
"'61.86523438","'61.86523438","'61.86523438","'61.86523438",
"'45.43457031","'45.43457031","'45.43457031","'45.43457031",
"'35.66894531","'82.61718750","'84.27734375","'83.74023438",
"'38.33007813","'88.76953125","'90.57617188","'89.99023438",
"'36.71875000","'85.00976563","'86.76757813","'86.23046875",
"'40.08789063","'92.82226563","'94.67773438","'94.09179688",
"'57.95898438","'57.95898438","'57.95898438","'57.95898438",
"'43.67675781","'43.67675781","'43.67675781","'43.67675781",
"'35.64453125","'82.56835938","'84.22851563","'83.69140625",
"'39.11132813","'90.57617188","'92.38281250","'91.84570313",
"'32.64160156","'75.53710938","'77.09960938","'76.61132813",
"'38.25683594","'88.57421875","'90.38085938","'89.79492188",
"'40.23437500","'93.11523438","'95.01953125","'94.43359375",
