"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'399 Other Contracted Services","'252,582","'235,000","'235,000",
"'410 Custodial Supplies","'1,938","'3,000","'8,000",
"'412 Diesel Fuel","'10,070","'22,000","'22,000",
"'413 Drugs and Medical Supplies","'48,248","'65,000","'66,000",
"'413-PHAR Drugs and Medical Supplies(Pharmaceuticals)","'22,434","'35,000","'35,600",
"'425 Gasoline","'45,863","'80,000","'80,000",
"'435 Office Supplies","'1,021","'3,000","'3,000",
"'450 Tires and Tubes","'8,260","'15,000","'15,000",
"'451 Uniforms","'13,485","'18,000","'18,000",
"'499 Other Supplies and Materials","'6,457","'13,000","'13,000",
"'524 In-Service/Staff Development","'6,601","'25,000","'25,000",
"'718 Motor Vehicle","'33,800","'0","'180,000",
"'719 Office Equipment","'2,545","'3,000","'3,000",
"'790 Other Equipment","'19,449","'30,000","'15,000",
"'790-TRMT Other Equipment-Tennessee Risk Management Grant","'0","'0","'0",
"'Total Ambulance/Emergency Medical Services","'2,238,658","'2,696,608","'3,088,729",
"'55170 Alcohol and Drug Programs","'","'","'",
"'111 Probation Officer","'11,020","'12,810","'13,323",
"'201 Social Security","'0","'780","'780",
"'355 Travel","'","'796","'655",
"'435 Office Supplies","'644","'1,500","'1,000",
"'599 Other Charges","'5,854","'7,000","'7,000",
"'Total Alcohol and Drug Programs","'17,518","'22,886","'22,758",
"'55190 Other Local Health Services","'","'","'",
"'131 Medical Personnel","'80,115","'143,448","'153,340",
"'163 Educational Assistants","'68,415","'67,752","'73,160",
"'349 Printing, Stationery, and Forms","'0","'100","'100",
"'355 Travel","'10,074","'15,000","'15,000",
"'399 Other Contracted Services","'29","'100","'500",
"'499 Other Supplies and Materials","'176","'2,500","'2,500",
"'506 Liability Insurance","'186","'250","'250",
"'599 Other Charges","'0","'0","'1,000",
"'Total Other Local Health Services","'158,995","'229,150","'245,850",
"'55900 Other Public Health Services","'","'","'",
"'599-HOSP Other Charges (Hospital Donation)","'0","'5,000","'0",
"'599-TOBG Other Charges(Tobacco Grant)","'520","'707","'0",
"'Total Other Public Health Services","'520","'5,707","'0",
"'Total Public Health & Welfare","'2,456,732","'3,004,952","'3,407,938",
"'56500 Libraries","'","'","'",
"'103 Assistants","'96,041","'117,536","'122,238",
"'129 Librarians","'32,247","'42,991","'44,711",
,,,

'Confidence Scores % (Table Cell)
""'97.21679688","'93.99414063","'95.50781250","'92.33398438",
"'92.91992188","'89.84375000","'91.25976563","'88.23242188",
"'93.45703125","'90.33203125","'91.79687500","'88.76953125",
"'92.52929688","'89.45312500","'90.86914063","'87.89062500",
"'94.14062500","'90.96679688","'92.43164063","'89.40429688",
"'93.60351563","'90.47851563","'91.89453125","'88.86718750",
"'92.62695313","'89.55078125","'90.96679688","'87.98828125",
"'93.65234375","'90.52734375","'91.94335938","'88.91601563",
"'93.21289063","'90.08789063","'91.55273438","'88.52539063",
"'92.82226563","'89.74609375","'91.16210938","'88.18359375",
"'93.84765625","'90.72265625","'92.13867188","'89.11132813",
"'94.04296875","'90.86914063","'92.33398438","'89.30664063",
"'93.79882813","'90.67382813","'92.08984375","'89.06250000",
"'94.18945313","'91.06445313","'92.52929688","'89.50195313",
"'91.21093750","'88.13476563","'89.55078125","'86.62109375",
"'93.99414063","'90.82031250","'92.28515625","'89.25781250",
"'96.53320313","'93.31054688","'94.77539063","'91.65039063",
"'74.31640625","'74.31640625","'74.31640625","'74.31640625",
"'79.68750000","'77.05078125","'78.27148438","'75.68359375",
"'93.79882813","'90.67382813","'92.08984375","'89.06250000",
"'92.67578125","'89.59960938","'91.01562500","'88.03710938",
"'91.55273438","'88.52539063","'89.94140625","'86.96289063",
"'92.52929688","'89.45312500","'90.86914063","'87.89062500",
"'96.77734375","'93.55468750","'95.01953125","'91.89453125",
"'69.28710938","'69.28710938","'69.28710938","'69.28710938",
"'82.17773438","'79.44335938","'80.71289063","'78.07617188",
"'91.60156250","'88.57421875","'89.99023438","'87.01171875",
"'90.91796875","'87.89062500","'89.25781250","'86.32812500",
"'90.18554688","'87.15820313","'88.57421875","'85.64453125",
"'91.94335938","'88.91601563","'90.33203125","'87.35351563",
"'93.26171875","'90.13671875","'91.60156250","'88.57421875",
"'91.01562500","'87.98828125","'89.35546875","'86.42578125",
"'88.86718750","'85.88867188","'87.25585938","'84.37500000",
"'96.24023438","'93.01757813","'94.48242188","'91.40625000",
"'66.79687500","'66.79687500","'66.79687500","'66.79687500",
"'77.09960938","'74.51171875","'75.73242188","'73.24218750",
"'88.03710938","'85.10742188","'86.47460938","'83.59375000",
"'96.28906250","'93.06640625","'94.53125000","'91.45507813",
"'96.09375000","'92.87109375","'94.38476563","'91.25976563",
"'65.47851563","'65.47851563","'65.47851563","'65.47851563",
"'80.71289063","'78.02734375","'79.24804688","'76.66015625",
"'95.99609375","'92.77343750","'94.28710938","'91.16210938",
