"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'ESTIMATED REVENUES","'","'","'",
"'40000 LOCAL TAXES","'","'","'",
"'40100 County Property Taxes","'","'","'",
"'40110 Current Property Taxes","'8,964,043","'8,885,785","'10,091,397",
"'40120 Trustees Collection Prior Year","'176,990","'179,000","'195,000",
"'40125 Trustees Collection-Bankruptcy","'1,818","'2,000","'400",
"'40130 Clerk & Master Prior Years","'92,633","'116,000","'75,000",
"'40140 Interest and Penalty","'39,287","'40,000","'40,000",
"'40161 Payments in Lieu of Taxes TVA","'9,940","'9,000","'9,200",
"'40162 Payments in Lieu of Taxes-Loc Utilities","'53,398","'31,000","'34,000",
"'40163 Payments in Lieu of Taxes-Other","'15,071","'15,000","'7,000",
"'Total County Property Taxes","'9,353,180","'9,277,785","'10,451,997",
"'40200 County Local Option Taxes","'","'","'",
"'40210 Local Option","'0","'0","'1,600,000",
"'40220 Hotel/Motel Tax","'65,142","'50,000","'58,000",
"'40250 Litigation Tax General","'89,670","'84,000","'85,000",
"'40260 Litigation Tax-Special Purpose","'12,315","'11,000","'12,500",
"'40266 Litigation Tax-Jail, Workhouse, Courthouse","'80,831","'75,000","'80,500",
"'40267 Litigation Tax-Victim Offender","'5,418","'5,000","'5,000",
"'40270 Business Tax","'142,570","'115,000","'120,000",
"'40275 Mixed Drink Tax","'1,322","'1,000","'1,300",
"'Total County Local Option Taxes","'397,268","'341,000","'1,962,300",
"'40300 Statutory Local Taxes","'","'","'",
"'40320 Bank Excise Tax","'3,636","'4,000","'50,000",
"'40330 Wholesale Beer Tax","'220,854","'230,000","'230,000",
"'40390 Other Statutory Local Taxes","'4,161","'4,400","'4,200",
"'Total Local Option Taxes","'228,651","'238,400","'284,200",
"'TOTAL LOCAL TAXES","'9,979,099","'9,857,185","'12,698,497",
"'41000 LICENSES AND PERMITS","'","'","'",
"'41100 Licenses","'","'","'",
"'41140 Cable TV Franchise","'50,648","'49,000","'50,000",
"'41500 Permits","'","'","'",
"'41510 Beer Permits","'3,989","'3,500","'3,500",
"'41520 Building Permits","'118,638","'108,000","'115,000",
"'TOTAL LICENSES AND PERMITS","'173,275","'160,500","'168,500",
"'42000 FINES FORFEITURES AND PENALTIES","'","'","'",
"'42100 Circuit Court","'","'","'",
"'42110 Fines","'2,054","'3,000","'2,800",
,,,

'Confidence Scores % (Table Cell)
""'93.99414063","'92.33398438","'94.48242188","'92.23632813",
"'73.77929688","'73.77929688","'73.77929688","'73.77929688",
"'55.07812500","'55.07812500","'55.07812500","'55.07812500",
"'55.56640625","'55.56640625","'55.56640625","'55.56640625",
"'90.82031250","'89.16015625","'91.25976563","'89.06250000",
"'88.13476563","'86.57226563","'88.57421875","'86.47460938",
"'89.94140625","'88.33007813","'90.42968750","'88.23242188",
"'89.74609375","'88.13476563","'90.18554688","'88.03710938",
"'89.59960938","'87.98828125","'90.03906250","'87.89062500",
"'89.74609375","'88.13476563","'90.18554688","'88.03710938",
"'89.89257813","'88.28125000","'90.38085938","'88.23242188",
"'88.03710938","'86.47460938","'88.47656250","'86.37695313",
"'94.04296875","'92.38281250","'94.53125000","'92.28515625",
"'65.38085938","'65.38085938","'65.38085938","'65.38085938",
"'76.26953125","'74.90234375","'76.66015625","'74.80468750",
"'89.45312500","'87.84179688","'89.89257813","'87.74414063",
"'89.06250000","'87.50000000","'89.55078125","'87.40234375",
"'90.42968750","'88.81835938","'90.86914063","'88.72070313",
"'89.74609375","'88.13476563","'90.18554688","'88.03710938",
"'89.11132813","'87.50000000","'89.55078125","'87.45117188",
"'88.23242188","'86.66992188","'88.67187500","'86.57226563",
"'87.30468750","'85.74218750","'87.74414063","'85.64453125",
"'93.79882813","'92.08984375","'94.23828125","'91.99218750",
"'60.30273438","'60.30273438","'60.30273438","'60.30273438",
"'69.92187500","'68.65234375","'70.26367188","'68.60351563",
"'89.35546875","'87.74414063","'89.79492188","'87.64648438",
"'86.32812500","'84.76562500","'86.76757813","'84.66796875",
"'93.31054688","'91.65039063","'93.79882813","'91.55273438",
"'92.08984375","'90.47851563","'92.57812500","'90.38085938",
"'62.59765625","'62.59765625","'62.59765625","'62.59765625",
"'46.38671875","'46.38671875","'46.38671875","'46.38671875",
"'88.47656250","'86.86523438","'88.91601563","'86.81640625",
"'41.77246094","'41.77246094","'41.77246094","'41.77246094",
"'84.61914063","'83.10546875","'85.05859375","'83.05664063",
"'87.64648438","'86.03515625","'88.08593750","'85.98632813",
"'93.70117188","'91.99218750","'94.18945313","'91.89453125",
"'58.30078125","'58.30078125","'58.30078125","'58.30078125",
"'47.26562500","'47.26562500","'47.26562500","'47.26562500",
"'90.72265625","'89.06250000","'91.16210938","'88.96484375",
