"'Account No. Description","'Actual 2022-2023","'Original Estimate 2023-2024","'Estimate 2024-2025",
"'215 On-Behalf Payments for OPEB","'63,566","'35,000","'35,000",
"'Total Other Programs","'63,566","'35,000","'35,000",
"'72310 Board of Education","'","'","'",
"'191 Board and Committee Members Fees","'9,059","'16,800","'16,800",
"'196 In-Service Training","'3,381","'12,000","'12,000",
"'201 Social Security","'547","'2,203","'2,203",
"'204 Medical Insurance","'0","'0","'15,800",
"'305 Audit Services","'27,500","'35,000","'35,000",
"'320 Dues and Memberships","'19,220","'32,000","'32,000",
"'331 Legal Services","'35,426","'40,000","'40,000",
"'355 Travel","'0","'5,000","'5,000",
"'399 Other Contracted Services","'16,947","'17,000","'17,000",
"'506 Liability Insurance","'76,224","'150,000","'150,000",
"'510 Trustees Commission","'132,008","'140,000","'140,000",
"'513 Workers Compensation Insurance","'166,339","'250,000","'240,000",
"'515 Liability Claims","'500","'0","'0",
"'534 Refund to Applicant for Criminal Investigation","'0","'6,200","'1,000",
"'599 Other Charges","'7,434","'10,000","'10,000",
"'Total Board of Education","'494,585","'716,203","'716,803",
"'72320 Director of Schools","'","'","'",
"'101 County Official/Administrative Officer","'115,000","'125,000","'125,000",
"'117 Career Ladder Program","'0","'1,000","'0",
"'161 Secretary(s)","'96,768","'108,000","'116,000",
"'201 Social Security","'16,062","'17,901","'18,437",
"'204 State Retirement","'20,859","'24,037","'24,984",
"'207 Medical Insurance","'11,900","'14,000","'14,980",
"'307 Communication","'244","'3,000","'3,000",
"'336 Maint and Repair Services - Equipment","'11,332","'20,000","'15,000",
"'348 Postal Charges","'0","'1,000","'1,000",
"'355 Travel","'2,178","'3,400","'1,400",
"'399 Other Contracted Service","'672","'5,000","'5,000",
"'435 Office Supplies","'1,726","'2,500","'2,500",
"'499 Other Supplies and Materials","'2,725","'3,500","'3,500",
"'599 Other Charges","'14,349","'0","'0",
"'Total Office of the Superintendent","'293,815","'328,338","'330,801",
"'72410 Office of the Principal","'","'","'",
"'104 Principals","'673,634","'780,000","'780,000",
"'139 Assistant Principals","'517,280","'570,000","'650,000",
"'189 Other Salaries and Wages","'89,100","'96,184","'101,507",
"'201 Social Security","'95,556","'110,504","'117,160",
"'204 State Retirement","'112,841","'125,892","'137,836",
"'207 Medical Insurance","'134,327","'158,612","'169,715",
"'348 Postal Charges","'1,600","'1,600","'1,000",
"'355 Travel","'292","'3,600","'3,000",
,,,

'Confidence Scores % (Table Cell)
""'43.99414063","'93.26171875","'95.11718750","'94.53125000",
"'41.01562500","'86.96289063","'88.67187500","'88.13476563",
"'43.77441406","'92.82226563","'94.62890625","'94.09179688",
"'68.01757813","'68.01757813","'68.01757813","'68.01757813",
"'36.84082031","'78.12500000","'79.63867188","'79.15039063",
"'40.08789063","'85.00976563","'86.71875000","'86.18164063",
"'41.74804688","'88.52539063","'90.28320313","'89.69726563",
"'42.18750000","'89.45312500","'91.21093750","'90.67382813",
"'41.65039063","'88.28125000","'90.03906250","'89.50195313",
"'42.13867188","'89.35546875","'91.11328125","'90.57617188",
"'41.35742188","'87.69531250","'89.40429688","'88.86718750",
"'41.40625000","'87.79296875","'89.50195313","'88.96484375",
"'41.99218750","'89.06250000","'90.77148438","'90.23437500",
"'42.16308594","'89.40429688","'91.16210938","'90.62500000",
"'40.96679688","'86.86523438","'88.57421875","'88.03710938",
"'41.87011719","'88.76953125","'90.52734375","'89.94140625",
"'41.55273438","'88.13476563","'89.84375000","'89.30664063",
"'41.45507813","'87.93945313","'89.64843750","'89.11132813",
"'38.64746094","'81.93359375","'83.54492188","'83.05664063",
"'43.84765625","'92.96875000","'94.77539063","'94.18945313",
"'74.16992188","'74.16992188","'74.16992188","'74.16992188",
"'36.64550781","'77.68554688","'79.19921875","'78.71093750",
"'40.69824219","'86.32812500","'87.98828125","'87.50000000",
"'41.72363281","'88.47656250","'90.23437500","'89.69726563",
"'40.06347656","'84.91210938","'86.62109375","'86.08398438",
"'41.25976563","'87.50000000","'89.25781250","'88.67187500",
"'40.55175781","'85.98632813","'87.69531250","'87.15820313",
"'41.40625000","'87.79296875","'89.50195313","'88.96484375",
"'41.04003906","'87.01171875","'88.72070313","'88.18359375",
"'40.84472656","'86.57226563","'88.28125000","'87.74414063",
"'41.11328125","'87.20703125","'88.91601563","'88.37890625",
"'41.96777344","'89.01367188","'90.72265625","'90.18554688",
"'41.16210938","'87.30468750","'89.01367188","'88.47656250",
"'40.64941406","'86.18164063","'87.89062500","'87.35351563",
"'39.25781250","'83.25195313","'84.91210938","'84.37500000",
"'43.55468750","'92.38281250","'94.18945313","'93.60351563",
"'69.18945313","'69.18945313","'69.18945313","'69.18945313",
"'35.32714844","'74.90234375","'76.41601563","'75.92773438",
"'41.11328125","'87.20703125","'88.91601563","'88.37890625",
"'40.84472656","'86.57226563","'88.28125000","'87.74414063",
"'42.38281250","'89.89257813","'91.65039063","'91.06445313",
"'41.57714844","'88.18359375","'89.89257813","'89.35546875",
"'42.67578125","'90.52734375","'92.28515625","'91.74804688",
"'41.99218750","'89.06250000","'90.77148438","'90.23437500",
"'43.45703125","'92.13867188","'93.94531250","'93.35937500",
