"'Account No.","'Description","'Actual 2022-2023","'Original Estimate 2023-2024","'Estimate 2024-2025",
"'","'ESTIMATED REVENUES","'","'","'",
"'40000","'LOCAL TAXES","'","'","'",
"'40100","'County Property Taxes","'","'","'",
"'40110","'Current Property Taxes","'306,045","'299,798","'313,722",
"'40120","'Trustee's Collection Prior Year","'6,222","'12,930","'12,930",
"'40125","'Trustee's Collection Bankruptcy","'62","'0","'0",
"'40130","'Circuit/Clerk & Master Coll Prior Years","'3,254","'7,000","'7,000",
"'40140","'Interest and Penalty","'1,370","'2,260","'2,260",
"'40161","'Payments in Lieu of Taxes TVA","'340","'350","'350",
"'40200","'County Local Option Taxes","'","'","'",
"'40270","'Business Tax","'4,868","'3,500","'4,800",
"'40280","'Mineral Severance Tax","'71,894","'85,000","'85,000",
"'","'Total Local Taxes","'394,055","'410,838","'426,062",
"'43100","'General Service Charge","'","'","'",
"'43102","'Other Employee Benefit Charges/Contributions","'11,039","'0","'0",
"'","'Total General Services Charge","'11,039","'0","'0",
"'43000","'CHARGES FOR CURRENT SERVICES","'","'","'",
"'43380","'Vending Machines Collections","'1,575","'2,600","'2,600",
"'","'Total Charges for Current Services","'1,575","'2,600","'2,600",
"'44000","'OTHER LOCAL REVENUES","'","'","'",
"'44100","'Recurring Items","'","'","'",
"'44145","'Sale of Recycled Materials","'1,326","'5,500","'5,500",
"'44170","'Miscellaneous Refunds","'6","'0","'0",
"'44500","'Nonrecurring Items","'","'","'",
"'44530","'Sale of Equipment","'12,174","'150,000","'100,000",
"'","'Total Other Local Revenues","'13,506","'155,500","'105,500",
"'46000","'STATE OF TENNESSEE","'","'","'",
"'46400","'Public Works Grants","'","'","'",
"'46410","'Bridge Program","'317,448","'1,851,368","'2,000,000",
"'46420","'State Aid Program","'200,649","'1,500,000","'1,700,000",
"'46851","'State Revenue Sharing TVA","'22,109","'22,000","'22,000",
"'46920","'Gasoline and Motor Fuel Tax","'2,750,449","'2,836,818","'2,836,818",
"'46930","'Petroleum Special Tax","'16,515","'19,140","'19,140",
"'46980","'Other State Grants","'46,899","'0","'0",
"'","'Total State of Tennessee","'3,354,069","'6,229,326","'6,577,958",
,,,,

'Confidence Scores % (Table Cell)
""'40.99121094","'43.45703125","'90.33203125","'92.82226563","'95.45898438",
"'71.48437500","'71.48437500","'71.48437500","'71.48437500","'71.48437500",
"'47.16796875","'47.16796875","'47.16796875","'47.16796875","'47.16796875",
"'44.16503906","'44.16503906","'44.16503906","'44.16503906","'44.16503906",
"'39.52636719","'41.89453125","'87.10937500","'89.50195313","'92.04101563",
"'37.76855469","'40.01464844","'83.20312500","'85.49804688","'87.93945313",
"'38.98925781","'41.30859375","'85.88867188","'88.23242188","'90.77148438",
"'38.96484375","'41.30859375","'85.83984375","'88.23242188","'90.72265625",
"'38.37890625","'40.67382813","'84.52148438","'86.86523438","'89.35546875",
"'39.96582031","'42.35839844","'88.03710938","'90.47851563","'93.06640625",
"'39.42871094","'39.42871094","'39.42871094","'39.42871094","'39.42871094",
"'38.06152344","'40.33203125","'83.83789063","'86.13281250","'88.57421875",
"'38.18359375","'40.45410156","'84.08203125","'86.42578125","'88.86718750",
"'41.96777344","'41.96777344","'89.74609375","'92.23632813","'94.82421875",
"'44.65332031","'44.65332031","'44.65332031","'44.65332031","'44.65332031",
"'27.92968750","'29.61425781","'61.52343750","'63.23242188","'65.03906250",
"'40.50292969","'42.91992188","'89.20898438","'91.65039063","'94.28710938",
"'45.33691406","'45.33691406","'45.33691406","'45.33691406","'45.33691406",
"'27.66113281","'29.29687500","'60.93750000","'62.59765625","'64.40429688",
"'40.55175781","'42.96875000","'89.35546875","'91.79687500","'94.43359375",
"'52.34375000","'52.34375000","'52.34375000","'52.34375000","'52.34375000",
"'39.08691406","'39.08691406","'39.08691406","'39.08691406","'39.08691406",
"'37.79296875","'40.03906250","'83.25195313","'85.54687500","'87.98828125",
"'39.20898438","'41.55273438","'86.37695313","'88.76953125","'91.30859375",
"'37.52441406","'37.52441406","'37.52441406","'37.52441406","'37.52441406",
"'33.66699219","'35.69335938","'74.16992188","'76.22070313","'78.41796875",
"'40.52734375","'42.96875000","'89.30664063","'91.74804688","'94.38476563",
"'51.46484375","'51.46484375","'51.46484375","'51.46484375","'51.46484375",
"'41.67480469","'41.67480469","'41.67480469","'41.67480469","'41.67480469",
"'34.76562500","'36.84082031","'76.56250000","'78.66210938","'80.90820313",
"'37.93945313","'40.18554688","'83.54492188","'85.83984375","'88.28125000",
"'38.23242188","'40.52734375","'84.22851563","'86.57226563","'89.01367188",
"'37.15820313","'39.37988281","'81.83593750","'84.13085938","'86.52343750",
"'37.08496094","'39.28222656","'81.68945313","'83.93554688","'86.32812500",
"'37.15820313","'39.37988281","'81.83593750","'84.13085938","'86.52343750",
"'41.06445313","'43.53027344","'90.42968750","'92.96875000","'95.60546875",
