"'Account No. Description","'Actual 2022-2023","'Original Estimate 2023-2024","'Estimate 2024-2025",
"'201 Social Security","'61,781","'76,612","'83,600",
"'204 State Retirement","'102,435","'91,000","'129,389",
"'207 Medical Insurance","'107,800","'113,000","'120,910",
"'212 Employer Medicare","'382","'0","'0",
"'299 Other Fringe Benefits","'17,445","'37,500","'25,000",
"'335 Maintenance and Repair Services - Building","'0","'5,000","'5,000",
"'338 Maintenance and Repair Services - Vehicles","'9,596","'30,000","'30,000",
"'355 Travel","'0","'3,000","'3,000",
"'399 Other Contracted Services","'39,355","'60,000","'60,000",
"'412 Diesel Fuel","'153,178","'220,000","'200,000",
"'418 Equipment and Machinery Parts","'0","'2,000","'2,000",
"'424 Garage Supplies","'0","'4,000","'3,000",
"'425 Gasoline","'39,294","'45,000","'45,000",
"'433 Lubricants","'1,754","'12,000","'12,000",
"'442 Propane","'45,611","'75,000","'70,000",
"'450 Tires and Tubes","'17,963","'30,000","'25,000",
"'453 Vehicles Parts","'62,437","'115,000","'100,000",
"'511 Vehicle and Equipment Insurance","'44,384","'50,000","'65,000",
"'599 Other Charges","'0","'5,000","'5,000",
"'718 Motor Vehicles","'0","'80,000","'0",
"'729 Transportation Equipment","'435,672","'478,500","'160,000",
"'790 Other Equipment","'0","'0","'0",
"'Total Transportation","'1,980,537","'2,546,304","'2,236,715",
"'72810 Central and Other","'","'","'",
"'201 Social Security","'210","'383","'383",
"'210 Unemployment Compensation","'0","'35,000","'20,000",
"'299 Other Fringe Benefits","'2,675","'5,000","'5,000",
"'316 Contributions","'140,000","'152,500","'50,000",
"'399 Other Contracted Services","'9,876","'35,000","'50,000",
"'499 Other Supplies and Materials","'13,111","'30,000","'15,000",
"'599 Other Charges","'47,748","'148,980","'40,000",
"'Total Central and Other","'213,620","'406,863","'180,383",
"'Total Support Services","'11,722,595","'14,245,626","'14,567,952",
"'73000 Operation of Non-Instructional Services","'","'","'",
"'73100 Food Service","'","'","'",
"'105 Supervisor/Director","'32,500","'36,000","'37,500",
"'165 Cafeteria Personnel","'16,800","'0","'0",
"'201 Social Security","'3,528","'2,754","'2,869",
"'204 State Retirement","'5,192","'4,262","'4,440",
"'212 Employer Medicare","'244","'0","'0",
"'Total Food Service","'58,264","'43,016","'44,809",
,,,

'Confidence Scores % (Table Cell)
""'39.96582031","'94.18945313","'95.36132813","'96.04492188",
"'38.30566406","'90.28320313","'91.40625000","'92.04101563",
"'37.96386719","'89.45312500","'90.57617188","'91.21093750",
"'38.47656250","'90.67382813","'91.79687500","'92.43164063",
"'38.25683594","'90.18554688","'91.30859375","'91.94335938",
"'38.25683594","'90.13671875","'91.25976563","'91.89453125",
"'37.71972656","'88.91601563","'89.99023438","'90.62500000",
"'37.98828125","'89.55078125","'90.62500000","'91.30859375",
"'37.28027344","'87.89062500","'88.96484375","'89.59960938",
"'38.47656250","'90.72265625","'91.84570313","'92.48046875",
"'38.18359375","'89.99023438","'91.11328125","'91.74804688",
"'38.47656250","'90.67382813","'91.79687500","'92.43164063",
"'37.28027344","'87.89062500","'88.96484375","'89.59960938",
"'37.84179688","'89.20898438","'90.33203125","'90.96679688",
"'38.42773438","'90.57617188","'91.69921875","'92.33398438",
"'37.50000000","'88.37890625","'89.45312500","'90.08789063",
"'38.01269531","'89.59960938","'90.67382813","'91.35742188",
"'38.06152344","'89.74609375","'90.82031250","'91.50390625",
"'37.67089844","'88.81835938","'89.89257813","'90.52734375",
"'38.13476563","'89.89257813","'90.96679688","'91.60156250",
"'36.93847656","'87.01171875","'88.08593750","'88.72070313",
"'37.84179688","'89.16015625","'90.28320313","'90.91796875",
"'34.52148438","'81.34765625","'82.37304688","'82.95898438",
"'39.57519531","'93.26171875","'94.38476563","'95.06835938",
"'65.82031250","'65.82031250","'65.82031250","'65.82031250",
"'31.10351563","'73.33984375","'74.21875000","'74.75585938",
"'37.69531250","'88.86718750","'89.94140625","'90.57617188",
"'36.54785156","'86.13281250","'87.20703125","'87.84179688",
"'37.47558594","'88.33007813","'89.40429688","'90.03906250",
"'37.30468750","'87.93945313","'89.01367188","'89.64843750",
"'37.69531250","'88.86718750","'89.94140625","'90.57617188",
"'34.88769531","'82.27539063","'83.25195313","'83.83789063",
"'39.30664063","'92.67578125","'93.79882813","'94.48242188",
"'38.84277344","'91.55273438","'92.67578125","'93.31054688",
"'55.90820313","'55.90820313","'55.90820313","'55.90820313",
"'45.43457031","'45.43457031","'45.43457031","'45.43457031",
"'36.23046875","'85.40039063","'86.47460938","'87.06054688",
"'36.84082031","'86.81640625","'87.89062500","'88.47656250",
"'37.76855469","'89.01367188","'90.13671875","'90.77148438",
"'36.86523438","'86.91406250","'87.98828125","'88.57421875",
"'38.06152344","'89.69726563","'90.77148438","'91.45507813",
"'39.77050781","'93.70117188","'94.87304688","'95.55664063",
