"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'47100 Federal Through State","'","'","'",
"'47230 Disaster Relief","'8,640","'0","'0",
"'47235 Homeland Security Grants","'0","'41,661","'41,127",
"'47235-THSO Homeland Security Grants-TN Hwy Safety","'0","'0","'20,000",
"'47235-TSEE Homeland Security Grants-Traffic Safety Enforcement","'2,000","'25,000","'0",
"'47250-ELC Law Enforcement Grants-ELC Confinement Facility","'6,908","'176,290","'0",
"'47250-VCIF Law Enforcement Grants-Violent Crime","'0","'96,806","'0",
"'47301 Covid 19 Grant#1-Dept of Health Drug Room","'0","'100,000","'90,800",
"'47590 Other Federal Through State","'0","'0","'0",
"'Total Federal Through State","'17,548","'439,757","'151,927",
"'47600 DIRECT FEDERAL REVENUE","'","'","'",
"'47903 American Rescue Plan Act Grant #8 (LATCF)","'50,000","'0","'0",
"'47990 Other Direct Federal","'0","'0","'0",
"'Total Direct Federal","'50,000","'0","'0",
"'TOTAL FEDERAL GOVERNMENT","'67,548","'439,757","'151,927",
"'48000 OTHER GOVERNMENTS AND CITIZEN GROUPS","'","'","'",
"'48100 Other Governments","'","'","'",
"'48130 Contributions","'45,000","'45,000","'45,000",
"'48130-TOUR Contributions-Tourism Grant","'0","'0","'0",
"'Total Other Governments","'45,000","'45,000","'45,000",
"'48600 Citizens Groups","'","'","'",
"'48610 Donations","'25","'0","'0",
"'48610-HOSP Donations-Ascension St. Thomas Hickman","'5,000","'5,000","'0",
"'48610-LIB Donations-Library","'100","'0","'0",
"'Total Citizen Groups","'5,125","'5,000","'0",
"'48900 Other","'","'","'",
"'48990-TRMT Other-Tennessee Risk Management Grant","'0","'0","'0",
"'48991 Opioid Settlement Funds-Past Remediation","'54,259","'0","'27,585",
"'Total Other","'54,259","'0","'27,585",
"'TOTAL OTHER GOVERNMENTS AND CITIZEN GROUPS","'104,384","'50,000","'72,585",
"'TOTAL ESIMATED REVENUES","'14,482,891","'14,941,338","'17,983,014",
"'49000 ESTIMATED OTHER SOURCES (NON-REVENUE)","'","'","'",
"'49700 Insurance Recovery","'64,863","'40,000","'40,000",
"'49800 Transfers In","'35,000","'35,000","'35,000",
"'TOTAL ESTIMATED OTHER SOURCES (NON-REVENUE","'99,863","'75,000","'75,000",
"'TOTAL ESTIMATED REVENUES AND OTHER SOURCES","'14,582,754","'15,016,338","'18,058,014",
,,,

'Confidence Scores % (Table Cell)
""'91.40625000","'92.87109375","'95.94726563","'94.28710938",
"'67.67578125","'67.67578125","'67.67578125","'67.67578125",
"'81.88476563","'83.20312500","'85.93750000","'84.47265625",
"'86.62109375","'88.03710938","'90.91796875","'89.35546875",
"'88.18359375","'89.64843750","'92.57812500","'90.96679688",
"'86.62109375","'88.03710938","'90.91796875","'89.35546875",
"'86.52343750","'87.93945313","'90.82031250","'89.25781250",
"'86.52343750","'87.93945313","'90.82031250","'89.25781250",
"'87.50000000","'88.96484375","'91.84570313","'90.28320313",
"'83.59375000","'84.96093750","'87.74414063","'86.23046875",
"'90.82031250","'92.28515625","'95.31250000","'93.70117188",
"'55.07812500","'55.07812500","'55.07812500","'55.07812500",
"'68.75000000","'69.87304688","'72.16796875","'70.94726563",
"'84.57031250","'85.98632813","'88.76953125","'87.25585938",
"'90.33203125","'91.84570313","'94.82421875","'93.21289063",
"'89.45312500","'90.91796875","'93.89648438","'92.28515625",
"'62.59765625","'62.59765625","'62.59765625","'62.59765625",
"'45.60546875","'45.60546875","'45.60546875","'45.60546875",
"'77.24609375","'78.51562500","'81.05468750","'79.68750000",
"'86.47460938","'87.89062500","'90.77148438","'89.20898438",
"'90.86914063","'92.33398438","'95.36132813","'93.75000000",
"'61.42578125","'61.42578125","'61.42578125","'61.42578125",
"'65.03906250","'66.11328125","'68.26171875","'67.08984375",
"'84.37500000","'85.79101563","'88.57421875","'87.06054688",
"'83.78906250","'85.20507813","'87.98828125","'86.47460938",
"'90.82031250","'92.28515625","'95.31250000","'93.70117188",
"'65.33203125","'65.33203125","'65.33203125","'65.33203125",
"'67.67578125","'68.75000000","'71.04492188","'69.82421875",
"'78.75976563","'80.02929688","'82.66601563","'81.25000000",
"'89.16015625","'90.62500000","'93.60351563","'91.99218750",
"'88.62304688","'90.08789063","'93.06640625","'91.45507813",
"'88.76953125","'90.23437500","'93.16406250","'91.60156250",
"'48.04687500","'48.04687500","'48.04687500","'48.04687500",
"'54.19921875","'55.12695313","'56.93359375","'55.95703125",
"'83.44726563","'84.81445313","'87.59765625","'86.08398438",
"'89.69726563","'91.16210938","'94.14062500","'92.52929688",
"'89.99023438","'91.45507813","'94.48242188","'92.82226563",
