"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'Total Estimated Expenditures","'1,973,029","'2,078,124","'2,244,029",
"'","'","'","'",
"'Excess of Estimated Revenue Over (under)","'","'","'",
"'Estimated Expenditures","'(168,238)","'(448,824)","'(470,729)",
"'Estimated Beginning Fund Balance July 1","'1,153,795","'985,557","'550,000",
"'Fund Balance Audit Adjustment","'","'","'",
"'Estimated Ending Fund Balance June 30","'985,557","'536,733","'79,271",
,,,

'Confidence Scores % (Table Cell)
""'86.76757813","'91.79687500","'90.67382813","'94.33593750",
"'42.82226563","'45.31250000","'44.77539063","'46.55761719",
"'33.88671875","'33.88671875","'33.88671875","'33.88671875",
"'37.20703125","'39.35546875","'38.89160156","'40.45410156",
"'38.30566406","'40.52734375","'40.03906250","'41.65039063",
"'82.47070313","'87.25585938","'86.18164063","'89.64843750",
"'38.37890625","'40.60058594","'40.11230469","'41.72363281",
"'39.13574219","'41.40625000","'40.91796875","'42.55371094",
