"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'Total Property Assessor's Office","'261,916","'308,662","'320,119",
"'52400 County Trustee's Office","'","'","'",
"'101 County Official","'86,395","'90,715","'95,251",
"'106 Deputy","'35,277","'37,041","'38,523",
"'121 Data Processing Personnel","'28,165","'29,574","'34,216",
"'140 Salary Supplement","'4,008","'5,625","'4,875",
"'162 Clerical Personnel","'31,816","'33,407","'31,200",
"'169 Part-time Personnel","'9,048","'15,000","'15,750",
"'186 Longevity Pay","'2,600","'2,900","'4,300",
"'317 Data Processing Services","'12,916","'13,000","'11,000",
"'332 Legal Notices, Recording and Court Costs","'233","'400","'400",
"'349 Printing Stationary Forms","'4,976","'6,800","'6,900",
"'355 Travel","'1,586","'2,200","'2,200",
"'399 Other Contracted Services","'1,702","'3,325","'3,325",
"'435 Office Supplies","'3,244","'3,500","'3,500",
"'508 Surety Bond","'13,365","'0","'0",
"'524 In-Service/Staff Development","'1,085","'1,600","'1,600",
"'719 Office Equipment","'2,543","'3,500","'3,500",
"'Total Trustees Office","'238,959","'248,587","'256,540",
"'52500 County Clerk Office","'","'","'",
"'101 County Official","'86,395","'90,715","'95,251",
"'106 Deputy","'33,729","'35,416","'36,833",
"'140 Salary Supplement","'16,258","'7,500","'7,500",
"'161 Secretary","'32,150","'33,758","'35,109",
"'162 Clerical Personnel","'92,106","'96,646","'100,512",
"'169 Part-Time Personnel","'11,340","'15,000","'15,000",
"'186 Longevity Pay","'7,900","'6,000","'6,400",
"'317 Data Processing Services","'26,445","'28,591","'28,467",
"'355 Travel","'3,895","'4,000","'4,000",
"'435 Office Supplies","'3,689","'3,000","'4,000",
"'524 In-Service/Staff Development","'1,349","'1,400","'1,500",
"'719 Office Equipment","'16,681","'3,000","'3,500",
"'Total County Clerk","'331,937","'325,026","'338,072",
"'Total Finance","'1,133,658","'1,206,645","'1,275,861",
"'53000 ADMINISTRATION OF JUSTICE","'","'","'",
"'53100 Circuit Court","'","'","'",
"'101 County Official","'86,395","'90,715","'95,251",
"'106 Deputies","'147,273","'180,310","'216,199",
"'169 Part-time Personnel","'16,980","'5,000","'15,000",
"'186 Longevity Pay","'5,800","'5,400","'5,700",
"'189 Other Salaries and Wages","'28,035","'27,573","'0",
"'194 Jury & Witness Fees","'1,995","'5,000","'5,000",
"'317 Data Processing Services","'23,688","'25,345","'30,000",
"'332 Legal Notices, Recording & Court Costs","'1,338","'600","'650",
"'337 Maint and Repair Services - Equipment","'1,870","'2,500","'2,500",
,,,

'Confidence Scores % (Table Cell)
""'96.72851563","'93.60351563","'94.58007813","'94.43359375",
"'89.55078125","'86.66992188","'87.54882813","'87.45117188",
"'71.87500000","'71.87500000","'71.87500000","'71.87500000",
"'88.96484375","'86.13281250","'87.01171875","'86.86523438",
"'93.65234375","'90.67382813","'91.60156250","'91.45507813",
"'92.57812500","'89.64843750","'90.57617188","'90.42968750",
"'92.57812500","'89.64843750","'90.57617188","'90.42968750",
"'92.08984375","'89.11132813","'90.03906250","'89.89257813",
"'92.62695313","'89.69726563","'90.62500000","'90.47851563",
"'92.82226563","'89.89257813","'90.82031250","'90.67382813",
"'91.94335938","'89.01367188","'89.89257813","'89.79492188",
"'92.48046875","'89.55078125","'90.47851563","'90.33203125",
"'92.23632813","'89.25781250","'90.18554688","'90.03906250",
"'92.04101563","'89.06250000","'89.99023438","'89.84375000",
"'93.40820313","'90.42968750","'91.35742188","'91.21093750",
"'93.01757813","'90.03906250","'90.96679688","'90.82031250",
"'90.08789063","'87.20703125","'88.08593750","'87.93945313",
"'92.91992188","'89.94140625","'90.86914063","'90.77148438",
"'91.55273438","'88.62304688","'89.55078125","'89.40429688",
"'96.53320313","'93.40820313","'94.38476563","'94.23828125",
"'70.01953125","'70.01953125","'70.01953125","'70.01953125",
"'83.39843750","'80.71289063","'81.54296875","'81.39648438",
"'93.11523438","'90.13671875","'91.06445313","'90.91796875",
"'91.89453125","'88.96484375","'89.84375000","'89.74609375",
"'89.30664063","'86.42578125","'87.35351563","'87.20703125",
"'91.60156250","'88.67187500","'89.59960938","'89.45312500",
"'90.91796875","'88.03710938","'88.91601563","'88.76953125",
"'89.99023438","'87.10937500","'87.98828125","'87.84179688",
"'89.50195313","'86.62109375","'87.54882813","'87.40234375",
"'91.79687500","'88.86718750","'89.74609375","'89.64843750",
"'90.62500000","'87.74414063","'88.62304688","'88.52539063",
"'88.72070313","'85.88867188","'86.76757813","'86.62109375",
"'90.47851563","'87.59765625","'88.52539063","'88.37890625",
"'95.80078125","'92.72460938","'93.70117188","'93.55468750",
"'93.11523438","'90.13671875","'91.06445313","'90.91796875",
"'72.02148438","'72.02148438","'72.02148438","'72.02148438",
"'54.88281250","'54.88281250","'54.88281250","'54.88281250",
"'88.08593750","'85.30273438","'86.18164063","'86.03515625",
"'91.94335938","'89.01367188","'89.89257813","'89.79492188",
"'93.55468750","'90.57617188","'91.50390625","'91.35742188",
"'90.13671875","'87.25585938","'88.18359375","'88.03710938",
"'90.57617188","'87.69531250","'88.62304688","'88.47656250",
"'93.26171875","'90.28320313","'91.21093750","'91.06445313",
"'92.77343750","'89.84375000","'90.77148438","'90.62500000",
"'93.55468750","'90.57617188","'91.50390625","'91.35742188",
"'95.65429688","'92.57812500","'93.55468750","'93.40820313",
