"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'ESTIMATED REVENUES","'","'","'",
"'40000 LOCAL TAXES","'","'","'",
"'40100 County Property Taxes","'","'","'",
"'40110 Current Property Taxes","'87,373","'85,582","'0",
"'40120 Trustee's Collection-Prior Year","'1,780","'3,000","'2,000",
"'40125 Trustee's Collection-Bankruptcy","'18","'100","'100",
"'40130 Circuit/Clerk & Master Coll-Prior Years","'930","'1,500","'735",
"'40140 Interest & Penalty","'390","'500","'500",
"'40161 Payments in lieu of Taxes-TVA","'97","'150","'150",
"'Total County Property Taxes","'90,588","'90,832","'3,485",
"'40200 County Local Option Taxes","'","'","'",
"'40210 Local Option Sales Taxes","'1,820,400","'1,700,000","'250,000-",
"'40240 Wheel Tax","'827,497","'850,000","'850,000",
"'40270 Business Tax","'1,390","'1,300","'1,300",
"'Total County Local Option Taxes","'2,649,287","'2,551,300","'1,101,300",
"'Total Local Taxes","'2,739,875","'2,642,132","'1,104,785",
"'44000 OTHER LOCAL REVENUES","'","'","'",
"'44100 Recurring Items","'","'","'",
"'44110 Investment Income","'522,345","'300,000","'650,000",
"'Total Recurring Items","'522,345","'300,000","'650,000",
"'44500 Nonrecurring Items","'","'","'",
"'44990 Other Local Revenue","'0","'0","'0",
"'Total Nonrecurring Items","'0","'0","'0",
"'Total Other Local Revenues","'522,345","'300,000","'650,000",
"'46000 STATE OF TENNESSEE","'","'","'",
"'46800 Other State Revenues","'","'","'",
"'46851 State Revenue Sharing-TVA","'6,312","'6,312","'6,431",
"'Total State of Tennessee","'6,312","'6,312","'6,431",
,,,

'Confidence Scores % (Table Cell)
""'38.76953125","'86.81640625","'93.45703125","'92.48046875",
"'75.83007813","'75.83007813","'75.83007813","'75.83007813",
"'53.71093750","'53.71093750","'53.71093750","'53.71093750",
"'49.31640625","'49.31640625","'49.31640625","'49.31640625",
"'35.69335938","'79.98046875","'86.03515625","'85.15625000",
"'37.13378906","'83.20312500","'89.50195313","'88.57421875",
"'37.20703125","'83.34960938","'89.69726563","'88.76953125",
"'36.42578125","'81.59179688","'87.79296875","'86.86523438",
"'36.13281250","'80.90820313","'87.06054688","'86.13281250",
"'35.71777344","'79.98046875","'86.08398438","'85.20507813",
"'38.54980469","'86.32812500","'92.87109375","'91.94335938",
"'60.40039063","'60.40039063","'60.40039063","'60.40039063",
"'30.24902344","'67.72460938","'72.90039063","'72.11914063",
"'35.96191406","'80.56640625","'86.66992188","'85.79101563",
"'36.42578125","'81.59179688","'87.79296875","'86.86523438",
"'38.40332031","'86.03515625","'92.57812500","'91.60156250",
"'37.79296875","'84.66796875","'91.06445313","'90.13671875",
"'59.57031250","'59.57031250","'59.57031250","'59.57031250",
"'41.87011719","'41.87011719","'41.87011719","'41.87011719",
"'31.68945313","'70.94726563","'76.36718750","'75.58593750",
"'38.37890625","'85.98632813","'92.52929688","'91.55273438",
"'57.27539063","'57.27539063","'57.27539063","'57.27539063",
"'25.87890625","'57.95898438","'62.40234375","'61.71875000",
"'38.03710938","'85.15625000","'91.65039063","'90.67382813",
"'37.35351563","'83.64257813","'89.99023438","'89.06250000",
"'55.56640625","'55.56640625","'55.56640625","'55.56640625",
"'41.96777344","'41.96777344","'41.96777344","'41.96777344",
"'31.10351563","'69.62890625","'74.90234375","'74.16992188",
"'38.37890625","'85.98632813","'92.52929688","'91.55273438",
