"'Account No. Description","'Actual 2022-2023","'Original Estimated 2023-2024","'Estimated 2024-2025",
"'719 Office Equipment","'1,860","'2,800","'2,800",
"'791 Other Construction","'0","'0","'0",
"'Total Planning","'204,207","'227,837","'383,527",
"'51800 County Buildings","'","'","'",
"'105 Facility Supervisor","'50,000","'52,501","'57,751",
"'166 Custodial Personnel","'27,675","'29,178","'30,346",
"'167 Maintenance Personnel","'39,473","'47,251","'49,142",
"'169 Part-Time Personnel","'9,435","'13,500","'14,500",
"'335 Maint and Repair-buildings","'185,573","'241,500","'245,000",
"'335-ADA Maint and Repair-buildings(ADA)","'0","'3,000","'3,000",
"'336 Maint and Repair-equipment","'0","'10,000","'10,000",
"'338 Maint and Repair-vehicle","'1,749","'5,000","'5,000",
"'355 Travel","'466","'750","'750",
"'410 Custodial Supplies","'16,963","'18,000","'18,000",
"'425 Gasoline","'2,354","'7,500","'6,000",
"'435 Office Supplies","'817","'1,000","'1,000",
"'451 Uniforms","'316","'3,000","'2,000",
"'599 Other Charges","'20","'1,000","'1,000",
"'718 Motor Vehicles","'12,500","'15,000","'0",
"'Total County Buildings","'347,341","'448,180","'443,489",
"'51810 Other Facilities","'","'","'",
"'307 Communication","'115,690","'140,000","'140,000",
"'347 Pest Control","'7,600","'8,000","'8,000",
"'359 Disposal Fee","'21","'1,000","'1,000",
"'415 Electricity","'149,916","'175,000","'180,000",
"'452 Utilities","'88,933","'105,000","'110,000",
"'Total Other Facilities","'362,160","'429,000","'439,000",
"'51900 Other General Administration","'","'","'",
"'189 Other Salaries and Wages","'85,643","'89,925","'0",
"'334 Maintenance Agreements","'11,482","'11,000","'12,500",
"'336 Maintenance and Repair-Equipment","'197","'2,000","'1,500",
"'355 Travel","'349","'400","'0",
"'399 Other Contracted Services","'639","'2,000","'85,000",
"'435 Office Supplies","'186","'1,000","'0",
"'499 Other Supplies and Materials","'288","'1,000","'0",
"'524 In-Service/Staff Development","'0","'0","'0",
"'719 Office Equipment","'29,062","'20,000","'16,000",
"'Total Other General Administration","'127,846","'127,325","'115,000",
"'51910 Preservation of Records","'","'","'",
"'140 Salary Supplement","'1,500","'1,500","'1,500",
"'162 Clerical Personnel","'35,310","'33,758","'35,109",
"'186 Longevity Pay","'2,500","'2,400","'2,500",
"'351 Rentals","'0","'0","'12,000",
,,,

'Confidence Scores % (Table Cell)
""'96.87500000","'92.62695313","'94.77539063","'96.28906250",
"'90.82031250","'86.81640625","'88.81835938","'90.23437500",
"'88.47656250","'84.61914063","'86.52343750","'87.89062500",
"'96.38671875","'92.13867188","'94.23828125","'95.75195313",
"'73.63281250","'73.63281250","'73.63281250","'73.63281250",
"'82.03125000","'78.41796875","'80.22460938","'81.49414063",
"'91.79687500","'87.74414063","'89.74609375","'91.16210938",
"'92.87109375","'88.81835938","'90.82031250","'92.28515625",
"'92.67578125","'88.62304688","'90.67382813","'92.08984375",
"'92.72460938","'88.67187500","'90.72265625","'92.13867188",
"'93.79882813","'89.69726563","'91.74804688","'93.16406250",
"'93.11523438","'89.01367188","'91.06445313","'92.52929688",
"'90.38085938","'86.42578125","'88.42773438","'89.79492188",
"'93.89648438","'89.74609375","'91.84570313","'93.26171875",
"'92.48046875","'88.42773438","'90.47851563","'91.89453125",
"'91.94335938","'87.89062500","'89.89257813","'91.30859375",
"'93.55468750","'89.45312500","'91.50390625","'92.91992188",
"'91.84570313","'87.79296875","'89.79492188","'91.21093750",
"'92.52929688","'88.47656250","'90.52734375","'91.94335938",
"'86.42578125","'82.61718750","'84.52148438","'85.83984375",
"'96.38671875","'92.13867188","'94.23828125","'95.75195313",
"'72.85156250","'72.85156250","'72.85156250","'72.85156250",
"'83.25195313","'79.58984375","'81.44531250","'82.71484375",
"'88.72070313","'84.81445313","'86.76757813","'88.13476563",
"'93.01757813","'88.96484375","'90.96679688","'92.43164063",
"'91.25976563","'87.25585938","'89.25781250","'90.67382813",
"'85.30273438","'81.59179688","'83.44726563","'84.76562500",
"'95.84960938","'91.65039063","'93.75000000","'95.21484375",
"'66.55273438","'66.55273438","'66.55273438","'66.55273438",
"'76.85546875","'73.48632813","'75.19531250","'76.36718750",
"'89.84375000","'85.93750000","'87.89062500","'89.30664063",
"'90.86914063","'86.86523438","'88.86718750","'90.28320313",
"'92.77343750","'88.72070313","'90.77148438","'92.18750000",
"'91.89453125","'87.84179688","'89.84375000","'91.25976563",
"'90.77148438","'86.81640625","'88.76953125","'90.18554688",
"'91.99218750","'87.93945313","'89.94140625","'91.35742188",
"'90.57617188","'86.62109375","'88.57421875","'89.99023438",
"'89.40429688","'85.44921875","'87.45117188","'88.81835938",
"'96.24023438","'91.99218750","'94.14062500","'95.60546875",
"'68.50585938","'68.50585938","'68.50585938","'68.50585938",
"'84.08203125","'80.37109375","'82.22656250","'83.54492188",
"'91.74804688","'87.69531250","'89.69726563","'91.11328125",
"'93.06640625","'88.96484375","'91.01562500","'92.48046875",
"'95.01953125","'90.86914063","'92.96875000","'94.43359375",
