"'Account No.","'Description","'Actual 2019-2020","'Original Estimated 2020-2021","'Estimated 2021-2022",
"'42000","'FINES FORFEITURES AND PENALTIES","'","'","'",
"'42100","'Circuit Court","'","'","'",
"'42110","'Fines","'5,369","'6,000","'4,200",
"'42120","'Officers Cost","'3,415","'3,200","'3,200",
"'42141","'Drug Court Fees","'750","'1,000","'600",
"'42150","'Jail Fees","'929","'900","'1,000",
"'42180","'DUI Treatment Fines","'760","'500","'300",
"'42190","'Data Entry Fee-Circuit Court","'533","'600","'300",
"'","'Total Circuit Court","'11,756","'12,200","'9,600",
"'42200","'Criminal Court","'","'","'",
"'42280","'DUI Treatment Fines","'613","'600","'400",
"'","'Total Criminal Court","'613","'600","'400",
"'42300","'General Sessions Court","'","'","'",
"'42310","'Fines","'5,381","'8,000","'7,000",
"'42320","'Officers Cost","'27,550","'30,000","'22,000",
"'42330","'Game and Fish Fines","'1,487","'2,000","'300",
"'42341","'Drug Court Fees","'1,779","'3,000","'2,000",
"'42350","'Jail Fees","'7,632","'9,000","'7,000",
"'42380","'DUI Treatment Fines","'1,882","'2,500","'2,000",
"'42390","'Data Entry Fee-General Sessions","'11,942","'12,500","'7,500",
"'","'Total General Sessions Court","'57,653","'67,000","'47,800",
"'42400","'Juvenile Court","'","'","'",
"'42410","'Fines","'0","'0","'0",
"'42490","'Data Entry Fee-Juvenile Court","'0","'0","'0",
"'","'Total Juvenile Court","'0","'0","'0",
"'42500","'Chancery Court","'","'","'",
"'42520","'Officers Costs","'1,879","'2,000","'1,000",
"'42530","'Data Entry Fee-Chancery Court","'2,412","'2,500","'2,500",
"'","'Total Chancery Court","'4,291","'4,500","'3,500",
"'42800","'Judicial District Drug Program","'","'","'",
"'42871","'Courtroom Security Fee","'6,272","'7,000","'10,000",
"'","'Total Judicial District Drug Program","'6,272","'7,000","'10,000",
"'42900","'Other Fines, Forfeitures, and Seizures","'","'","'",
"'42910","'Proceeds from Confiscated Property","'2,226","'3,000","'3,000",
"'42990","'Other Fines, Forfeitures, and Penalties","'7,600","'7,200","'1,500",
"'","'Total Other Fines, Forfeitures and Seizures","'9,826","'10,200","'4,500",
,,,,

'Confidence Scores % (Table Cell)
""'54.00390625","'75.53710938","'93.21289063","'94.43359375","'91.55273438",
"'40.72265625","'40.72265625","'40.72265625","'40.72265625","'40.72265625",
"'34.86328125","'48.75488281","'60.15625000","'60.93750000","'59.08203125",
"'50.09765625","'70.06835938","'86.42578125","'87.54882813","'84.86328125",
"'51.26953125","'71.67968750","'88.42773438","'89.59960938","'86.86523438",
"'51.41601563","'71.87500000","'88.67187500","'89.84375000","'87.10937500",
"'50.53710938","'70.65429688","'87.15820313","'88.33007813","'85.59570313",
"'50.87890625","'71.14257813","'87.74414063","'88.91601563","'86.18164063",
"'49.85351563","'69.72656250","'85.98632813","'87.15820313","'84.47265625",
"'53.71093750","'75.14648438","'92.67578125","'93.94531250","'91.06445313",
"'47.94921875","'47.94921875","'47.94921875","'47.94921875","'47.94921875",
"'34.27734375","'47.92480469","'59.13085938","'59.91210938","'58.10546875",
"'53.22265625","'74.41406250","'91.79687500","'93.06640625","'90.18554688",
"'52.73437500","'52.73437500","'52.73437500","'52.73437500","'52.73437500",
"'41.35742188","'57.81250000","'71.33789063","'72.26562500","'70.06835938",
"'49.97558594","'69.92187500","'86.23046875","'87.35351563","'84.71679688",
"'50.68359375","'70.89843750","'87.45117188","'88.62304688","'85.93750000",
"'49.51171875","'69.23828125","'85.44921875","'86.57226563","'83.93554688",
"'50.00000000","'69.92187500","'86.27929688","'87.40234375","'84.76562500",
"'49.21875000","'68.84765625","'84.91210938","'86.08398438","'83.44726563",
"'48.75488281","'68.16406250","'84.08203125","'85.20507813","'82.61718750",
"'53.61328125","'75.00000000","'92.52929688","'93.75000000","'90.86914063",
"'50.09765625","'50.09765625","'50.09765625","'50.09765625","'50.09765625",
"'38.91601563","'54.44335938","'67.13867188","'68.01757813","'65.96679688",
"'48.38867188","'67.67578125","'83.49609375","'84.61914063","'82.03125000",
"'53.75976563","'75.24414063","'92.77343750","'94.04296875","'91.16210938",
"'46.48437500","'46.48437500","'46.48437500","'46.48437500","'46.48437500",
"'39.81933594","'55.71289063","'68.70117188","'69.62890625","'67.48046875",
"'48.60839844","'67.96875000","'83.83789063","'84.96093750","'82.37304688",
"'53.71093750","'75.14648438","'92.67578125","'93.94531250","'91.06445313",
"'42.16308594","'42.16308594","'42.16308594","'42.16308594","'42.16308594",
"'31.27441406","'43.75000000","'53.95507813","'54.68750000","'53.02734375",
"'53.17382813","'74.36523438","'91.69921875","'92.96875000","'90.08789063",
"'43.40820313","'43.40820313","'43.40820313","'43.40820313","'43.40820313",
"'39.47753906","'55.22460938","'68.11523438","'68.99414063","'66.89453125",
"'49.65820313","'69.43359375","'85.64453125","'86.81640625","'84.17968750",
"'53.95507813","'75.43945313","'93.06640625","'94.28710938","'91.40625000",
