"'Adequate Facilities Tax Fund 125 Statement of Proposed Operations For the Fiscal Year Ending June 30, 2022 Account No. Description","'Actual 2019-2020","'Original Estimated 2020-2021","'Estimated 2021-2022",
"'ESTIMATED REVENUES","'","'","'",
"'40200 COUNTY LOCAL OPTION TAXES","'","'","'",
"'40285 Adequate Facilities/Development Tax","'193,231","'160,000","'280,000",
"'Total Local Option Taxes","'193,231","'160,000","'280,000",
"'Total Revenues","'193,231","'160,000","'280,000",
"'ESTIMATED EXPENDITURES","'","'","'",
"'50000 GENERAL COUNTY OPERATIONS","'","'","'",
"'51730 Building","'","'","'",
"'509 Refunds","'0","'0","'0",
"'510 Trustee's Commission","'1,962","'2,500","'2,500",
"'Total Building","'1,962","'2,500","'2,500",
"'90000 CAPITAL PROJECTS","'","'","'",
"'91130 Public Safety Projects","'","'","'",
"'707 Building Improvements","'177,500","'0","'0",
"'Total Public Safety Projects","'177,500","'0","'0",
"'99100 TRANSFERS OUT","'","'","'",
"'590 Transfers to Other Funds","'0","'0","'280,000",
"'Total Transfers Out","'0","'0","'280,000",
"'Total Estimated Expenditures","'179,462","'2,500","'282,500",
"'Excess of Estimated Revenue and Other","'","'","'",
"'Sources over/under Estimated Expendit","'13,769","'157,500","'(2,500)",
"'Estimated Beginning Fund Balance July","'644,519","'658,288","'900,000",
"'Estimated Ending Fund Balance June 3(","'658,288","'815,788","'897,500",
,,,

'Confidence Scores % (Table Cell)
""'46.97265625","'85.59570313","'88.62304688","'87.45117188",
"'71.28906250","'71.28906250","'71.28906250","'71.28906250",
"'41.96777344","'41.96777344","'41.96777344","'41.96777344",
"'25.46386719","'48.14453125","'49.26757813","'50.53710938",
"'45.60546875","'86.18164063","'88.18359375","'90.47851563",
"'45.58105469","'86.13281250","'88.13476563","'90.42968750",
"'68.75000000","'68.75000000","'68.75000000","'68.75000000",
"'49.21875000","'49.21875000","'49.21875000","'49.21875000",
"'37.84179688","'37.84179688","'37.84179688","'37.84179688",
"'35.88867188","'67.82226563","'69.38476563","'71.19140625",
"'41.62597656","'78.66210938","'80.46875000","'82.56835938",
"'45.92285156","'86.81640625","'88.81835938","'91.11328125",
"'52.34375000","'52.34375000","'52.34375000","'52.34375000",
"'37.67089844","'37.67089844","'37.67089844","'37.67089844",
"'32.93457031","'62.25585938","'63.67187500","'65.38085938",
"'45.97167969","'86.91406250","'88.91601563","'91.21093750",
"'47.65625000","'47.65625000","'47.65625000","'47.65625000",
"'29.32128906","'55.41992188","'56.68945313","'58.20312500",
"'45.70312500","'86.37695313","'88.37890625","'90.67382813",
"'45.75195313","'86.52343750","'88.47656250","'90.82031250",
"'38.50097656","'44.48242188","'45.50781250","'38.72070313",
"'38.50097656","'40.91796875","'41.87011719","'38.72070313",
"'41.33300781","'78.12500000","'79.93164063","'82.03125000",
"'43.99414063","'83.15429688","'85.05859375","'87.30468750",
