"'Account No. Description","'Actual 2019-2020","'Original Estimate 2020-2021","'Estimate 2021-2022",
"'207 Medical Insurance","'0","'0","'0",
"'210 Unemployment Compensation","'6,020","'35,000","'35,000",
"'299 Other Fringe Benefits","'0","'5,000","'5,000",
"'316 Contributions","'133,500","'152,500","'152,500",
"'399 Other Contracted Services","'24,984","'30,000","'35,000",
"'499 Other Supplies and Materials","'17,290","'30,000","'30,000",
"'599 Other Charges","'5,000","'0","'0",
"'Total Central and Other","'186,794","'253,500","'257,500",
"'Total Support Services","'10,514,339","'11,974,383","'12,594,580",
"'73000 Operation of Non-Instructional Services","'","'","'",
"'73100 Food Service","'","'","'",
"'105 Supervisor/Director","'23,333","'23,800","'30,000",
"'201 Social Security","'1,744","'1,821","'2,295",
"'204 State Retirement","'2,427","'2,489","'3,309",
"'Total Food Service","'27,504","'28,110","'35,604",
"'73300 Community Services","'","'","'",
"'105 Supervisor/Director","'31,500","'31,500","'31,894",
"'189 Other Salaries and Wages","'56,178","'56,802","'58,075",
"'201 Social security","'6,253","'6,755","'6,883",
"'204 State Retirement","'9,381","'12,168","'9,924",
"'207 Medical Insurance","'16,944","'18,000","'18,540",
"'499 Other Supplies and Materials","'5,000","'5,000","'5,000",
"'524 Inservice","'0","'250","'0",
"'719 Office Equipment","'0","'2,000","'2,000",
"'Total Community Services","'125,256","'132,475","'132,316",
"'73400 Early Childhood Education","'","'","'",
"'105 Supervisor/Director","'36,700","'39,820","'40,720",
"'116 Teachers","'176,562","'190,700","'195,800",
"'163 Educational Assistants","'63,676","'69,200","'69,200",
"'188 Bonus Payments","'9,250","'0","'0",
"'189 Other Salaries and Wages","'8,841","'12,000","'12,000",
"'198 Non-Certified Substitute Teachers","'2,432","'5,000","'5,000",
"'201 Social Security","'21,965","'24,229","'24,306",
"'204 Retirement","'32,805","'35,553","'35,045",
"'207 Medical Insurance","'48,000","'48,000","'50,470",
"'355 Travel","'320","'500","'500",
"'399 Other Contracted Services","'400","'2,000","'2,000",
"'429 Instructional Supplies and Materials","'11,718","'10,500","'10,500",
"'499 Other Supplies and Materials","'9,823","'10,500","'10,500",
"'524 Inservice","'1,136","'1,161","'2,000",
"'790 Other Equipment","'4,451","'4,000","'15,000",
"'Total Early Childhood Education","'428,079","'453,163","'473,041",
,,,

'Confidence Scores % (Table Cell)
""'38.89160156","'91.84570313","'93.50585938","'96.14257813",
"'37.01171875","'87.45117188","'89.01367188","'91.50390625",
"'37.03613281","'87.50000000","'89.06250000","'91.55273438",
"'36.45019531","'86.08398438","'87.64648438","'90.08789063",
"'36.66992188","'86.62109375","'88.18359375","'90.67382813",
"'37.10937500","'87.59765625","'89.20898438","'91.69921875",
"'36.96289063","'87.30468750","'88.91601563","'91.35742188",
"'34.66796875","'81.88476563","'83.39843750","'85.69335938",
"'38.57421875","'91.11328125","'92.77343750","'95.36132813",
"'38.50097656","'90.91796875","'92.57812500","'95.16601563",
"'59.17968750","'59.17968750","'59.17968750","'59.17968750",
"'50.68359375","'50.68359375","'50.68359375","'50.68359375",
"'36.69433594","'86.66992188","'88.23242188","'90.72265625",
"'36.84082031","'86.96289063","'88.57421875","'91.01562500",
"'36.13281250","'85.35156250","'86.91406250","'89.30664063",
"'38.72070313","'91.45507813","'93.11523438","'95.70312500",
"'61.62109375","'61.62109375","'61.62109375","'61.62109375",
"'33.76464844","'79.73632813","'81.20117188","'83.44726563",
"'36.35253906","'85.83984375","'87.40234375","'89.84375000",
"'35.93750000","'84.86328125","'86.42578125","'88.86718750",
"'37.01171875","'87.45117188","'89.01367188","'91.50390625",
"'36.27929688","'85.69335938","'87.25585938","'89.69726563",
"'36.15722656","'85.40039063","'86.96289063","'89.35546875",
"'36.37695313","'85.93750000","'87.50000000","'89.94140625",
"'35.15625000","'83.00781250","'84.52148438","'86.91406250",
"'38.64746094","'91.25976563","'92.91992188","'95.50781250",
"'60.49804688","'60.49804688","'60.49804688","'60.49804688",
"'32.39746094","'76.51367188","'77.92968750","'80.07812500",
"'36.35253906","'85.83984375","'87.40234375","'89.84375000",
"'37.01171875","'87.45117188","'89.01367188","'91.50390625",
"'36.91406250","'87.15820313","'88.76953125","'91.21093750",
"'35.71777344","'84.32617188","'85.88867188","'88.28125000",
"'36.42578125","'86.03515625","'87.59765625","'90.03906250",
"'37.01171875","'87.40234375","'89.01367188","'91.45507813",
"'36.37695313","'85.88867188","'87.45117188","'89.89257813",
"'36.20605469","'85.49804688","'87.06054688","'89.45312500",
"'36.10839844","'85.25390625","'86.81640625","'89.20898438",
"'36.93847656","'87.25585938","'88.86718750","'91.30859375",
"'36.45019531","'86.08398438","'87.64648438","'90.08789063",
"'36.84082031","'86.96289063","'88.57421875","'91.01562500",
"'36.27929688","'85.69335938","'87.25585938","'89.69726563",
"'36.15722656","'85.40039063","'86.96289063","'89.35546875",
"'38.91601563","'91.89453125","'93.55468750","'96.19140625",
