"'Account No.","'Description","'Actual 2019-2020","'Original Estimated 2020-2021","'Estimated 2021-2022",
"'41.47949219","'41.47949219","'85.05859375","'86.66992188","'87.74414063",
"'39.64843750","'39.64843750","'86.76757813","'88.47656250","'89.55078125",
"'41.96777344","'41.96777344","'84.57031250","'86.23046875","'87.25585938",
"'40.03906250","'40.03906250","'85.98632813","'87.59765625","'88.67187500",
"'42.43164063","'42.43164063","'86.91406250","'88.62304688","'89.69726563",
"'39.64843750","'39.64843750","'84.52148438","'86.13281250","'87.15820313",
"'43.01757813","'43.01757813","'81.68945313","'83.25195313","'84.27734375",
"'43.21289063","'43.21289063","'91.74804688","'93.50585938","'94.62890625",
"'63.76953125","'63.76953125","'63.76953125","'63.76953125","'63.76953125",
"'39.59960938","'39.59960938","'73.92578125","'75.34179688","'76.26953125",
"'54.49218750","'54.49218750","'87.10937500","'88.76953125","'89.89257813",
"'81.05468750","'81.05468750","'86.66992188","'88.33007813","'89.40429688",
"'63.52539063","'63.52539063","'87.40234375","'89.06250000","'90.13671875",
"'52.92968750","'52.92968750","'87.01171875","'88.67187500","'89.79492188",
"'44.06738281","'44.06738281","'88.37890625","'90.08789063","'91.21093750",
"'41.01562500","'41.01562500","'87.50000000","'89.16015625","'90.23437500",
"'41.47949219","'41.47949219","'91.25976563","'92.96875000","'94.14062500",
