"'Fund","'Estimated Beginning Fund Balance 7/1/2021","'Estimated Revenue","'Transfers In","'Estimated Total Available Funds","'Estimated Expenditures","'Transfers Out","'Total Appropriations","'Estimated Ending Fund Balance 6/30/2022",
"'General","'6,100,000","'13,106,848","'35,000","'19,241,848","'14,474,349","'100,000","'14,574,349","'4,667,499",
"'Drug Control","'160,000","'53,500","'0","'213,500","'10,000","'0","'10,000","'203,500",
"'Adequate Facilities Tax","'900,000","'280,000","'0","'1,180,000","'2,500","'280,000","'282,500","'897,500",
"'Highway/Public Works","'1,900,000","'6,179,904","'0","'8,079,904","'6,391,718","'121,088","'6,512,806","'1,567,098",
"'General Debt Service","'2,500,000","'2,365,492","'466,088","'5,331,580","'3,014,101","'0","'3,014,101","'2,317,479",
"'General Purpose School","'9,372,445","'29,412,518","'25,000","'38,809,963","'32,869,575","'165,000","'33,034,575","'5,775,388",
"'Central Cafeteria","'500,000","'2,175,200","'0","'2,675,200","'2,175,200","'0","'2,175,200","'500,000",
"'Solid Waste Disposal","'953,311","'1,674,560","'0","'2,627,871","'1,774,097","'0","'1,774,097","'853,774",
"'Totals","'22,385,756","'55,248,022","'526,088","'78,159,866","'60,711,540","'666,088","'61,377,628","'16,782,238",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'95.99609375","'93.21289063","'95.21484375","'93.89648438","'95.65429688","'95.75195313","'92.08984375","'94.62890625","'93.50585938",
"'89.59960938","'87.01171875","'88.86718750","'87.64648438","'89.25781250","'89.35546875","'85.93750000","'88.33007813","'87.30468750",
"'88.33007813","'85.79101563","'87.64648438","'86.42578125","'88.03710938","'88.13476563","'84.76562500","'87.10937500","'86.08398438",
"'88.47656250","'85.93750000","'87.79296875","'86.57226563","'88.18359375","'88.28125000","'84.86328125","'87.25585938","'86.23046875",
"'89.25781250","'86.66992188","'88.52539063","'87.30468750","'88.91601563","'89.01367188","'85.59570313","'87.98828125","'86.96289063",
"'87.64648438","'85.10742188","'86.91406250","'85.74218750","'87.30468750","'87.40234375","'84.08203125","'86.37695313","'85.40039063",
"'90.03906250","'87.45117188","'89.30664063","'88.08593750","'89.74609375","'89.84375000","'86.37695313","'88.76953125","'87.74414063",
"'87.40234375","'84.91210938","'86.71875000","'85.49804688","'87.10937500","'87.15820313","'83.83789063","'86.18164063","'85.15625000",
"'86.42578125","'83.93554688","'85.69335938","'84.52148438","'86.08398438","'86.18164063","'82.86132813","'85.20507813","'84.17968750",
"'95.55664063","'92.82226563","'94.77539063","'93.50585938","'95.21484375","'95.31250000","'91.65039063","'94.18945313","'93.11523438",
