"'Account No. Description","'Actual 2019-2020","'Original Estimate 2020-2021","'Estimate 2021-2022",
"'140 Supplements","'12,000","'12,000","'12,000",
"'188 Bonus Payments","'33,600","'0","'0",
"'198 Non-Certified Substitute Teachers","'13,342","'15,000","'15,000",
"'201 Social Security","'51,309","'60,971","'60,971",
"'204 State Retirement","'76,556","'83,127","'86,255",
"'207 Medical Insurance","'83,620","'101,000","'104,030",
"'399 Other Contracted Services","'7,111","'15,000","'15,000",
"'429 Instructional Supplies and Materials","'2,992","'0","'0",
"'449 Text Books","'0","'0","'100,000",
"'499 Other Supplies and Materials","'13,071","'15,000","'15,000",
"'730 Vocational Instruction Equipment","'56,715","'32,000","'32,000",
"'790 Other Equipment","'0","'0","'0",
"'Total Vocational Education Program","'986,369","'1,104,098","'1,210,256",
"'Total Instruction","'17,265,487","'18,626,138","'19,184,034",
"'72000 Support Services","'","'","'",
"'72110 Attendance","'","'","'",
"'105 Supervisor/Director","'67,480","'73,000","'77,000",
"'189 Other Salaries & Wages","'31,500","'31,500","'36,894",
"'201 Social Security","'7,550","'7,994","'8,713",
"'204 State Retirement","'10,294","'11,277","'12,563",
"'207 Medical Insurance","'3,900","'11,850","'15,800",
"'355 Travel","'2,833","'5,000","'5,000",
"'399 Other Contracted Services","'12,000","'12,000","'17,000",
"'499 Other Supplies and Materials","'4,024","'2,000","'2,000",
"'524 In Service/Staff Development","'340","'1,000","'1,000",
"'722 Regular Instruction Equipment","'0","'0","'",
"'Total Attendance","'139,921","'155,621","'175,970",
"'72120 Health Services","'","'","'",
"'131 Medical Personnel","'135,951","'150,600","'153,612",
"'189 Other Salaries & Wages","'101,050","'102,750","'105,833",
"'201 Social security","'17,658","'19,381","'19,847",
"'204 State Retirement","'24,648","'26,019","'28,616",
"'207 Medical Insurance","'31,024","'40,000","'49,100",
"'355 Travel","'2,980","'3,500","'3,500",
"'399 Other Contracted Services","'2,702","'4,000","'4,000",
"'413 Drugs and Medical Supplies","'3,135","'3,500","'4,500",
"'499 Other Supplies and Materials","'3,016","'3,000","'3,000",
"'524 Inservice","'1,240","'2,000","'2,000",
"'599 Other Charges","'0","'0","'2,000",
"'735 Health Equipment","'8,159","'8,000","'10,000",
"'Total Health Service","'331,563","'362,750","'386,008",
"'72130 Other Student Support","'","'","'",
"'123 Guidance Personnel","'511,807","'572,490","'590,000",
"'188 Bonus Payments","'16,250","'0","'0",
,,,

'Confidence Scores % (Table Cell)
""'86.52343750","'94.97070313","'94.62890625","'96.58203125",
"'81.05468750","'88.96484375","'88.62304688","'90.42968750",
"'80.90820313","'88.81835938","'88.52539063","'90.33203125",
"'81.73828125","'89.69726563","'89.40429688","'91.21093750",
"'82.91015625","'90.96679688","'90.67382813","'92.52929688",
"'83.05664063","'91.16210938","'90.82031250","'92.67578125",
"'82.66601563","'90.72265625","'90.42968750","'92.28515625",
"'82.56835938","'90.67382813","'90.33203125","'92.18750000",
"'83.59375000","'91.74804688","'91.40625000","'93.26171875",
"'81.00585938","'88.91601563","'88.57421875","'90.42968750",
"'82.91015625","'91.01562500","'90.72265625","'92.52929688",
"'81.88476563","'89.84375000","'89.55078125","'91.35742188",
"'77.53906250","'85.10742188","'84.81445313","'86.52343750",
"'85.05859375","'93.35937500","'93.01757813","'94.92187500",
"'86.18164063","'94.58007813","'94.23828125","'96.19140625",
"'68.35937500","'68.35937500","'68.35937500","'68.35937500",
"'50.09765625","'50.09765625","'50.09765625","'50.09765625",
"'79.63867188","'87.40234375","'87.10937500","'88.86718750",
"'81.59179688","'89.55078125","'89.25781250","'91.06445313",
"'83.59375000","'91.79687500","'91.45507813","'93.31054688",
"'80.32226563","'88.18359375","'87.84179688","'89.64843750",
"'82.56835938","'90.62500000","'90.28320313","'92.13867188",
"'80.17578125","'88.03710938","'87.69531250","'89.50195313",
"'80.85937500","'88.72070313","'88.42773438","'90.23437500",
"'82.47070313","'90.52734375","'90.18554688","'92.04101563",
"'77.58789063","'85.15625000","'84.86328125","'86.57226563",
"'77.53906250","'85.10742188","'84.81445313","'86.52343750",
"'85.93750000","'94.28710938","'93.99414063","'95.89843750",
"'68.70117188","'68.70117188","'68.70117188","'68.70117188",
"'68.35937500","'75.04882813","'74.75585938","'76.26953125",
"'82.42187500","'90.47851563","'90.13671875","'91.99218750",
"'81.98242188","'89.99023438","'89.69726563","'91.50390625",
"'79.83398438","'87.59765625","'87.30468750","'89.06250000",
"'82.56835938","'90.67382813","'90.33203125","'92.18750000",
"'81.93359375","'89.94140625","'89.64843750","'91.45507813",
"'81.29882813","'89.25781250","'88.91601563","'90.72265625",
"'82.91015625","'90.96679688","'90.67382813","'92.52929688",
"'81.88476563","'89.89257813","'89.59960938","'91.40625000",
"'80.41992188","'88.28125000","'87.93945313","'89.74609375",
"'83.25195313","'91.40625000","'91.06445313","'92.91992188",
"'79.78515625","'87.54882813","'87.25585938","'89.01367188",
"'85.69335938","'94.09179688","'93.75000000","'95.65429688",
"'48.33984375","'48.33984375","'48.33984375","'48.33984375",
"'73.14453125","'80.27343750","'79.98046875","'81.64062500",
"'85.79101563","'94.18945313","'93.84765625","'95.75195313",
