"'Account No.","'Description","'Actual 2019-2020","'Original Estimated 2020-2021","'Estimated 2021-2022",
"'51400","'County Attorney","'","'","'",
"'331","'Legal Services","'9,821","'10,000","'10,000",
"'599","'Other Charges(Deductibles)","'800","'5,000","'5,000",
"'","'Total County Attorney","'10,621","'15,000","'15,000",
"'51500","'Election Commission","'","'","'",
"'101","'County Official","'70,174","'72,602","'72,601",
"'106","'Deputy","'29,789","'30,935","'31,871",
"'169","'Part-Time Personnel","'13,948","'17,000","'17,000",
"'186","'Longevity Pay","'0","'0","'0",
"'192","'Election Commission","'2,240","'5,400","'5,400",
"'193","'Election Workers","'23,767","'55,000","'10,000",
"'317","'Data Processing Services","'3,045","'4,500","'4,500",
"'332","'Legal Notices, Rec and Court Costs","'1,261","'3,000","'1,000",
"'337","'Maint and Repair-Office Equip","'0","'1,500","'1,500",
"'349","'Printing Stationary and Forms","'1,923","'5,000","'3,000",
"'351","'Rentals","'550","'3,000","'1,000",
"'355","'Travel","'1,353","'4,500","'3,000",
"'399","'Other Contracted Services","'15,823","'25,000","'25,000",
"'435","'Office Supplies","'2,440","'4,000","'4,000",
"'508","'Premiums on Surety Bond","'0","'100","'100",
"'719","'Office Equipment","'0","'4,000","'4,000",
"'","'Total Election Commission","'166,313","'235,537","'183,972",
"'51600","'Register of Deeds","'","'","'",
"'101","'County Official","'77,971","'80,668","'80,668",
"'106","'Deputy","'27,514","'30,954","'31,893",
"'140","'Salary Supplement","'1,799","'3,375","'3,375",
"'162","'Clerical Personnel","'24,518","'25,503","'26,224",
"'186","'Longevity Pay","'1,200","'1,300","'1,400",
"'317","'Data Processing Services","'12,367","'16,000","'16,000",
"'332","'Legal Notices, Recording and Court Costs","'0","'22","'22",
"'337","'Maint and Repair Services","'974","'2,500","'2,500",
"'355","'Travel","'1,009","'1,500","'1,500",
"'399","'Other Contracted Services","'0","'0","'0",
"'435","'Office Supplies","'976","'1,200","'1,500",
"'508","'Premiums on Surety Bond","'0","'0","'0",
"'524","'In-Service/Staff Development","'200","'750","'750",
"'719","'Office Equipment","'906","'2,000","'2,000",
"'","'Total Register of Deeds","'149,434","'165,772","'167,832",
"'51720","'Planning","'","'","'",
"'105","'Supervisor/Director","'54,207","'56,292","'58,001",
"'106","'Deputy(s)","'30,908","'33,231","'34,240",
"'162","'Clerical Personnel","'21,003","'25,014","'25,773",
"'169","'Part-Time Personnel","'0","'0","'0",
,,,,

'Confidence Scores % (Table Cell)
""'33.71582031","'38.06152344","'92.62695313","'94.87304688","'96.09375000",
"'59.17968750","'59.17968750","'59.17968750","'59.17968750","'59.17968750",
"'38.72070313","'38.72070313","'85.05859375","'87.10937500","'88.18359375",
"'41.01562500","'41.01562500","'82.61718750","'84.61914063","'85.69335938",
"'42.52929688","'42.52929688","'92.13867188","'94.33593750","'95.55664063",
"'60.69335938","'60.69335938","'60.69335938","'60.69335938","'60.69335938",
"'41.21093750","'41.21093750","'81.39648438","'83.34960938","'84.42382813",
"'40.30761719","'40.30761719","'86.76757813","'88.81835938","'89.94140625",
"'41.47949219","'41.47949219","'85.88867188","'87.93945313","'89.06250000",
"'41.21093750","'41.21093750","'88.91601563","'91.01562500","'92.18750000",
"'41.96777344","'41.96777344","'83.10546875","'85.05859375","'86.18164063",
"'41.77246094","'41.77246094","'88.96484375","'91.11328125","'92.28515625",
"'43.11523438","'43.11523438","'88.42773438","'90.57617188","'91.69921875",
"'42.91992188","'42.91992188","'88.13476563","'90.23437500","'91.35742188",
"'42.26074219","'42.26074219","'86.71875000","'88.76953125","'89.89257813",
"'40.82031250","'40.82031250","'87.15820313","'89.25781250","'90.38085938",
"'41.11328125","'41.11328125","'87.93945313","'90.03906250","'91.21093750",
"'32.17773438","'36.32812500","'88.37890625","'90.52734375","'91.65039063",
"'39.47753906","'39.47753906","'88.33007813","'90.47851563","'91.60156250",
"'31.10351563","'35.10742188","'85.40039063","'87.45117188","'88.57421875",
"'31.88476563","'35.98632813","'87.54882813","'89.64843750","'90.82031250",
"'29.41894531","'33.22753906","'80.85937500","'82.76367188","'83.83789063",
"'42.52929688","'42.52929688","'91.60156250","'93.79882813","'94.97070313",
"'60.49804688","'60.49804688","'60.49804688","'60.49804688","'60.49804688",
"'28.93066406","'32.66601563","'79.49218750","'81.39648438","'82.42187500",
"'39.42871094","'39.42871094","'85.35156250","'87.35351563","'88.47656250",
"'30.56640625","'34.52148438","'83.98437500","'86.03515625","'87.10937500",
"'42.06542969","'42.06542969","'82.22656250","'84.17968750","'85.25390625",
"'31.12792969","'35.13183594","'85.49804688","'87.54882813","'88.67187500",
"'41.40625000","'41.40625000","'84.76562500","'86.81640625","'87.93945313",
"'30.81054688","'34.79003906","'84.61914063","'86.66992188","'87.79296875",
"'40.55175781","'40.55175781","'85.64453125","'87.69531250","'88.81835938",
"'31.15234375","'35.18066406","'85.59570313","'87.64648438","'88.76953125",
"'40.82031250","'40.82031250","'84.76562500","'86.81640625","'87.93945313",
"'31.54296875","'35.59570313","'86.66992188","'88.72070313","'89.84375000",
"'41.21093750","'41.21093750","'85.20507813","'87.25585938","'88.33007813",
"'30.88378906","'34.86328125","'84.86328125","'86.91406250","'87.98828125",
"'40.55175781","'40.55175781","'85.35156250","'87.35351563","'88.47656250",
"'41.57714844","'41.57714844","'91.60156250","'93.79882813","'94.97070313",
"'64.89257813","'64.89257813","'64.89257813","'64.89257813","'64.89257813",
"'38.96484375","'38.96484375","'75.97656250","'77.83203125","'78.80859375",
"'41.77246094","'41.77246094","'88.62304688","'90.72265625","'91.89453125",
"'39.50195313","'39.50195313","'85.30273438","'87.30468750","'88.42773438",
"'43.11523438","'43.11523438","'91.30859375","'93.50585938","'94.67773438",
