"'Account No. Description","'Actual 2019-2020","'Original Estimate 2020-2021","'Estimate 2021-2022",
"'ESTIMATED EXPENDITURES","'","'","'",
"'71000 Instruction","'","'","'",
"'71100 Regular Instruction Program","'","'","'",
"'116 Teachers","'8,250,561","'9,189,095","'9,505,579",
"'117 Career Ladder Program","'48,000","'50,000","'50,000",
"'128 Homebound Teachers","'0","'12,000","'12,000",
"'140 Salary Supplements","'282,065","'310,318","'319,317",
"'163 Educational Assistants","'352,425","'352,000","'300,000",
"'188 Bonus Payments","'368,202","'0","'",
"'189 Other Salaries and Wages","'349,053","'400,000","'400,000",
"'198 Non-Certified Substitute Teachers","'134,992","'146,000","'150,000",
"'201 Social Security","'719,730","'802,058","'821,373",
"'204 State Retirement","'860,065","'1,074,110","'1,167,735",
"'207 Medical Insurance","'1,377,832","'1,400,000","'1,442,000",
"'336 Maint and Repair Service - Equipment","'4,000","'8,000","'16,000",
"'399 Other Contracted Services","'32,500","'35,000","'85,000",
"'429 Instructional Supplies and Materials","'101,103","'117,000","'120,000",
"'449 Textbooks","'277,932","'300,000","'100,000",
"'499 Other Supplies and Materials","'9,086","'8,000","'10,000",
"'722 Regular Instructional Equipment","'90,326","'100,000","'100,000",
"'Total Instructional Program","'13,257,872","'14,303,581","'14,599,004",
"'71150 Alternative Instruction Program","'","'","'",
"'116 Teachers","'98,200","'108,600","'112,000",
"'163 Educational Assistants","'17,830","'18,500","'19,000",
"'188 Bonus Payments","'9,100","'0","'",
"'201 Social Security","'9,159","'9,723","'10,022",
"'204 State Retirement","'13,014","'13,703","'14,449",
"'207 Medical Insurance","'16,944","'18,000","'23,700",
"'429 Instructional Supplies and Materials","'206","'500","'500",
"'499 Other Supplies and Materials","'353","'500","'1,000",
"'Total Alternative Schools","'164,806","'169,526","'180,671",
"'71200 Special Education Program","'","'","'",
"'116 Teachers","'1,427,939","'1,625,000","'1,625,000",
"'124 Psychological Personnel","'59,478","'63,000","'64,000",
"'128 Homebound Teachers","'28,031","'23,000","'23,000",
"'163 Educational Assistants","'212,304","'230,000","'317,143",
"'171 Speech Pathologist","'187,456","'201,050","'214,878",
"'188 Bonus Payments","'78,800","'0","'0",
"'201 Social Security","'142,325","'163,867","'171,668",
"'204 State Retirement","'217,004","'228,016","'223,814",
"'207 Medical Insurance","'307,866","'320,000","'329,600",
"'399 Other Contracted Services","'195,237","'195,000","'225,000",
"'Total Special Educational Program","'2,856,440","'3,048,933","'3,194,103",
"'71300 Career and Technical Education Program","'","'","'",
"'116 Teachers","'636,053","'770,000","'770,000",
,,,

'Confidence Scores % (Table Cell)
""'45.92285156","'94.04296875","'94.62890625","'95.89843750",
"'73.48632813","'73.48632813","'73.48632813","'73.48632813",
"'48.53515625","'48.53515625","'48.53515625","'48.53515625",
"'47.07031250","'47.07031250","'47.07031250","'47.07031250",
"'42.89550781","'87.89062500","'88.42773438","'89.59960938",
"'44.18945313","'90.52734375","'91.06445313","'92.28515625",
"'43.26171875","'88.62304688","'89.16015625","'90.33203125",
"'44.01855469","'90.13671875","'90.72265625","'91.89453125",
"'43.38378906","'88.86718750","'89.40429688","'90.57617188",
"'43.28613281","'88.67187500","'89.20898438","'90.38085938",
"'43.43261719","'88.96484375","'89.55078125","'90.72265625",
"'43.72558594","'89.55078125","'90.08789063","'91.30859375",
"'43.40820313","'88.91601563","'89.50195313","'90.67382813",
"'43.57910156","'89.25781250","'89.79492188","'91.01562500",
"'44.33593750","'90.82031250","'91.35742188","'92.57812500",
"'43.38378906","'88.86718750","'89.40429688","'90.57617188",
"'43.53027344","'89.16015625","'89.69726563","'90.91796875",
"'44.09179688","'90.33203125","'90.86914063","'92.08984375",
"'42.74902344","'87.54882813","'88.08593750","'89.25781250",
"'44.01855469","'90.13671875","'90.72265625","'91.89453125",
"'41.77246094","'85.54687500","'86.08398438","'87.20703125",
"'45.62988281","'93.45703125","'94.04296875","'95.26367188",
"'65.38085938","'65.38085938","'65.38085938","'65.38085938",
"'36.86523438","'75.48828125","'75.97656250","'76.95312500",
"'43.23730469","'88.57421875","'89.11132813","'90.28320313",
"'42.67578125","'87.40234375","'87.93945313","'89.11132813",
"'43.45703125","'89.01367188","'89.59960938","'90.77148438",
"'42.77343750","'87.64648438","'88.18359375","'89.35546875",
"'42.82226563","'87.74414063","'88.28125000","'89.45312500",
"'43.65234375","'89.40429688","'89.94140625","'91.16210938",
"'42.67578125","'87.40234375","'87.93945313","'89.11132813",
"'45.67871094","'93.60351563","'94.14062500","'95.41015625",
"'56.88476563","'56.88476563","'56.88476563","'56.88476563",
"'31.88476563","'65.33203125","'65.72265625","'66.60156250",
"'43.96972656","'90.03906250","'90.62500000","'91.79687500",
"'42.28515625","'86.62109375","'87.15820313","'88.28125000",
"'43.48144531","'89.06250000","'89.64843750","'90.82031250",
"'44.06738281","'90.28320313","'90.82031250","'92.04101563",
"'42.06542969","'86.13281250","'86.66992188","'87.84179688",
"'42.89550781","'87.89062500","'88.42773438","'89.59960938",
"'43.57910156","'89.25781250","'89.79492188","'91.01562500",
"'42.60253906","'87.25585938","'87.79296875","'88.96484375",
"'40.03906250","'82.03125000","'82.51953125","'83.59375000",
"'45.45898438","'93.11523438","'93.70117188","'94.92187500",
"'39.28222656","'39.28222656","'39.28222656","'39.28222656",
"'26.97753906","'55.27343750","'55.61523438","'56.34765625",
