"'The Nonprofit Appropriation Resolution","'1",
"'The General Appropriation Resolution","'3",
"'Summary Statement of Proposed Operation","'9",
"'The Tax Levy Resolution","'10",
"'Statement of Estimated Revenue From Current Property Taxes","'12",
"'Fund 101-General Fund","'13",
"'Fund 122-Drug Control Fund","'33",
"'Fund 125-Adequate Facilities Tax Fund","'34",
"'Fund 131-Highway/Public Works Fund","'35",
"'Fund 141-General Purpose School Fund","'39",
"'Fund 143-Central Cafeteria Fund","'49",
"'Fund 151-General Debt Service Fund","'51",
"'Fund 207-Solid Waste Disposal Fund","'54",
,

'Confidence Scores % (Table Cell)
""'95.89843750","'75.14648438",
"'94.77539063","'74.26757813",
"'94.92187500","'74.36523438",
"'93.94531250","'73.63281250",
"'94.58007813","'74.12109375",
"'94.09179688","'73.73046875",
"'93.94531250","'73.63281250",
"'93.89648438","'73.58398438",
"'94.48242188","'74.02343750",
"'93.89648438","'73.58398438",
"'93.60351563","'73.29101563",
"'94.09179688","'73.73046875",
"'94.33593750","'73.92578125",
