"'Account No. Description","'Actual 2019-2020","'Original Estimate 2020-2021","'Estimate 2021-2022",
"'ESTIMATED REVENUES","'","'","'",
"'40000 Local Taxes","'","'","'",
"'40100 County Property Taxes","'","'","'",
"'40110 Current Property Taxes","'3,093,596","'3,042,197","'2,953,439",
"'40120 Trustee's Collection - Prior Year","'80,232","'100,000","'80,000",
"'40125 Trustee's Collection - Bankruptcy","'747","'","'",
"'40130 Circuit/Clerk & Master Collections - Prior Years","'27,980","'55,000","'45,000",
"'40140 Interest and Penalty","'17,075","'21,000","'21,000",
"'40161 Payments in Lieu of Taxes - TVA","'3,485","'4,000","'4,000",
"'40162 Payments in Lieu of Taxes - Local Utilities","'6,000","'6,000","'6,000",
"'40200 County Local Option Taxes","'","'","'",
"'40210 Local Option Sales Tax","'1,822,998","'1,550,000","'2,100,000",
"'40270 Business Tax","'34,466","'30,000","'30,000",
"'40300 Statutory Local Taxes","'","'","'",
"'40320 Bank Excise Tax","'0","'30,000","'0",
"'40350 Interstate Telecommunication Tax","'0","'1,500","'0",
"'Total Local Taxes","'5,086,579","'4,839,697","'5,239,439",
"'41000 Licenses and Permits","'","'","'",
"'41100 Licenses","'","'","'",
"'41110 Marriage Licenses","'1,235","'1,300","'1,300",
"'Total Licenses and Permits","'1,235","'1,300","'1,300",
"'43000 Charges for Current Services","'","'","'",
"'43500 Education Charges","'","'","'",
"'43513 Tuition - Summer School","'0","'0","'0",
"'43517 Tuition - Other","'2,500","'2,000","'2,000",
"'43570 Receipts from Individual Schools","'27,964","'60,000","'30,000",
"'43582 Community Service Fees Adults","'189","'200","'200",
"'Total Charges for Current Services","'30,653","'62,200","'32,200",
"'44000 Other Local Revenues","'","'","'",
"'44100 Recurring Items","'","'","'",
"'44110 Investment Income","'4,747","'0","'0",
"'44120 Lease/Rentals","'680","'1,000","'1,000",
"'44146 Refund of Telecommunication/Internet Fees (E","'0","'0","'",
"'44170 Miscellaneous Refunds","'12,237","'40,000","'30,000",
"'44500 Nonrecurring Items","'","'","'",
"'44512 Gain on Retirement of Debt (Gasb 54)","'126,049","'0","'0",
"'44530 Sale of Equipment","'11,401","'5,000","'10,000",
"'44560 Damages Recovered from Individuals","'2,680","'3,000","'3,000",
"'44570 Contributions and Gifts","'9,557","'15,000","'15,000",
,,,

'Confidence Scores % (Table Cell)
""'37.08496094","'91.84570313","'93.94531250","'94.43359375",
"'74.90234375","'74.90234375","'74.90234375","'74.90234375",
"'52.24609375","'52.24609375","'52.24609375","'52.24609375",
"'46.09375000","'46.09375000","'46.09375000","'46.09375000",
"'33.69140625","'83.44726563","'85.35156250","'85.79101563",
"'35.91308594","'88.91601563","'90.91796875","'91.45507813",
"'35.13183594","'87.01171875","'88.96484375","'89.45312500",
"'34.57031250","'85.64453125","'87.59765625","'88.08593750",
"'35.69335938","'88.42773438","'90.42968750","'90.91796875",
"'35.62011719","'88.23242188","'90.23437500","'90.72265625",
"'35.59570313","'88.23242188","'90.18554688","'90.67382813",
"'42.82226563","'42.82226563","'42.82226563","'42.82226563",
"'35.30273438","'87.45117188","'89.40429688","'89.89257813",
"'35.76660156","'88.62304688","'90.62500000","'91.11328125",
"'43.67675781","'43.67675781","'43.67675781","'43.67675781",
"'33.74023438","'83.59375000","'85.49804688","'85.93750000",
"'32.86132813","'81.39648438","'83.25195313","'83.69140625",
"'36.86523438","'91.30859375","'93.35937500","'93.89648438",
"'56.88476563","'56.88476563","'56.88476563","'56.88476563",
"'44.65332031","'44.65332031","'44.65332031","'44.65332031",
"'29.61425781","'73.38867188","'75.00000000","'75.43945313",
"'36.71875000","'90.96679688","'92.96875000","'93.50585938",
"'58.49609375","'58.49609375","'58.49609375","'58.49609375",
"'45.60546875","'45.60546875","'45.60546875","'45.60546875",
"'32.98339844","'81.73828125","'83.54492188","'84.03320313",
"'35.54687500","'88.08593750","'90.03906250","'90.57617188",
"'35.18066406","'87.15820313","'89.11132813","'89.59960938",
"'32.76367188","'81.20117188","'83.00781250","'83.44726563",
"'36.37695313","'90.13671875","'92.13867188","'92.67578125",
"'67.91992188","'67.91992188","'67.91992188","'67.91992188",
"'47.75390625","'47.75390625","'47.75390625","'47.75390625",
"'32.17773438","'79.73632813","'81.49414063","'81.98242188",
"'35.69335938","'88.42773438","'90.42968750","'90.91796875",
"'35.08300781","'86.86523438","'88.81835938","'89.35546875",
"'35.79101563","'88.67187500","'90.67382813","'91.16210938",
"'56.98242188","'56.98242188","'56.98242188","'56.98242188",
"'34.32617188","'85.00976563","'86.91406250","'87.40234375",
"'35.54687500","'88.08593750","'90.03906250","'90.57617188",
"'35.98632813","'89.11132813","'91.11328125","'91.65039063",
"'36.57226563","'90.62500000","'92.67578125","'93.16406250",
