"'Account No. Description","'Actual 2019-2020","'Original Estimated 2020-2021","'Estimated 2021-2022",
"'Total Estimated Highway & Street Capital Projects","'67,999","'0","'0",
"'99000 ESTIMATED OTHER USES","'","'","'",
"'99100 Transfers Out","'","'","'",
"'590 Transfers to Other Funds","'100,000","'100,000","'100,000",
"'590-DA Transfers to Other Funds","'0","'0","'0",
"'Total Estimated Other Uses","'100,000","'100,000","'100,000",
"'Total Estimated Expenditures and other uses","'12,870,420","'13,827,835","'14,574,349",
"'Excess of Estimated Revenue and Other Sources over (under) Estimated Expenditures and Other","'774,345","'(832,244)","'(1,432,501)",
"'Estimated Begin Fund Balance July 1","'4,463,353","'5,237,698","'6,100,000",
"'Estimated Ending Fund Balance June 30","'5,237,698","'4,405,454","'4,667,499",
,,,

'Confidence Scores % (Table Cell)
""'41.28417969","'90.13671875","'92.28515625","'93.79882813",
"'40.38085938","'88.18359375","'90.28320313","'91.74804688",
"'56.29882813","'56.29882813","'56.29882813","'56.29882813",
"'43.31054688","'43.31054688","'43.31054688","'43.31054688",
"'35.88867188","'78.36914063","'80.22460938","'81.54296875",
"'37.74414063","'82.42187500","'84.37500000","'85.74218750",
"'41.18652344","'89.94140625","'92.08984375","'93.55468750",
"'40.67382813","'88.86718750","'90.96679688","'92.43164063",
"'18.87207031","'41.21093750","'42.18750000","'42.87109375",
"'33.34960938","'72.85156250","'74.56054688","'75.78125000",
"'38.74511719","'84.61914063","'86.62109375","'88.03710938",
