"'Account No. Description","'Actual 2019-2020","'Original Estimated 2020-2021","'Estimated 2021-2022",
"'451 Uniforms","'828","'1,000","'1,000",
"'499 Other Supplies and Materials","'12,035","'12,380","'11,860",
"'508 Premiums on Corporate Surety Bonds","'0","'50","'50",
"'524 In-Service/Staff Development","'680","'1,000","'1,000",
"'599 Other Charges","'6","'500","'1,000",
"'599-EMA Other Charges-(Hazmat Reserve)","'2,285","'0","'0",
"'708 Communication Equipment","'4,023","'5,000","'7,000",
"'718 Motor Vehicles","'0","'0","'0",
"'718-DA Motor Vehicles-Direct Appropriations Grant","'0","'0","'0",
"'790 Other Equipment","'6,745","'1,000","'1,000",
"'Total Civil Defense","'142,538","'162,134","'163,158",
"'54420 Rescue Squad","'","'","'",
"'316 Contributions","'20,000","'25,000","'35,000",
"'515 Liability Claims","'15,920","'0","'0",
"'Total Rescue Squad","'35,920","'25,000","'35,000",
"'54610 County Coroner","'","'","'",
"'131 Medical Personnel","'3,750","'5,000","'5,000",
"'341 Pauper Burials","'500","'1,000","'1,000",
"'399 Other Contracted Services","'30,225","'30,000","'50,000",
"'508 Premiums on Corporate Surety Bonds","'0","'0","'0",
"'Total County Coroner","'34,475","'36,000","'56,000",
"'Total Public Safety","'3,572,978","'3,796,292","'3,869,371",
"'55000 PUBLIC HEALTH AND WELFARE","'","'","'",
"'55110 Local Health Center","'","'","'",
"'316 Contributions","'19,056","'39,031","'39,031",
"'335 Maintenance and Repair Service-Building","'0","'1,000","'1,000",
"'399 Other Contracted Services","'1,665","'6,100","'6,100",
"'435 Office Supplies","'78","'1,520","'1,520",
"'499 Other Supplies & Materials","'0","'2,250","'2,250",
"'599 Other Charges","'200","'700","'700",
"'599-PPI Other Charges","'0","'0","'0",
"'Total Local Health Center","'20,999","'50,601","'50,601",
"'55130 Ambulance/Emergency Medical Services","'","'","'",
"'105 Supervisor/Director","'62,428","'59,744","'59,833",
"'131 Medical Personnel","'796,970","'890,440","'1,075,666",
"'169 Part-time Personnel","'99,708","'130,000","'140,000",
"'186 Longevity","'12,400","'16,000","'16,700",
"'187 Overtime Pay","'313,935","'328,924","'402,339",
"'199 Other Per Diem & Fees","'2,586","'3,000","'3,000",
"'320 Dues and Memberships","'400","'1,200","'1,200",
,,,

'Confidence Scores % (Table Cell)
""'42.84667969","'93.84765625","'94.23828125","'95.50781250",
"'40.62500000","'88.96484375","'89.35546875","'90.52734375",
"'40.74707031","'89.25781250","'89.64843750","'90.82031250",
"'40.28320313","'88.23242188","'88.62304688","'89.79492188",
"'39.89257813","'87.40234375","'87.74414063","'88.91601563",
"'40.72265625","'89.20898438","'89.59960938","'90.77148438",
"'40.38085938","'88.47656250","'88.81835938","'89.99023438",
"'40.47851563","'88.67187500","'89.01367188","'90.18554688",
"'40.16113281","'87.93945313","'88.33007813","'89.50195313",
"'40.38085938","'88.47656250","'88.81835938","'89.99023438",
"'37.84179688","'82.91015625","'83.20312500","'84.32617188",
"'42.72460938","'93.60351563","'93.99414063","'95.21484375",
"'60.10742188","'60.10742188","'60.10742188","'60.10742188",
"'32.78808594","'71.82617188","'72.11914063","'73.04687500",
"'39.28222656","'86.03515625","'86.42578125","'87.54882813",
"'42.67578125","'93.50585938","'93.89648438","'95.11718750",
"'58.20312500","'58.20312500","'58.20312500","'58.20312500",
"'32.81250000","'71.92382813","'72.21679688","'73.14453125",
"'40.25878906","'88.18359375","'88.57421875","'89.74609375",
"'39.03808594","'85.54687500","'85.88867188","'87.01171875",
"'39.52636719","'86.62109375","'86.96289063","'88.13476563",
"'42.38281250","'92.82226563","'93.21289063","'94.48242188",
"'41.89453125","'91.79687500","'92.13867188","'93.35937500",
"'64.79492188","'64.79492188","'64.79492188","'64.79492188",
"'46.38671875","'46.38671875","'46.38671875","'46.38671875",
"'37.08496094","'81.25000000","'81.59179688","'82.66601563",
"'39.74609375","'87.06054688","'87.45117188","'88.57421875",
"'40.30761719","'88.33007813","'88.67187500","'89.89257813",
"'39.72167969","'87.01171875","'87.40234375","'88.52539063",
"'39.89257813","'87.40234375","'87.74414063","'88.91601563",
"'38.15917969","'83.59375000","'83.93554688","'85.05859375",
"'38.50097656","'84.32617188","'84.66796875","'85.79101563",
"'42.62695313","'93.40820313","'93.79882813","'95.01953125",
"'62.25585938","'62.25585938","'62.25585938","'62.25585938",
"'33.12988281","'72.55859375","'72.85156250","'73.82812500",
"'39.84375000","'87.30468750","'87.64648438","'88.81835938",
"'40.96679688","'89.74609375","'90.08789063","'91.30859375",
"'40.30761719","'88.33007813","'88.67187500","'89.89257813",
"'40.47851563","'88.72070313","'89.06250000","'90.23437500",
"'41.01562500","'89.84375000","'90.23437500","'91.45507813",
"'41.96777344","'91.94335938","'92.33398438","'93.55468750",
