"'Account No.","'Description","'Actual 2019-2020","'Original Estimate 2020-2021","'Estimate 2021-2022",
"'47100","'Federal Through State","'","'","'",
"'47230","'Disaster Relief","'148,970","'200,000","'200,000",
"'47600","'Direct Federal Revenue","'","'","'",
"'47990","'Other Direct Federal Revenue","'234,474","'300,000","'300,000",
"'","'Total Federal Government","'383,444","'500,000","'500,000",
"'48000","'OTHER GOVERNMENTS AND CITIZENS GROUP","'","'","'",
"'48100","'Other Governments","'","'","'",
"'48120","'Paving and Maintenance","'32,323","'0","'0",
"'","'Total Other Governments","'32,323","'0","'0",
"'","'Total Estimated Revenue","'4,935,925","'5,442,221","'6,179,904",
"'49000","'OTHER SOURCES (NON-REVENUE)","'","'","'",
"'49700","'Insurance Recovery","'81,760","'0","'0",
"'49800","'Transfers In","'0","'0","'0",
"'","'Total Other Sources (Non-Revenue)","'81,760","'0","'0",
"'","'Total Estimated Revenues and Other Sources","'5,017,685","'5,442,221","'6,179,904",
"'","'ESTIMATED EXPENDITURES","'","'","'",
"'61000","'ADMINISTRATION","'","'","'",
"'101","'County Official/Administrative Officer","'85,768","'88,735","'88,735",
"'140","'Salary Supplement","'2,099","'4,500","'4,500",
"'161","'Secretary","'36,672","'37,377","'39,960",
"'169","'Part-time Personnel","'13,243","'17,060","'33,950",
"'187","'Overtime Pay","'1,589","'4,500","'4,500",
"'191","'Board and Committee Members Fees","'16,800","'16,800","'16,800",
"'316","'Contributions","'500","'500","'500",
"'317","'Data Processing Services","'0","'400","'400",
"'320","'Dues and Memberships","'3,700","'3,750","'3,875",
"'332","'Legal Notices, Recording and Court Costs","'357","'400","'400",
"'348","'Postal Charges","'0","'300","'300",
"'355","'Travel","'1,210","'2,500","'2,500",
"'399","'Other Contracted Services","'7,075","'8,200","'8,200",
"'435","'Office Supplies","'344","'1,050","'1,050",
"'508","'Premiums on Corporate Surety Bonds","'100","'2,000","'2,000",
"'524","'In-Service/Staff Developement","'315","'2,500","'2,500",
"'719","'Office Equipment","'2,966","'5,000","'10,000",
"'","'Total Administration","'172,738","'195,572","'220,170",
"'62000","'HIGHWAY AND BRIDGE MAINTENANCE","'","'","'",
"'140","'Salary Supplements","'1,500","'1,500","'1,500",
"'141","'Foremen","'232,136","'293,761","'293,761",
"'143","'Equipment Operators","'318,826","'351,624","'375,495",
"'149","'Laborers","'236,310","'286,313","'302,230",
,,,,

'Confidence Scores % (Table Cell)
""'48.75488281","'67.38281250","'92.04101563","'92.04101563","'95.80078125",
"'46.77734375","'46.77734375","'46.77734375","'46.77734375","'46.77734375",
"'41.96777344","'57.95898438","'79.19921875","'79.19921875","'82.42187500",
"'31.56738281","'43.60351563","'59.57031250","'59.57031250","'62.01171875",
"'36.57226563","'50.53710938","'69.04296875","'69.04296875","'71.87500000",
"'47.70507813","'65.91796875","'90.03906250","'90.03906250","'93.70117188",
"'45.33691406","'45.33691406","'45.33691406","'45.33691406","'45.33691406",
"'28.75976563","'39.72167969","'54.29687500","'54.29687500","'56.49414063",
"'41.55273438","'57.37304688","'78.41796875","'78.41796875","'81.64062500",
"'48.29101563","'66.69921875","'91.11328125","'91.11328125","'94.82421875",
"'48.04687500","'66.35742188","'90.67382813","'90.67382813","'94.38476563",
"'45.04394531","'45.04394531","'45.04394531","'45.04394531","'45.04394531",
"'36.25488281","'50.09765625","'68.45703125","'68.45703125","'71.24023438",
"'44.40917969","'61.37695313","'83.83789063","'83.83789063","'87.25585938",
"'48.09570313","'66.40625000","'90.77148438","'90.77148438","'94.48242188",
"'47.36328125","'65.42968750","'89.40429688","'89.40429688","'93.01757813",
"'78.07617188","'78.07617188","'78.07617188","'78.07617188","'78.07617188",
"'54.00390625","'54.00390625","'54.00390625","'54.00390625","'54.00390625",
"'40.60058594","'56.10351563","'76.66015625","'76.66015625","'79.78515625",
"'43.35937500","'59.91210938","'81.83593750","'81.83593750","'85.15625000",
"'45.21484375","'62.45117188","'85.35156250","'85.35156250","'88.81835938",
"'44.16503906","'60.98632813","'83.34960938","'83.34960938","'86.71875000",
"'44.38476563","'61.32812500","'83.78906250","'83.78906250","'87.20703125",
"'44.53125000","'61.52343750","'84.08203125","'84.08203125","'87.50000000",
"'44.33593750","'61.27929688","'83.69140625","'83.69140625","'87.10937500",
"'44.75097656","'61.81640625","'84.47265625","'84.47265625","'87.93945313",
"'44.14062500","'60.98632813","'83.30078125","'83.30078125","'86.66992188",
"'43.35937500","'59.91210938","'81.83593750","'81.83593750","'85.15625000",
"'44.23828125","'61.08398438","'83.44726563","'83.44726563","'86.86523438",
"'44.58007813","'61.57226563","'84.13085938","'84.13085938","'87.59765625",
"'45.58105469","'62.93945313","'86.03515625","'86.03515625","'89.55078125",
"'44.99511719","'62.15820313","'84.91210938","'84.91210938","'88.37890625",
"'44.87304688","'62.01171875","'84.71679688","'84.71679688","'88.18359375",
"'43.13964844","'59.61914063","'81.44531250","'81.44531250","'84.76562500",
"'44.04296875","'60.83984375","'83.10546875","'83.10546875","'86.52343750",
"'39.18457031","'39.18457031","'90.18554688","'90.18554688","'93.84765625",
"'53.51562500","'53.51562500","'53.51562500","'53.51562500","'53.51562500",
"'39.28222656","'54.24804688","'74.12109375","'74.12109375","'77.14843750",
"'44.67773438","'61.71875000","'84.32617188","'84.32617188","'87.79296875",
"'46.43554688","'64.16015625","'87.64648438","'87.64648438","'91.25976563",
"'47.11914063","'65.08789063","'88.91601563","'88.91601563","'92.57812500",
