"'Account No.","'Description","'Actual 2019-2020","'Original Estimated 2020-2021","'Estimated 2021-2022",
"'599-SC","'Other Charges (SCHRA)","'995","'1,250","'1,000",
"'719","'Office Equipment","'300","'200","'200",
"'","'Total Veterans Services","'33,326","'39,854","'40,201",
"'58400","'Other Charges","'","'","'",
"'506","'Liability Insurance","'284,404","'295,000","'297,000",
"'510","'Trustees Commission","'203,569","'205,000","'210,000",
"'513","'Workers Comp","'125,281","'160,000","'160,000",
"'","'Total Other Charges","'613,254","'660,000","'667,000",
"'58600","'Employee Benefits","'","'","'",
"'201","'Social Security","'434,918","'500,000","'516,127",
"'204","'State Retirement","'613,248","'680,000","'700,068",
"'206","'Life Insurance","'44,235","'48,000","'53,000",
"'207","'Medical Insurance","'1,439,202","'1,580,782","'1,898,199",
"'210","'Unemployment Comp","'8,315","'20,000","'20,000",
"'399","'Other Contracted Services","'5,500","'0","'5,500",
"'","'Total Employees Benefits","'2,545,418","'2,828,782","'3,192,894",
"'58900","'Miscellaneous","'","'","'",
"'309","'Contracts with Government Agencies","'12,920","'12,920","'12,920",
"'316","'Contributions","'83,000","'80,000","'108,000",
"'316-DA","'Contributions-Direct Appropriations Grant","'0","'0","'0",
"'320","'Dues and Memberships","'13,211","'15,000","'15,000",
"'348","'Postal Charges","'32,960","'45,000","'45,000",
"'351","'Rentals","'2,500","'2,500","'2,500",
"'399","'Other Contracted Services","'0","'0","'0",
"'599","'Other Charges","'1,234","'2,500","'2,500",
"'","'Total Miscellaneous","'145,825","'157,920","'185,920",
"'","'Total Other General Government","'3,492,672","'3,758,879","'4,158,426",
"'","'Total Estimated Expenditures","'12,662,940","'13,727,835","'14,474,349",
"'99000","'OTHER USES","'","'","'",
"'91110","'General Administration Projects","'","'","'",
"'715","'Land","'39,481","'0","'0",
"'91190","'Other General Government Projects","'","'","'",
"'706-DA","'Building Construction","'0","'0","'0",
"'","'Total Estimated General Administration Projects","'39,481","'0","'0",
"'91200","'Highway & Street Capital Projects","'","'","'",
"'713","'Highway Construction","'67,999","'0","'0",
,,,,

'Confidence Scores % (Table Cell)
""'46.02050781","'57.66601563","'93.60351563","'94.62890625","'94.72656250",
"'42.18750000","'52.88085938","'85.83984375","'86.76757813","'86.86523438",
"'38.84277344","'48.68164063","'79.00390625","'79.88281250","'79.93164063",
"'45.55664063","'57.08007813","'92.67578125","'93.70117188","'93.79882813",
"'55.90820313","'55.90820313","'55.90820313","'55.90820313","'55.90820313",
"'36.69433594","'45.99609375","'74.65820313","'75.48828125","'75.53710938",
"'40.99121094","'51.36718750","'83.39843750","'84.27734375","'84.37500000",
"'40.82031250","'51.17187500","'83.05664063","'83.93554688","'84.03320313",
"'45.82519531","'57.42187500","'93.26171875","'94.23828125","'94.33593750",
"'55.71289063","'55.71289063","'55.71289063","'55.71289063","'55.71289063",
"'37.28027344","'46.72851563","'75.87890625","'76.66015625","'76.75781250",
"'41.94335938","'52.53906250","'85.30273438","'86.23046875","'86.32812500",
"'43.60351563","'54.63867188","'88.72070313","'89.64843750","'89.74609375",
"'42.38281250","'53.12500000","'86.23046875","'87.20703125","'87.25585938",
"'43.45703125","'54.49218750","'88.42773438","'89.40429688","'89.50195313",
"'38.40332031","'48.12011719","'78.12500000","'79.00390625","'79.05273438",
"'45.92285156","'57.56835938","'93.45703125","'94.43359375","'94.53125000",
"'60.20507813","'60.20507813","'60.20507813","'60.20507813","'60.20507813",
"'36.03515625","'45.16601563","'73.29101563","'74.12109375","'74.16992188",
"'41.89453125","'52.49023438","'85.25390625","'86.13281250","'86.23046875",
"'43.84765625","'54.93164063","'89.20898438","'90.18554688","'90.28320313",
"'41.69921875","'52.24609375","'84.81445313","'85.74218750","'85.83984375",
"'42.38281250","'53.07617188","'86.23046875","'87.15820313","'87.20703125",
"'42.04101563","'52.68554688","'85.49804688","'86.42578125","'86.52343750",
"'42.30957031","'53.02734375","'86.08398438","'87.01171875","'87.10937500",
"'38.98925781","'48.87695313","'79.34570313","'80.17578125","'80.27343750",
"'45.58105469","'57.12890625","'92.72460938","'93.75000000","'93.84765625",
"'44.77539063","'56.10351563","'91.06445313","'92.04101563","'92.13867188",
"'45.16601563","'56.59179688","'91.89453125","'92.91992188","'93.01757813",
"'51.36718750","'51.36718750","'51.36718750","'51.36718750","'51.36718750",
"'20.52001953","'25.73242188","'41.74804688","'42.21191406","'42.26074219",
"'23.42529297","'29.37011719","'47.68066406","'48.19335938","'48.24218750",
"'22.79052734","'28.56445313","'46.36230469","'46.87500000","'46.92382813",
"'23.75488281","'29.76074219","'48.31542969","'48.85253906","'48.90136719",
"'44.65332031","'55.95703125","'90.82031250","'91.84570313","'91.89453125",
"'36.25488281","'36.25488281","'36.25488281","'76.95312500","'77.05078125",
"'30.66406250","'38.42773438","'62.35351563","'63.03710938","'63.08593750",
