"101-56300-316","Hickman County Senior Citizens","10,000",
"101-58900-316","Hickman County Chamber of Commerce","25,000",
"101-58900-316","Women Are Safe","5,000",
"101-58900-316","Pleasantville Volunteer Fire Dept.","10,000",
"101-58900-316","Davis House Child Advocacy Center","10,000",
"101-58900-316","East Hickman Volunteer Fire Dept.","30,000",
"101-58900-316","Helping Hands","5,000",
"101-58900-316","Hickman Humane Society","5,000",
"101-58900-316","Shady Grove Community Center","10,000",
"101-58900-316","Bernard Community Club, Inc.","5,000",
"101-54420-316","Hickman County Rescue Squad","35,000",
","","$150,000",
"KNash","Wayne Thomason",
"Keith Nash, District 4","Michael Wayne Thomasson, District 3",
"BOARD ACTION: 16 Aye","Absent 5 Nay",
"ADOPTED:","st ATTEST: COUNTY",
"Mark A. Bentley","OFFICE Ran",
"Mark Bentley, Chairman","Casey Dorton, County Clerk SEAL",
"Mark A. Bentley","COUNTY",
"Mark Bentley, County Mayor","",
"General Debt Service","2,500,000","2,365,492","466,088","5,331,580","3,014,101","0","3,014,101","2,317,479",
"General Purpose School","9,372,445","29,412,518","25,000","38,809,963","32,869,575","165,000","33,034,575","5,775,388",
"Central Cafeteria","500,000","2,175,200","0","2,675,200","2,175,200","0","2,175,200","500,000",
"Solid Waste Disposal","953,311","1,674,560","0","2,627,871","1,774,097","0","1,774,097","853,774",
"Totals","22,385,756","55,248,022","526,088","78,159,866","60,711,540","666,088","61,377,628","16,782,238",
"General","1.99",
"Highway/Public Works","0.07",
"General Purpose Schools","0.72",
"General Debt Service","0.02",
"Total","2.80",
"Fund","Proposed Tax Rate","Amount of Tax Levy","7.00% Reserve for Delinquency","Estimated Collection of Taxes",
"General","$1.99","8,777,394","614,418","$8,162,976",
"Highway/Public Works","$0.07","308,753","21,613","287,140",
"General Purpose School","$0.72","3,175,741","222,302","$2,953,439",
"General Debt Service","$0.02","88,215","6,175","82,040",
"Total","$2.80","$12,350,103","864,508","$11,485,595",
"Account No. Description","Actual 2019-2020","Original Estimated 2020-2021","Estimated 2021-2022",
"ESTIMATED REVENUES","","","",
"40000 LOCAL TAXES","","","",
"40100 County Property Taxes","","","",
"40110 Current Property Taxes","7,942,460","7,690,527","8,162,976",
"40120 Trustees Collection Prior Year","196,297","190,000","190,000",
"40125 Trustees Collection-Bankruptcy","1,822","0","1,000",
"40130 Clerk & Master Prior Years","68,622","100,000","100,000",
"40140 Interest and Penalty","41,369","40,000","40,000",
"40161 Payments in Lieu of Taxes TVA","8,871","8,500","8,500",
"40162 Payments in Lieu of Taxes-Loc Utilities","28,658","28,000","29,000",
"40163 Payments in Lieu of Taxes-Other","18,474","10,000","20,000",
"Total County Property Taxes","8,306,573","8,067,027","8,551,476",
"40200 County Local Option Taxes","","","",
"40210 Local Option Sales Tax","0","0","0",
"40220 Hotel/Motel Tax","14,061","15,000","32,000",
"40250 Litigation Tax General","86,491","90,000","50,000",
"40260 Litigation Tax-Special Purpose","11,589","12,000","7,500",
"40266 Litigation Tax-Jail, Workhouse, Courthouse","76,885","80,000","50,000",
"40267 Litigation Tax-Victim Offender","5,181","0","3,000",
"40270 Business Tax","88,355","80,000","80,000",
"40275 Mixed Drink Tax","0","0","0",
"Total County Local Option Taxes","282,562","277,000","222,500",
"40300 Statutory Local Taxes","","","",
"40320 Bank Excise Tax","23,744","20,000","26,000",
"40330 Wholesale Beer Tax","237,730","242,000","242,000",
"40390 Other Statutory Local Taxes","0","0","5,000",
"Total Local Option Taxes","261,474","262,000","273,000",
"TOTAL LOCAL TAXES","8,850,609","8,606,027","9,046,976",
"41000 LICENSES AND PERMITS","","","",
"41100 Licenses","","","",
"41140 Cable TV Franchise","49,272","48,000","48,000",
"41500 Permits","","","",
"41510 Beer Permits","3,918","4,500","3,500",
"41520 Building Permits","74,846","80,000","100,000",
"TOTAL LICENSES AND PERMITS","128,036","132,500","151,500",
"Account No.","Description","Actual 2019-2020","Original Estimated 2020-2021","Estimated 2021-2022",
"42000","FINES FORFEITURES AND PENALTIES","","","",
"42100","Circuit Court","","","",
"42110","Fines","5,369","6,000","4,200",
"42120","Officers Cost","3,415","3,200","3,200",
"42141","Drug Court Fees","750","1,000","600",
"42150","Jail Fees","929","900","1,000",
"42180","DUI Treatment Fines","760","500","300",
"42190","Data Entry Fee-Circuit Court","533","600","300",
","Total Circuit Court","11,756","12,200","9,600",
"42200","Criminal Court","","","",
"42280","DUI Treatment Fines","613","600","400",
","Total Criminal Court","613","600","400",
"42300","General Sessions Court","","","",
"42310","Fines","5,381","8,000","7,000",
"42320","Officers Cost","27,550","30,000","22,000",
"42330","Game and Fish Fines","1,487","2,000","300",
"42341","Drug Court Fees","1,779","3,000","2,000",
"42350","Jail Fees","7,632","9,000","7,000",
"42380","DUI Treatment Fines","1,882","2,500","2,000",
"42390","Data Entry Fee-General Sessions","11,942","12,500","7,500",
","Total General Sessions Court","57,653","67,000","47,800",
"42400","Juvenile Court","","","",
"42410","Fines","0","0","0",
"42490","Data Entry Fee-Juvenile Court","0","0","0",
","Total Juvenile Court","0","0","0",
"42500","Chancery Court","","","",
"42520","Officers Costs","1,879","2,000","1,000",
"42530","Data Entry Fee-Chancery Court","2,412","2,500","2,500",
","Total Chancery Court","4,291","4,500","3,500",
"42800","Judicial District Drug Program","","","",
"42871","Courtroom Security Fee","6,272","7,000","10,000",
","Total Judicial District Drug Program","6,272","7,000","10,000",
"42900","Other Fines, Forfeitures, and Seizures","","","",
"42910","Proceeds from Confiscated Property","2,226","3,000","3,000",
"42990","Other Fines, Forfeitures, and Penalties","7,600","7,200","1,500",
","Total Other Fines, Forfeitures and Seizures","9,826","10,200","4,500",
"Account No.","Description","Actual 2019-2020","Original Estimated 2020-2021","Estimated 2021-2022",
","TOTAL FINES, FORFEITURES AND PENALTIES","90,411","101,500","75,800",
"43000","CHARGES FOR CURRENT SERVICES","","","",
"43100","General Services","","","",
