"'Account No.","'Description","'Actual 2019-2020","'Original Estimated 2020-2021","'Estimated 2021-2022",
"'349","'Printing Stationary Forms","'4,283","'5,000","'5,000",
"'355","'Travel","'1,737","'2,250","'2,200",
"'399","'Other Contracted Services","'1,453","'2,000","'2,000",
"'435","'Office Supplies","'2,526","'3,000","'3,000",
"'508","'Surety Bond","'0","'0","'0",
"'524","'In-Service/Staff Development","'1,180","'1,800","'1,600",
"'719","'Office Equipment","'6,740","'5,500","'3,000",
,,,,

'Confidence Scores % (Table Cell)
""'55.56640625","'79.05273438","'93.50585938","'94.53125000","'95.55664063",
"'55.12695313","'78.46679688","'92.82226563","'93.84765625","'94.82421875",
"'39.84375000","'39.84375000","'39.84375000","'39.84375000","'39.84375000",
"'47.48535156","'67.57812500","'79.93164063","'80.76171875","'81.64062500",
"'53.32031250","'75.87890625","'89.74609375","'90.72265625","'91.65039063",
"'52.83203125","'75.19531250","'88.96484375","'89.89257813","'90.86914063",
"'53.46679688","'76.07421875","'89.99023438","'90.96679688","'91.94335938",
"'51.36718750","'73.14453125","'86.47460938","'87.45117188","'88.37890625",
"'53.27148438","'75.83007813","'89.69726563","'90.67382813","'91.60156250",
"'52.39257813","'74.56054688","'88.18359375","'89.16015625","'90.13671875",
"'52.92968750","'75.34179688","'89.11132813","'90.08789063","'91.06445313",
"'53.41796875","'76.02539063","'89.89257813","'90.86914063","'91.84570313",
"'53.22265625","'75.73242188","'89.59960938","'90.57617188","'91.55273438",
"'52.78320313","'75.09765625","'88.86718750","'89.79492188","'90.77148438",
"'52.92968750","'75.34179688","'89.11132813","'90.08789063","'91.06445313",
"'52.58789063","'74.85351563","'88.52539063","'89.50195313","'90.42968750",
"'52.68554688","'75.00000000","'88.72070313","'89.69726563","'90.62500000",
"'52.97851563","'75.43945313","'89.20898438","'90.18554688","'91.16210938",
"'53.02734375","'75.48828125","'89.25781250","'90.23437500","'91.21093750",
"'52.73437500","'75.09765625","'88.81835938","'89.74609375","'90.72265625",
"'53.27148438","'75.83007813","'89.69726563","'90.67382813","'91.60156250",
"'52.24609375","'74.31640625","'87.93945313","'88.86718750","'89.84375000",
"'52.44140625","'74.65820313","'88.28125000","'89.25781250","'90.18554688",
"'52.05078125","'74.12109375","'87.64648438","'88.57421875","'89.55078125",
"'52.78320313","'75.09765625","'88.86718750","'89.79492188","'90.77148438",
"'51.26953125","'72.94921875","'86.32812500","'87.25585938","'88.18359375",
"'52.39257813","'74.56054688","'88.18359375","'89.16015625","'90.13671875",
"'50.87890625","'72.41210938","'85.64453125","'86.57226563","'87.50000000",
"'55.17578125","'78.56445313","'92.91992188","'93.94531250","'94.92187500",
"'60.30273438","'60.30273438","'60.30273438","'60.30273438","'60.30273438",
"'47.50976563","'67.62695313","'79.98046875","'80.81054688","'81.68945313",
"'52.19726563","'74.26757813","'87.84179688","'88.76953125","'89.74609375",
"'51.07421875","'72.70507813","'85.98632813","'86.91406250","'87.84179688",
"'52.05078125","'74.12109375","'87.64648438","'88.57421875","'89.55078125",
"'51.56250000","'73.33984375","'86.76757813","'87.69531250","'88.62304688",
"'52.68554688","'75.00000000","'88.72070313","'89.69726563","'90.62500000",
"'52.29492188","'74.46289063","'88.08593750","'89.01367188","'89.99023438",
"'52.09960938","'74.12109375","'87.69531250","'88.62304688","'89.59960938",
"'51.75781250","'73.68164063","'87.15820313","'88.08593750","'89.01367188",
"'53.36914063","'75.92773438","'89.84375000","'90.77148438","'91.74804688",
"'51.95312500","'73.92578125","'87.45117188","'88.42773438","'89.35546875",
"'54.10156250","'77.00195313","'91.06445313","'92.04101563","'93.06640625",
"'52.39257813","'74.56054688","'88.18359375","'89.16015625","'90.13671875",
"'54.24804688","'77.24609375","'91.35742188","'92.33398438","'93.31054688",
"'51.80664063","'73.73046875","'87.25585938","'88.18359375","'89.11132813",
"'54.83398438","'78.07617188","'92.33398438","'93.31054688","'94.33593750",
