"'Account No.","'Description","'Actual 2019-2020","'Original Estimated 2020-2021","'Estimated 2021-2022",
"'","'Total Accounting and Budgeting","'280,840","'298,678","'302,753",
"'52300","'Property Assessor Office","'","'","'",
"'101","'County Official","'77,971","'80,668","'80,668",
"'106","'Deputy","'39,000","'43,502","'41,891",
"'135","'Assessment Personnel","'28,571","'32,672","'31,462",
"'140","'Salary Supplement","'2,799","'4,750","'4,750",
"'162","'Clerical Personnel","'30,575","'34,753","'33,466",
"'186","'Longevity Pay","'2,200","'2,300","'2,400",
"'187-RA","'Overtime Pay(Re-appraisal)","'0","'0","'5,000",
"'312","'Contracts with Private Agencies","'5,403","'10,000","'10,000",
"'317","'Data Processing Services","'29,306","'33,000","'33,000",
"'332","'Legal Notices","'38","'300","'200",
"'337","'Maint and Repair-Office Equipment","'964","'1,000","'1,000",
"'338","'Maint and Repair-Vehicle","'1,558","'1,500","'1,500",
"'349","'Printing Stationary Forms","'1,059","'1,500","'1,500",
"'349-RA","'Printing Stationary Forms(Re-appraisal)","'0","'0","'3,500",
"'355","'Travel","'866","'3,000","'3,000",
"'399","'Other Contracted Services","'2,636","'4,000","'4,000",
"'425","'Gasoline","'966","'2,500","'2,500",
"'435","'Office Supplies","'2,061","'3,500","'3,500",
"'508","'Premiums on Surety Bonds","'0","'100","'0",
"'524","'In-Service/Staff Development","'335","'2,400","'2,400",
"'599","'Other Charges","'0","'4,000","'0",
"'599-RA","'Other Charges(Re-appraisal)","'0","'0","'7,500",
"'599-PY","'Other Charges-PY Reappraisal Carryover","'0","'0","'0",
"'718","'Motor Vehicles","'0","'0","'0",
"'719","'Office Equipment","'4,938","'5,000","'5,000",
"'","'Total Property Assessor's Office","'231,246","'270,445","'278,237",
"'52400","'County Trustee's Office","'","'","'",
"'101","'County Official","'77,971","'80,668","'80,668",
"'106","'Deputy","'31,701","'32,921","'33,920",
"'121","'Data Processing Personnel","'25,309","'26,283","'27,081",
"'140","'Salary Supplement","'2,549","'4,500","'4,875",
"'162","'Clerical Personnel","'28,591","'29,691","'30,592",
"'169","'Part-time Personnel","'6,043","'7,200","'11,200",
"'186","'Longevity Pay","'1,500","'1,700","'1,900",
"'317","'Data Processing Services","'10,910","'12,125","'13,000",
"'332","'Legal Notices, Recording and Court Costs","'111","'250","'350",
