"'Account No.","'Description","'Actual 2019-2020","'Original Estimated 2020-2021","'Estimated 2021-2022",
"'","'Total Administration Of Sexual Offender Registry","'450","'12,500","'7,599",
"'54210","'Jail","'","'","'",
"'160","'Guards","'595,602","'656,849","'652,614",
"'186","'Longevity Pay","'5,600","'6,100","'6,900",
"'187","'Overtime Pay","'21,782","'12,500","'12,500",
"'189","'Other Salaries and Wages","'9,813","'11,520","'11,866",
"'331","'Legal Services","'0","'500","'0",
"'340","'Medical and Dental Services","'297,760","'250,000","'250,000",
"'355","'Travel","'0","'1,000","'1,500",
"'399","'Other Contracted Service","'103,660","'125,000","'125,000",
"'410","'Custodial Supplies","'24,836","'20,000","'20,000",
"'413","'Drugs & Medical Supplies","'19,355","'30,000","'30,000",
"'422","'Food Supplies","'191,220","'190,000","'195,000",
"'431","'Law Enforcement Supplies","'4,777","'5,000","'5,000",
"'435","'Office Supplies","'2,039","'5,000","'5,000",
"'441","'Prisoners Clothing","'2,959","'3,000","'3,000",
"'451","'Uniforms","'6,445","'8,000","'8,000",
"'499","'Other Supplies and Materials","'3,514","'4,750","'10,000",
"'524","'In-Service/Staff Development","'200","'500","'1,000",
"'709","'Data Processing Equipment","'9,743","'12,000","'12,000",
"'719","'Office Equipment","'7,457","'5,000","'5,000",
"'","'Total Jail","'1,306,762","'1,346,719","'1,354,380",
"'54310","'Fire Prevention and Control","'","'","'",
"'309","'Contracts with Gov Agen","'2,000","'2,000","'2,000",
"'429","'Instructional Supplies and Materials","'0","'3,550","'3,550",
"'524","'In-Service/Staff Development","'6,286","'10,000","'10,000",
"'","'Total Fire Prevention and Control","'8,286","'15,550","'15,550",
"'54410","'Civil Defense","'","'","'",
"'105","'Supervisor/Director","'59,246","'62,448","'62,541",
"'186","'Longevity Pay","'0","'0","'0",
"'189","'Other Salaries and Wages","'35,961","'37,906","'39,057",
"'316","'Contributions","'0","'0","'0",
"'320","'Dues and Memberships","'375","'750","'750",
"'330","'Operating Lease Payment","'3,400","'3,400","'3,400",
"'335","'Maint and Repair Service-Building","'0","'0","'0",
"'336","'Maint and Repair Services - Equipment","'2,630","'4,500","'4,500",
"'338","'Maint and Repair Services - Vehicles","'4,719","'10,000","'10,000",
"'355","'Travel","'285","'2,000","'1,000",
"'399","'Other Contracted Services","'1,311","'5,000","'4,000",
"'412","'Diesel","'1,456","'4,000","'4,000",
"'425","'Gasoline","'3,501","'7,000","'7,000",
"'435","'Office Supplies","'1,573","'1,200","'1,000",
"'442","'Propane Gas","'1,479","'3,000","'3,000",
,,,,

'Confidence Scores % (Table Cell)
""'46.48437500","'48.12011719","'93.94531250","'94.62890625","'95.16601563",
"'46.14257813","'47.75390625","'93.26171875","'93.94531250","'94.48242188",
"'46.67968750","'46.67968750","'46.67968750","'46.67968750","'46.67968750",
"'36.66992188","'37.96386719","'74.12109375","'74.65820313","'75.09765625",
"'45.01953125","'46.60644531","'91.01562500","'91.69921875","'92.18750000",
"'43.60351563","'45.14160156","'88.13476563","'88.76953125","'89.25781250",
"'44.82421875","'46.38671875","'90.62500000","'91.25976563","'91.74804688",
"'44.11621094","'45.67871094","'89.20898438","'89.84375000","'90.38085938",
"'44.14062500","'45.70312500","'89.25781250","'89.89257813","'90.38085938",
"'43.89648438","'45.43457031","'88.76953125","'89.40429688","'89.89257813",
"'44.21386719","'45.77636719","'89.40429688","'90.03906250","'90.52734375",
"'44.11621094","'45.67871094","'89.20898438","'89.84375000","'90.38085938",
"'43.89648438","'45.43457031","'88.76953125","'89.40429688","'89.89257813",
"'43.94531250","'45.48339844","'88.81835938","'89.50195313","'89.99023438",
"'44.04296875","'45.58105469","'89.01367188","'89.64843750","'90.18554688",
"'43.89648438","'45.43457031","'88.76953125","'89.40429688","'89.89257813",
"'44.01855469","'45.55664063","'88.96484375","'89.59960938","'90.13671875",
"'44.16503906","'45.72753906","'89.30664063","'89.94140625","'90.42968750",
"'44.45800781","'46.02050781","'89.84375000","'90.52734375","'91.01562500",
"'43.11523438","'44.62890625","'87.15820313","'87.79296875","'88.28125000",
"'44.04296875","'45.58105469","'89.01367188","'89.64843750","'90.18554688",
"'39.74609375","'41.16210938","'80.37109375","'80.95703125","'81.39648438",
"'46.19140625","'47.82714844","'93.40820313","'94.09179688","'94.58007813",
"'56.68945313","'56.68945313","'56.68945313","'56.68945313","'56.68945313",
"'36.81640625","'38.13476563","'74.46289063","'75.00000000","'75.39062500",
"'41.99218750","'43.45703125","'84.86328125","'85.49804688","'85.98632813",
"'42.52929688","'44.04296875","'85.98632813","'86.62109375","'87.10937500",
"'46.26464844","'47.90039063","'93.55468750","'94.23828125","'94.72656250",
"'55.56640625","'55.56640625","'55.56640625","'55.56640625","'55.56640625",
"'36.37695313","'37.64648438","'73.53515625","'74.07226563","'74.46289063",
"'42.48046875","'43.99414063","'85.88867188","'86.52343750","'87.01171875",
"'41.25976563","'42.70019531","'83.39843750","'83.98437500","'84.47265625",
"'43.70117188","'45.23925781","'88.33007813","'88.96484375","'89.45312500",
"'43.45703125","'44.99511719","'87.84179688","'88.47656250","'89.01367188",
"'43.40820313","'44.94628906","'87.79296875","'88.37890625","'88.91601563",
"'43.40820313","'44.94628906","'87.79296875","'88.37890625","'88.91601563",
"'42.40722656","'43.89648438","'85.74218750","'86.32812500","'86.81640625",
"'43.04199219","'44.55566406","'87.01171875","'87.64648438","'88.13476563",
"'43.33496094","'44.87304688","'87.64648438","'88.28125000","'88.76953125",
"'44.58007813","'46.16699219","'90.13671875","'90.77148438","'91.30859375",
"'43.40820313","'44.94628906","'87.79296875","'88.37890625","'88.91601563",
"'44.79980469","'46.36230469","'90.57617188","'91.21093750","'91.74804688",
"'43.11523438","'44.62890625","'87.15820313","'87.79296875","'88.28125000",
"'45.60546875","'47.21679688","'92.18750000","'92.87109375","'93.35937500",
