"'Account No.","'Description","'Actual 2019-2020","'Original Estimated 2020-2021","'Estimated 2021-2022",
"'82230","'Education","'","'","'",
"'603","'Interest on Bonds","'0","'0","'0",
"'613","'Interest on other Loans","'259,999","'417,136","'378,108",
"'","'Total Education","'259,999","'417,136","'378,108",
"'82300","'OTHER DEBT SERVICE","'","'","'",
"'82310","'General Government","'","'","'",
"'510","'Trustees Commission","'21,024","'45,000","'45,000",
"'699","'Other Debt Service","'30,112","'28,608","'26,359",
"'","'Total General Government","'51,136","'73,608","'71,359",
"'82330","'Education","'","'","'",
"'699","'Other Debt Service","'74,514","'68,053","'61,416",
"'","'Total Education","'74,514","'68,053","'61,416",
"'","'Total Interest Payments","'551,757","'825,175","'746,493",
"'","'Total Principal and Interest Payment","'2,699,550","'3,030,741","'3,014,101",
"'99000","'OTHER USES","'","'","'",
"'99100","'Transfers Out","'","'","'",
"'590","'Transfers to Other Funds","'0","'0","'0",
"'","'Total Estimated Other Uses","'0","'0","'0",
"'","'Total Estimated Expenditures and O","'2,699,550","'3,030,741","'3,014,101",
"'","'Excess of Estimated Revenues and","'Other Sources","'Over","'",
"'","'(Under) Estimated Expenditures anc","'92,531","'(342,638)","'(182,521)",
"'","'Estimated Beginning Fund Balance,","'1,828,835","'1,921,366","'2,500,000",
"'","'Fund Balance Audit Adjustment Estimated Ending fund Balance, Jun","'1,921,366","'1,578,728","'2,317,479",
,,,,

'Confidence Scores % (Table Cell)
""'43.60351563","'48.43750000","'87.69531250","'90.52734375","'94.09179688",
"'44.65332031","'44.65332031","'44.65332031","'44.65332031","'44.65332031",
"'34.10644531","'37.91503906","'68.60351563","'70.84960938","'73.63281250",
"'38.57421875","'42.87109375","'77.58789063","'80.12695313","'83.25195313",
"'40.11230469","'40.11230469","'87.15820313","'89.99023438","'93.50585938",
"'44.75097656","'44.75097656","'44.75097656","'44.75097656","'44.75097656",
"'25.73242188","'28.58886719","'51.75781250","'53.46679688","'55.51757813",
"'34.03320313","'37.81738281","'68.40820313","'70.65429688","'73.43750000",
"'38.79394531","'43.11523438","'78.02734375","'80.56640625","'83.69140625",
"'43.01757813","'43.01757813","'87.20703125","'90.03906250","'93.55468750",
"'49.80468750","'49.80468750","'49.80468750","'49.80468750","'49.80468750",
"'27.68554688","'30.78613281","'55.71289063","'57.51953125","'59.76562500",
"'39.89257813","'39.89257813","'86.42578125","'89.20898438","'92.72460938",
"'42.01660156","'46.67968750","'84.47265625","'87.25585938","'90.67382813",
"'41.21093750","'41.21093750","'85.49804688","'88.28125000","'91.74804688",
"'58.69140625","'58.69140625","'58.69140625","'58.69140625","'58.69140625",
"'38.62304688","'38.62304688","'38.62304688","'38.62304688","'38.62304688",
"'38.35449219","'38.35449219","'64.11132813","'66.21093750","'68.75000000",
"'41.67480469","'41.67480469","'85.54687500","'88.33007813","'91.79687500",
"'41.67480469","'41.67480469","'87.01171875","'89.84375000","'93.35937500",
"'48.53515625","'48.53515625","'48.53515625","'48.53515625","'48.53515625",
"'30.17578125","'33.52050781","'60.69335938","'62.64648438","'65.08789063",
"'37.57324219","'37.57324219","'79.00390625","'81.59179688","'84.76562500",
"'34.10644531","'34.10644531","'39.33105469","'41.40625000","'42.26074219",
