"'Account No.","'Description","'Actual 2019-2020","'Original Estimated 2020-2021","'Estimated 2021-2022",
"'","'ESTIMATED REVENUE","'","'","'",
"'","'OPERATING REVENUE","'","'","'",
"'43000","'CHARGES FOR CURRENT SERVICES","'","'","'",
"'43100","'General Services Charges","'","'","'",
"'43106","'Commercial & Industrial Collection Charge","'171,367","'125,000","'125,000",
"'43107","'Residential Waste Collection Charge","'103,941","'150,000","'150,000",
"'43110","'Tipping Fees","'60,343","'50,000","'50,000",
"'43114","'Solid Waste Disposal Fee","'827,812","'815,000","'830,000",
"'43350","'Copy Fees","'0","'0","'0",
"'","'Total Charges for Current Services","'1,163,463","'1,140,000","'1,155,000",
"'44000","'OTHER LOCAL REVENUES","'","'","'",
"'44100","'Recurring Items","'","'","'",
"'44110","'Investment Income","'7,883","'6,000","'6,000",
"'44120","'Lease/Rentals","'83,975","'65,000","'65,000",
"'44145","'Sale of Recycled Materials","'70,058","'100,000","'100,000",
"'44170","'Miscellaneous Refunds","'0","'0","'0",
"'","'Total Recurring Items","'161,916","'171,000","'171,000",
"'44500","'Non-Recurring Items","'","'","'",
"'44530","'Sale of Equipment","'0","'5,000","'5,000",
"'","'Total Non-Recurring Items","'0","'5,000","'5,000",
"'","'Total Other Local Revenues","'161,916","'176,000","'176,000",
"'46000","'STATE OF TENNESSEE","'","'","'",
"'46400","'Public Works Grants","'","'","'",
"'46430","'Litter Program","'44,023","'49,400","'49,300",
"'","'Total Public Works Grants","'44,023","'49,400","'49,300",
"'46800","'Other State Revenues","'","'","'",
"'46980","'Other State Grants","'8,109","'50,000","'0",
"'46990","'Other State Revenues","'0","'9,500","'9,500",
"'","'Total Other State Revenues","'8,109","'59,500","'9,500",
"'","'Total State of Tennessee","'52,132","'108,900","'58,800",
"'47000","'FEDERAL GOVERNMENT","'","'","'",
"'47100","'Federal Through State","'","'","'",
"'47235","'Homeland Security Grants","'0","'0","'0",
"'","'Total Federal Through State","'0","'0","'0",
"'","'Total Federal Government","'0","'0","'0",
,,,,

'Confidence Scores % (Table Cell)
""'46.28906250","'48.58398438","'91.01562500","'92.62695313","'94.04296875",
"'73.87695313","'73.87695313","'73.87695313","'73.87695313","'73.87695313",
"'44.26269531","'44.26269531","'44.26269531","'44.26269531","'44.26269531",
"'27.05078125","'28.41796875","'53.22265625","'54.15039063","'54.98046875",
"'31.25000000","'32.81250000","'61.42578125","'62.54882813","'63.47656250",
"'43.77441406","'45.94726563","'86.08398438","'87.59765625","'88.91601563",
"'42.77343750","'44.89746094","'84.08203125","'85.59570313","'86.86523438",
"'41.40625000","'43.45703125","'81.39648438","'82.86132813","'84.08203125",
"'41.45507813","'43.50585938","'81.49414063","'82.95898438","'84.17968750",
"'39.79492188","'41.77246094","'78.22265625","'79.63867188","'80.81054688",
"'42.33398438","'42.33398438","'90.57617188","'92.23632813","'93.60351563",
"'50.68359375","'50.68359375","'50.68359375","'50.68359375","'50.68359375",
"'31.78710938","'33.37402344","'62.50000000","'63.62304688","'64.55078125",
"'43.94531250","'46.11816406","'86.37695313","'87.93945313","'89.25781250",
"'41.65039063","'43.70117188","'81.83593750","'83.30078125","'84.57031250",
"'42.13867188","'44.23828125","'82.86132813","'84.32617188","'85.59570313",
"'40.94238281","'42.99316406","'80.51757813","'81.93359375","'83.15429688",
"'42.06542969","'42.06542969","'90.52734375","'92.18750000","'93.55468750",
"'46.67968750","'46.67968750","'46.67968750","'46.67968750","'46.67968750",
"'35.22949219","'36.98730469","'69.28710938","'70.50781250","'71.58203125",
"'45.80078125","'48.09570313","'90.03906250","'91.65039063","'93.01757813",
"'45.23925781","'47.48535156","'88.91601563","'90.52734375","'91.89453125",
"'44.75097656","'44.75097656","'44.75097656","'44.75097656","'44.75097656",
"'39.33105469","'39.33105469","'39.33105469","'39.33105469","'39.33105469",
"'38.98925781","'40.91796875","'76.66015625","'78.02734375","'79.19921875",
"'42.33398438","'42.33398438","'90.52734375","'92.18750000","'93.55468750",
"'48.33984375","'48.33984375","'48.33984375","'48.33984375","'48.33984375",
"'37.74414063","'39.62402344","'74.21875000","'75.53710938","'76.66015625",
"'39.69726563","'41.67480469","'78.07617188","'79.44335938","'80.66406250",
"'39.28222656","'39.28222656","'90.52734375","'92.13867188","'93.50585938",
"'39.64843750","'39.64843750","'89.01367188","'90.62500000","'91.94335938",
"'41.57714844","'41.57714844","'41.57714844","'41.57714844","'41.57714844",
"'35.79101563","'35.79101563","'35.79101563","'35.79101563","'35.79101563",
"'36.01074219","'37.81738281","'70.80078125","'72.07031250","'73.14453125",
"'40.91796875","'40.91796875","'90.08789063","'91.69921875","'93.06640625",
"'39.55078125","'39.55078125","'89.84375000","'91.45507813","'92.82226563",
