"'Account No","'Description","'Actual 2019-2020","'Original Estimated 2020-2021","'Estimated 2021-2022",
"'","'ESTIMATED REVENUES","'","'","'",
"'43000","'CHARGES FOR CURRENT SERVICES","'","'","'",
"'43500","'Education Charges","'","'","'",
"'43521","'Lunch Payments Children","'114,181","'240,000","'0",
"'43522","'Lunch Payments Adults","'34,598","'65,000","'75,000",
"'43523","'Income from Breakfast","'37,168","'65,000","'10,000",
"'43525","'A la Carte Sales","'176,968","'244,100","'175,000",
"'","'Total Charges for Current Services","'362,915","'614,100","'260,000",
"'44000","'OTHER LOCAL REVENUES","'","'","'",
"'44100","'Recurring Items","'","'","'",
"'44110","'Investment Income","'187","'200","'200",
"'44500","'Non-Recurring Items","'","'","'",
"'44170","'Miscellaneous Refunds","'0","'0","'0",
"'44530","'Sale of Equipment","'114","'0","'0",
"'","'Total Other Local Revenues","'301","'200","'200",
"'46000","'STATE OF TENNESSEE","'","'","'",
"'46800","'Other State Revenue","'","'","'",
"'46980","'Other State Grants","'6,850","'0","'0",
"'46990","'Other State Revenue","'1,093","'0","'0",
"'","'Total State of Tennessee","'7,943","'0","'0",
"'47000","'FEDERAL GOVERNMENT","'","'","'",
"'47100","'Federal Through State","'","'","'",
"'47111","'USDA School Lunch Program","'783,920","'1,065,000","'1,340,000",
"'47112","'USDA-Commodities","'69,622","'0","'0",
"'47113","'Breakfast","'326,017","'480,000","'560,000",
"'47114","'USDA-Other","'12,306","'15,000","'15,000",
"'47115","'USDA Food Service Equipment Grant","'9,679","'0","'0",
"'47301","'COVID-19 Grant #1","'539,477","'0","'0",
"'","'Total Federal Government","'1,741,021","'1,560,000","'1,915,000",
"'48000","'OTHER GOVERNMENTS AND CITIZENS","'GROUPS","'","'",
"'48100","'Other Governments","'","'","'",
"'48990","'Other","'10,000","'0","'0",
"'","'Total Other Governments and Citizens Grou","'10,000","'0","'0",
"'","'TOTAL ESTIMATED REVENUE","'2,122,180","'2,174,300","'2,175,200",
"'49000","'ESTIMATED OTHER SOURCES(NON-REVENUE)","'","'","'",
"'49800","'Transfer In","'0","'0","'0",
,,,,

'Confidence Scores % (Table Cell)
""'36.84082031","'45.09277344","'91.25976563","'92.38281250","'92.87109375",
"'70.06835938","'70.06835938","'70.06835938","'70.06835938","'70.06835938",
"'44.84863281","'44.84863281","'44.84863281","'44.84863281","'44.84863281",
"'39.69726563","'39.69726563","'39.69726563","'39.69726563","'39.69726563",
"'34.47265625","'42.18750000","'85.40039063","'86.42578125","'86.86523438",
"'38.98925781","'38.98925781","'85.10742188","'86.13281250","'86.62109375",
"'40.72265625","'40.72265625","'82.76367188","'83.78906250","'84.17968750",
"'43.57910156","'43.57910156","'80.81054688","'81.78710938","'82.22656250",
"'47.65625000","'47.65625000","'90.62500000","'91.74804688","'92.23632813",
"'48.04687500","'48.04687500","'48.04687500","'48.04687500","'48.04687500",
"'23.05908203","'28.22265625","'57.12890625","'57.81250000","'58.15429688",
"'39.69726563","'39.69726563","'81.20117188","'82.22656250","'82.61718750",
"'27.05078125","'33.10546875","'66.99218750","'67.82226563","'68.16406250",
"'40.64941406","'40.64941406","'79.19921875","'80.12695313","'80.56640625",
"'45.23925781","'45.23925781","'83.20312500","'84.22851563","'84.66796875",
"'49.41406250","'49.41406250","'90.13671875","'91.25976563","'91.69921875",
"'46.09375000","'46.09375000","'46.09375000","'46.09375000","'46.09375000",
"'24.10888672","'29.49218750","'59.71679688","'60.44921875","'60.74218750",
"'39.59960938","'39.59960938","'81.39648438","'82.37304688","'82.81250000",
"'45.60546875","'45.60546875","'80.90820313","'81.88476563","'82.32421875",
"'48.33984375","'48.33984375","'90.28320313","'91.35742188","'91.84570313",
"'46.38671875","'46.38671875","'46.38671875","'46.38671875","'46.38671875",
"'37.57324219","'37.57324219","'37.57324219","'37.57324219","'37.57324219",
"'41.21093750","'41.21093750","'80.51757813","'81.49414063","'81.88476563",
"'42.33398438","'42.33398438","'83.25195313","'84.27734375","'84.71679688",
"'43.40820313","'43.40820313","'84.17968750","'85.20507813","'85.64453125",
"'40.91796875","'40.91796875","'83.88671875","'84.91210938","'85.35156250",
"'40.72265625","'40.72265625","'84.71679688","'85.74218750","'86.18164063",
"'40.91796875","'40.91796875","'80.66406250","'81.64062500","'82.08007813",
"'46.28906250","'46.28906250","'90.52734375","'91.65039063","'92.13867188",
"'55.07812500","'55.07812500","'55.07812500","'55.07812500","'55.07812500",
"'36.93847656","'36.93847656","'36.93847656","'36.93847656","'36.93847656",
"'38.20800781","'38.20800781","'55.12695313","'55.81054688","'56.10351563",
"'47.75390625","'47.75390625","'89.94140625","'91.06445313","'91.50390625",
"'53.41796875","'53.41796875","'89.35546875","'90.47851563","'90.91796875",
"'35.08300781","'35.08300781","'41.67480469","'43.01757813","'46.97265625",
"'35.08300781","'35.08300781","'41.94335938","'43.01757813","'46.97265625",
