"'Account No.","'Description","'Actual 2019-2020","'Original Estimate 2020-2021","'Estimate 2021-2022",
"'433","'Lubricants","'3,195","'12,000","'12,000",
"'442","'Propane","'0","'0","'100,000",
"'450","'Tires and Tubes","'17,733","'30,000","'30,000",
"'453","'Vehicles Parts","'73,879","'100,000","'120,000",
"'511","'Vehicle and Equipment Insurance","'40,157","'45,000","'45,000",
"'524","'In Service/Staff Development","'0","'500","'0",
"'720","'Plant Operation Equipment","'0","'0","'40,000",
"'729","'Transportation Equipment","'758,833","'600,000","'450,000",
"'","'Total Transportation","'2,189,180","'2,332,170","'2,372,457",
"'72810","'Central and Other","'","'","'",
"'201","'Social Security","'0","'1,000","'0",
,,,,

'Confidence Scores % (Table Cell)
""'45.36132813","'60.54687500","'93.65234375","'94.82421875","'96.33789063",
"'46.97265625","'46.97265625","'46.97265625","'46.97265625","'46.97265625",
"'38.57421875","'51.51367188","'79.58984375","'80.61523438","'81.88476563",
"'43.18847656","'57.66601563","'89.11132813","'90.28320313","'91.69921875",
"'42.89550781","'57.27539063","'88.52539063","'89.64843750","'91.06445313",
"'43.57910156","'58.15429688","'89.89257813","'91.06445313","'92.48046875",
"'43.35937500","'57.86132813","'89.45312500","'90.57617188","'92.04101563",
"'43.45703125","'58.00781250","'89.69726563","'90.82031250","'92.28515625",
"'43.67675781","'58.30078125","'90.13671875","'91.30859375","'92.72460938",
"'42.77343750","'57.08007813","'88.23242188","'89.35546875","'90.77148438",
"'42.65136719","'56.93359375","'87.98828125","'89.16015625","'90.52734375",
"'43.65234375","'58.25195313","'90.03906250","'91.21093750","'92.62695313",
"'43.67675781","'58.30078125","'90.13671875","'91.30859375","'92.72460938",
"'42.13867188","'56.25000000","'86.96289063","'88.03710938","'89.45312500",
"'43.72558594","'58.34960938","'90.23437500","'91.40625000","'92.82226563",
"'43.60351563","'58.20312500","'89.94140625","'91.11328125","'92.52929688",
"'42.70019531","'56.98242188","'88.08593750","'89.25781250","'90.62500000",
"'42.91992188","'57.27539063","'88.57421875","'89.69726563","'91.11328125",
"'42.82226563","'42.82226563","'93.35937500","'94.53125000","'96.04492188",
"'57.27539063","'57.27539063","'57.27539063","'57.27539063","'57.27539063",
"'36.84082031","'49.16992188","'76.02539063","'77.00195313","'78.22265625",
"'43.04199219","'57.42187500","'88.81835938","'89.94140625","'91.35742188",
"'43.09082031","'57.51953125","'88.91601563","'90.08789063","'91.50390625",
"'42.84667969","'57.17773438","'88.42773438","'89.55078125","'90.96679688",
"'43.04199219","'57.42187500","'88.81835938","'89.94140625","'91.35742188",
"'42.13867188","'56.25000000","'86.96289063","'88.03710938","'89.45312500",
"'41.69921875","'55.66406250","'86.08398438","'87.15820313","'88.52539063",
"'43.60351563","'58.20312500","'89.94140625","'91.11328125","'92.52929688",
"'43.48144531","'58.05664063","'89.74609375","'90.86914063","'92.28515625",
"'41.43066406","'55.32226563","'85.49804688","'86.62109375","'87.93945313",
"'43.16406250","'57.61718750","'89.06250000","'90.23437500","'91.65039063",
"'42.45605469","'56.64062500","'87.59765625","'88.72070313","'90.08789063",
"'42.23632813","'56.39648438","'87.15820313","'88.28125000","'89.69726563",
"'43.40820313","'57.95898438","'89.59960938","'90.72265625","'92.18750000",
"'42.79785156","'57.12890625","'88.33007813","'89.45312500","'90.86914063",
"'41.74804688","'55.71289063","'86.13281250","'87.25585938","'88.62304688",
"'43.62792969","'58.20312500","'89.99023438","'91.16210938","'92.57812500",
"'43.72558594","'58.34960938","'90.23437500","'91.40625000","'92.82226563",
"'43.06640625","'57.47070313","'88.86718750","'89.99023438","'91.40625000",
"'43.48144531","'58.05664063","'89.74609375","'90.86914063","'92.28515625",
"'44.04296875","'58.78906250","'90.86914063","'92.04101563","'93.50585938",
"'43.23730469","'57.71484375","'89.20898438","'90.38085938","'91.79687500",
"'43.01757813","'57.42187500","'88.76953125","'89.89257813","'91.30859375",
"'43.04199219","'57.42187500","'88.81835938","'89.94140625","'91.35742188",
"'40.91796875","'40.91796875","'93.35937500","'94.53125000","'96.04492188",
"'43.21289063","'43.21289063","'43.21289063","'43.21289063","'43.21289063",
"'40.67382813","'54.29687500","'83.93554688","'85.00976563","'86.32812500",
