"'Account No.","'Description","'Actual 2019-2020","'Original Estimate 2020-2021","'Estimate 2021-2022",
"'72620","'Maintenance of Plant","'","'","'",
"'105","'Supervisor/Director","'63,000","'63,000","'63,788",
"'161","'Secretary(s)","'10,392","'11,000","'11,500",
"'189","'Other Salaries and Wages","'163,757","'168,669","'209,572",
"'201","'Social Security","'16,286","'19,329","'21,792",
"'204","'State Retirement","'26,005","'33,440","'31,420",
"'207","'Medical Insurance","'32,848","'35,000","'43,950",
"'335","'Maint & Repair Services - Building","'128,957","'200,000","'265,000",
"'336","'Maint & Repair Services - Equipment","'192,192","'225,000","'240,000",
"'355","'Travel","'4,181","'5,000","'5,000",
"'399","'Other Contracted Services","'183,005","'182,000","'195,000",
"'418","'Equipment and Machinery Parts","'0","'9,000","'9,000",
"'425","'Gasoline","'0","'0","'0",
"'499","'Other Supplies and Materials","'472","'1,000","'1,000",
"'701","'Administration Equipment","'13,383","'0","'0",
"'707","'Building Improvements","'111,702","'0","'0",
"'717","'Maintenance Equipment","'26,781","'0","'88,000",
"'","'Total Maintenance of Plant","'972,961","'952,438","'1,185,022",
"'72710","'Transportation","'","'","'",
"'105","'Supervisor/Director","'56,000","'60,000","'60,750",
"'142","'Mechanic(s)","'79,109","'92,630","'120,409",
"'146","'Bus Drivers","'655,016","'681,070","'717,000",
"'161","'Secretary(s)","'10,392","'11,000","'12,000",
"'201","'Social Security","'61,265","'64,620","'69,627",
"'204","'State Retirement","'89,931","'116,400","'100,391",
"'207","'Medical Insurance","'107,424","'126,000","'139,780",
"'299","'Other Fringe Benefits","'16,280","'43,000","'37,500",
"'335","'Maintenance and Repair Services - Building","'0","'0","'5,000",
"'338","'Maintenance and Repair Services - Vehicles","'23,720","'25,000","'25,000",
"'355","'Travel","'0","'2,500","'2,500",
"'399","'Other Contracted Services","'55,802","'52,500","'50,000",
"'412","'Diesel Fuel","'116,331","'235,000","'200,000",
"'418","'Equipment and Machinery Parts","'0","'1,800","'2,000",
"'424","'Garage Supplies","'2,679","'3,150","'3,500",
"'425","'Gasoline","'21,434","'30,000","'30,000",
