"'Account No. Description","'Actual 2019-2020","'Original Estimate 2020-2021","'Estimate 2021-2022",
"'72230 Career and Technical Education Program","'","'","'",
"'105 Supervisor/Director","'76,280","'79,521","'81,320",
"'201 Social Security","'5,537","'6,083","'6,221",
"'204 State Retirement","'7,621","'8,167","'8,970",
"'207 Medical Insurance","'7,524","'7,900","'7,900",
"'336 Maint and Repair Services - Equipment","'1,000","'3,000","'3,000",
"'355 Travel","'322","'2,000","'2,000",
"'499 Other Supplies and Materials","'422","'3,000","'3,000",
"'Total Vocational Education Program","'98,706","'109,671","'112,411",
"'72250 Technology","'","'","'",
"'105 Supervisor","'60,000","'63,000","'63,000",
"'189 Other Salaries and Wages","'4,421","'7,000","'7,000",
"'201 Social Security","'4,703","'5,355","'5,355",
"'204 State Retirement","'7,065","'9,646","'8,312",
"'207 Medical Insurance","'7,900","'7,900","'7,900",
"'336 Maint and Repair Services - Equipment","'1,622","'5,000","'4,000",
"'350 Internet Connectivity","'0","'0","'80,000",
"'355 Travel","'150","'2,000","'2,000",
"'399 Other Contracted Services","'138,378","'140,000","'75,000",
"'499 Other Supplies and Materials","'435","'2,000","'2,000",
"'722 Regular Instruction Equipment","'24,102","'85,000","'85,000",
"'Total Technology","'248,776","'326,901","'339,567",
"'72290 Other Programs","'","'","'",
"'215 On-Behalf Payments for OPEB","'62,869","'35,000","'35,000",
"'Total Other Programs","'62,869","'35,000","'35,000",
"'72310 Board of Education","'","'","'",
"'191 Board and Committee Members Fees","'6,519","'13,000","'13,000",
"'196 In-Service Training","'6,567","'12,000","'12,000",
"'201 Social Security","'475","'1,000","'1,913",
"'305 Audit Services","'27,500","'35,000","'35,000",
"'320 Dues and Memberships","'32,779","'32,000","'32,000",
"'331 Legal Services","'27,635","'40,000","'40,000",
"'399 Other Contracted Services","'0","'0","'0",
"'505 Judgments","'0","'0","'0",
"'506 Liability Insurance","'57,982","'150,000","'150,000",
"'510 Trustees Commission","'121,008","'125,000","'125,000",
"'513 Workers Compensation Insurance","'167,678","'250,000","'250,000",
"'534 Refund to Applicant for Criminal Investigation","'0","'1,000","'1,000",
"'599 Other Charges","'4,562","'10,000","'10,000",
"'Total Board of Education","'452,705","'669,000","'669,913",
"'72320 Director of Schools","'","'","'",
"'101 County Official/Administrative Officer","'109,000","'110,000","'113,000",
"'117 Career Ladder Program","'1,000","'1,000","'1,000",
"'161 Secretary(s)","'86,616","'88,000","'90,000",
,,,

'Confidence Scores % (Table Cell)
""'73.33984375","'94.18945313","'94.87304688","'97.16796875",
"'59.71679688","'59.71679688","'59.71679688","'59.71679688",
"'69.28710938","'88.96484375","'89.59960938","'91.79687500",
"'69.18945313","'88.86718750","'89.55078125","'91.69921875",
"'68.79882813","'88.37890625","'89.01367188","'91.21093750",
"'70.36132813","'90.38085938","'91.01562500","'93.26171875",
"'69.58007813","'89.35546875","'89.99023438","'92.18750000",
"'65.72265625","'84.42382813","'85.00976563","'87.10937500",
"'68.35937500","'87.79296875","'88.42773438","'90.57617188",
"'73.04687500","'93.79882813","'94.48242188","'96.82617188",
"'67.33398438","'67.33398438","'67.33398438","'67.33398438",
"'59.52148438","'76.46484375","'77.00195313","'78.90625000",
"'68.21289063","'87.64648438","'88.28125000","'90.42968750",
"'69.18945313","'88.86718750","'89.50195313","'91.65039063",
"'66.99218750","'86.03515625","'86.66992188","'88.76953125",
"'69.92187500","'89.84375000","'90.47851563","'92.67578125",
"'67.62695313","'86.86523438","'87.45117188","'89.59960938",
"'66.84570313","'85.88867188","'86.47460938","'88.57421875",
"'70.55664063","'90.62500000","'91.25976563","'93.50585938",
"'67.87109375","'87.15820313","'87.79296875","'89.94140625",
"'68.89648438","'88.47656250","'89.11132813","'91.25976563",
"'67.57812500","'86.81640625","'87.40234375","'89.55078125",
"'72.50976563","'93.11523438","'93.79882813","'96.09375000",
"'54.19921875","'54.19921875","'54.19921875","'54.19921875",
"'46.16699219","'59.32617188","'59.71679688","'61.18164063",
"'72.75390625","'93.45703125","'94.14062500","'96.43554688",
"'63.52539063","'63.52539063","'63.52539063","'63.52539063",
"'59.13085938","'75.97656250","'76.51367188","'78.36914063",
"'70.60546875","'90.72265625","'91.35742188","'93.60351563",
"'68.75000000","'88.33007813","'88.96484375","'91.16210938",
"'65.86914063","'84.61914063","'85.20507813","'87.30468750",
"'69.62890625","'89.40429688","'90.03906250","'92.23632813",
"'68.11523438","'87.50000000","'88.13476563","'90.28320313",
"'65.52734375","'84.17968750","'84.81445313","'86.86523438",
"'71.33789063","'91.65039063","'92.28515625","'94.53125000",
"'66.65039063","'85.64453125","'86.23046875","'88.37890625",
"'67.77343750","'87.01171875","'87.64648438","'89.79492188",
"'71.14257813","'91.35742188","'91.99218750","'94.23828125",
"'65.52734375","'84.13085938","'84.76562500","'86.81640625",
"'66.11328125","'84.91210938","'85.49804688","'87.59765625",
"'73.29101563","'94.14062500","'94.82421875","'97.11914063",
"'66.99218750","'66.99218750","'66.99218750","'66.99218750",
"'60.30273438","'77.44140625","'78.02734375","'79.93164063",
"'70.99609375","'91.21093750","'91.89453125","'94.09179688",
"'72.70507813","'93.35937500","'94.04296875","'96.33789063",
