"'The Nonprofit Appropriation Resolution","'1",
"'The General Appropriation Resolution","'4",
"'Summary Statement of Proposed Operation","'10",
"'The Tax Levy Resolution","'11",
"'Statement of Estimated Revenue From Current Property Taxes","'13",
"'Fund 101-General Fund","'14",
"'Fund 122-Drug Control Fund","'33",
"'Fund 125-Adequate Facilities Tax Fund","'34",
"'Fund 127-American Rescue Plan Act(SLFRF)","'35",
"'Fund 131-Highway/Public Works Fund","'37",
"'Fund 141-General Purpose School Fund","'41",
"'Fund 143-Central Cafeteria Fund","'51",
"'Fund 151-General Debt Service Fund","'53",
"'Fund 207-Solid Waste Disposal Fund","'56",
,

'Confidence Scores % (Table Cell)
""'95.45898438","'65.72265625",
"'94.33593750","'64.94140625",
"'94.67773438","'65.18554688",
"'93.65234375","'64.45312500",
"'94.77539063","'65.23437500",
"'93.79882813","'64.55078125",
"'94.48242188","'65.03906250",
"'94.14062500","'64.79492188",
"'93.89648438","'64.64843750",
"'94.18945313","'64.84375000",
"'93.55468750","'64.40429688",
"'93.45703125","'64.30664063",
"'93.89648438","'64.59960938",
"'94.18945313","'64.84375000",
