"'Account No. Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'499 Other Supplies and Materials","'381","'680","'680",
"'524 In-Service/Staff Development","'100","'100","'100",
"'599 Other Charges","'254","'100","'100",
"'Total Preservation of Records","'38,459","'41,151","'43,238",
"'Total General Administration","'1,538,023","'2,296,511","'2,439,150",
"'52000 FINANCE","'","'","'",
"'52100 Accounting and Budgeting","'","'","'",
"'101 Administrative Officer","'96,522","'86,395","'90,715",
"'103 Assistants","'40,210","'45,000","'47,251",
"'119 Accounts/Bookkeepers","'100,219","'125,190","'131,450",
"'140 Salary Supplement","'7,500","'6,375","'7,125",
"'186 Longevity Pay","'2,900","'3,200","'3,500",
"'317 Data Processing Services","'19,351","'21,005","'22,629",
"'332 Legal Notices Rec Court Costs","'4,017","'4,300","'4,300",
"'349 Printing Stationary Forms","'4,175","'5,500","'5,500",
"'355 Travel","'202","'2,100","'2,100",
"'399 Other Contracted Services","'2,163","'3,000","'3,000",
"'435 Office Supplies","'3,180","'3,500","'3,500",
"'508 Surety Bond","'50","'300","'300",
"'524 In-Service/Staff Development","'1,030","'1,000","'1,000",
"'719 Office Equipment","'865","'2,000","'2,000",
"'Total Accounting and Budgeting","'282,384","'308,865","'324,370",
"'52300 Property Assessor Office","'","'","'",
"'101 County Official","'82,281","'86,395","'90,715",
"'106 Deputy","'27,390","'0","'0",
"'135 Assessment Personnel","'31,462","'0","'0",
"'140 Salary Supplement","'3,522","'4,000","'4,800",
"'162 Clerical Personnel","'33,466","'121,092","'127,147",
"'186 Longevity Pay","'2,400","'500","'1,100",
"'187 Overtime Pay(Re-appraisal)","'3,375","'0","'0",
"'187-RA Overtime Pay(Re-appraisal)","'6,000","'0","'0",
"'312 Contracts with Private Agencies","'5,454","'10,000","'10,000",
"'317 Data Processing Services","'32,324","'36,300","'38,500",
"'332 Legal Notices","'522","'200","'200",
"'337 Maint and Repair-Office Equipment","'576","'1,000","'1,000",
"'338 Maint and Repair-Vehicle","'1,280","'1,500","'2,000",
"'349 Printing Stationary Forms","'1,500","'1,900","'2,200",
"'349-RA Printing Stationary Forms(Re-appraisal)","'2,565","'0","'0",
"'355 Travel","'527","'3,000","'3,500",
"'399 Other Contracted Services","'7,870","'5,000","'7,000",
"'425 Gasoline","'793","'3,000","'3,000",
"'435 Office Supplies","'2,666","'3,500","'3,500",
"'524 In-Service/Staff Development","'312","'2,400","'4,000",
"'599 Other Charges","'0","'4,000","'5,000",
"'599-PY Other Charges-PY Reappraisal Carryover","'0","'9,000","'0",
,,,

'Confidence Scores % (Table Cell)
""'39.13574219","'92.28515625","'94.18945313","'90.42968750",
"'35.49804688","'83.69140625","'85.44921875","'82.03125000",
"'35.32714844","'83.30078125","'85.00976563","'81.64062500",
"'36.20605469","'85.40039063","'87.15820313","'83.69140625",
"'38.89160156","'91.69921875","'93.65234375","'89.89257813",
"'38.84277344","'91.60156250","'93.50585938","'89.74609375",
"'66.35742188","'66.35742188","'66.35742188","'66.35742188",
"'53.80859375","'53.80859375","'53.80859375","'53.80859375",
"'37.13378906","'87.50000000","'89.35546875","'85.79101563",
"'37.35351563","'88.08593750","'89.89257813","'86.32812500",
"'37.71972656","'88.91601563","'90.82031250","'87.15820313",
"'36.79199219","'86.76757813","'88.57421875","'85.00976563",
"'36.71875000","'86.57226563","'88.37890625","'84.86328125",
"'36.27929688","'85.49804688","'87.30468750","'83.83789063",
"'37.50000000","'88.37890625","'90.23437500","'86.62109375",
"'36.45019531","'85.93750000","'87.74414063","'84.22851563",
"'37.08496094","'87.45117188","'89.25781250","'85.69335938",
"'36.88964844","'86.96289063","'88.81835938","'85.25390625",
"'37.32910156","'88.03710938","'89.84375000","'86.27929688",
"'36.74316406","'86.62109375","'88.42773438","'84.91210938",
"'36.66992188","'86.47460938","'88.28125000","'84.76562500",
"'35.93750000","'84.71679688","'86.47460938","'83.00781250",
"'38.89160156","'91.69921875","'93.65234375","'89.89257813",
"'65.82031250","'65.82031250","'65.82031250","'65.82031250",
"'32.83691406","'77.39257813","'79.00390625","'75.87890625",
"'37.32910156","'87.98828125","'89.84375000","'86.23046875",
"'36.40136719","'85.79101563","'87.59765625","'84.08203125",
"'36.54785156","'86.13281250","'87.93945313","'84.42382813",
"'36.10839844","'85.15625000","'86.91406250","'83.44726563",
"'37.42675781","'88.23242188","'90.03906250","'86.47460938",
"'36.25488281","'85.44921875","'87.25585938","'83.78906250",
"'37.52441406","'88.47656250","'90.33203125","'86.71875000",
"'37.25585938","'87.84179688","'89.69726563","'86.08398438",
"'37.35351563","'88.08593750","'89.89257813","'86.32812500",
"'37.20703125","'87.69531250","'89.55078125","'85.98632813",
"'37.40234375","'88.18359375","'89.99023438","'86.42578125",
"'36.98730469","'87.20703125","'89.01367188","'85.44921875",
"'37.08496094","'87.45117188","'89.25781250","'85.69335938",
"'37.93945313","'89.45312500","'91.30859375","'87.64648438",
"'36.88964844","'86.96289063","'88.81835938","'85.25390625",
"'37.93945313","'89.45312500","'91.30859375","'87.64648438",
"'37.86621094","'89.25781250","'91.11328125","'87.50000000",
"'37.91503906","'89.40429688","'91.25976563","'87.59765625",
"'37.69531250","'88.86718750","'90.72265625","'87.06054688",
"'38.33007813","'90.33203125","'92.23632813","'88.57421875",
"'38.57421875","'90.96679688","'92.82226563","'89.16015625",
