"'Account No.","'Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'349","'Printing, Stationery and Forms","'271","'1,800","'2,000",
"'351","'Rentals","'0","'4,000","'20,000",
"'355","'Travel","'1,412","'2,000","'2,500",
"'359","'Disposal Fees","'668,958","'580,000","'600,000",
"'399","'Other Contracted Services","'5,102","'5,000","'5,000",
"'410","'Custodial Supplies","'2,106","'1,800","'1,800",
"'412","'Diesel Fuel","'61,635","'42,000","'95,000",
"'415","'Electricity","'15,867","'19,000","'19,000",
"'420","'Fertilizer, Lime Chemicals and Seed","'0","'1,000","'2,000",
"'425","'Gasoline","'3,548","'4,000","'8,000",
"'433","'Lubricants","'1,716","'4,000","'5,000",
"'435","'Office Supplies","'2,506","'3,000","'4,000",
"'436","'Other Road Materials","'0","'1,000","'5,000",
"'446","'Small Tools","'459","'2,000","'2,000",
"'450","'Tires and Tubes","'6,313","'12,000","'15,000",
"'451","'Uniforms","'5,026","'5,000","'5,000",
"'452","'Utilities","'8,563","'8,000","'18,000",
"'462","'Wire","'4,198","'4,000","'7,000",
"'463","'Testing","'1,471","'13,000","'15,000",
"'499","'Other Supplies and Materials","'2,234","'4,000","'5,000",
"'510","'Trustees Commission","'14,466","'15,000","'18,000",
"'514","'Depreciation","'95,929","'45,171","'45,171",
"'517","'Surcharge","'5,500","'6,000","'9,000",
"'524","'In Service/Staff Development","'499","'650","'650",
"'612","'Principal on Other Loans","'73,000","'75,000","'77,000",
"'613","'Interest on Other Loans","'1,534","'21,970","'20,193",
"'718","'Motor Vehicles","'0","'0","'0",
"'719","'Office Equipment","'3,993","'3,000","'5,000",
"'733","'Solid Waste Equipment","'0","'0","'0",
"'791","'Other Construction","'1,370","'15,000","'15,000",
"'","'Total Sanitation Management","'1,758,215","'1,771,244","'1,972,824",
"'60000","'HIGHWAYS","'","'","'",
"'64000","'Litter and Trash Collection","'","'","'",
"'105","'Supervisor/Director","'24,066","'25,900","'25,900",
"'429","'Instructional Supply and Materials","'12,325","'12,325","'12,325",
"'599","'Other Charges","'5,104","'11,075","'11,075",
"'","'Total Litter and Trash Collection","'41,495","'49,300","'49,300",
"'90000","'CAPITAL PROJECTS","'","'","'",
"'91140","'Public Health and Welfare Projects","'","'","'",
"'606","'Other Debt Issuance Charge","'6,000","'0","'0",
"'799","'Other Capital Outlay-Reserve","'144,974","'56,000","'56,000",
"'799-LOAN","'Other Capital Outlay-Loan","'9,557","'0","'0",
"'","'Total Public Health and Welfare Projects","'160,531","'56,000","'56,000",
"'Total","'Estimated Expenditures","'1,960,241","'1,876,544","'2,078,124",
,,,,

'Confidence Scores % (Table Cell)
""'40.13671875","'43.89648438","'93.50585938","'93.60351563","'96.09375000",
"'38.50097656","'42.11425781","'89.74609375","'89.84375000","'92.18750000",
"'37.35351563","'40.84472656","'87.06054688","'87.15820313","'89.40429688",
"'38.52539063","'42.13867188","'89.79492188","'89.89257813","'92.23632813",
"'38.64746094","'42.26074219","'90.03906250","'90.13671875","'92.52929688",
"'38.15917969","'41.74804688","'88.96484375","'89.01367188","'91.35742188",
"'38.35449219","'41.94335938","'89.35546875","'89.45312500","'91.79687500",
"'37.93945313","'41.47949219","'88.37890625","'88.47656250","'90.82031250",
"'38.76953125","'42.40722656","'90.33203125","'90.42968750","'92.82226563",
"'38.15917969","'41.72363281","'88.91601563","'89.01367188","'91.30859375",
"'37.71972656","'41.25976563","'87.93945313","'88.03710938","'90.33203125",
"'38.40332031","'42.01660156","'89.50195313","'89.59960938","'91.94335938",
"'38.40332031","'42.01660156","'89.50195313","'89.59960938","'91.94335938",
"'38.06152344","'41.62597656","'88.72070313","'88.81835938","'91.11328125",
"'38.47656250","'42.08984375","'89.69726563","'89.79492188","'92.13867188",
"'38.23242188","'41.82128906","'89.06250000","'89.16015625","'91.50390625",
"'37.57324219","'41.08886719","'87.54882813","'87.64648438","'89.94140625",
"'38.33007813","'41.91894531","'89.30664063","'89.40429688","'91.74804688",
"'38.01269531","'41.57714844","'88.57421875","'88.67187500","'91.01562500",
"'38.03710938","'41.62597656","'88.67187500","'88.76953125","'91.11328125",
"'38.47656250","'42.06542969","'89.64843750","'89.74609375","'92.08984375",
"'37.71972656","'41.23535156","'87.89062500","'87.98828125","'90.28320313",
"'37.40234375","'40.91796875","'87.20703125","'87.25585938","'89.55078125",
"'38.47656250","'42.06542969","'89.64843750","'89.74609375","'92.08984375",
"'37.69531250","'41.23535156","'87.84179688","'87.93945313","'90.23437500",
"'37.64648438","'41.18652344","'87.74414063","'87.84179688","'90.13671875",
"'37.84179688","'41.38183594","'88.13476563","'88.23242188","'90.57617188",
"'37.98828125","'41.55273438","'88.52539063","'88.62304688","'90.96679688",
"'37.01171875","'40.47851563","'86.27929688","'86.32812500","'88.62304688",
"'37.03613281","'40.50292969","'86.32812500","'86.37695313","'88.67187500",
"'37.35351563","'40.84472656","'87.06054688","'87.15820313","'89.40429688",
"'43.21289063","'43.21289063","'93.16406250","'93.26171875","'95.70312500",
"'58.20312500","'58.20312500","'58.20312500","'58.20312500","'58.20312500",
"'39.79492188","'39.79492188","'39.79492188","'39.79492188","'39.79492188",
"'38.13476563","'41.69921875","'88.86718750","'88.96484375","'91.25976563",
"'37.86621094","'41.43066406","'88.23242188","'88.33007813","'90.67382813",
"'35.13183594","'38.42773438","'81.88476563","'81.93359375","'84.08203125",
"'41.21093750","'41.21093750","'92.96875000","'93.06640625","'95.50781250",
"'58.49609375","'58.49609375","'58.49609375","'58.49609375","'58.49609375",
"'43.77441406","'43.77441406","'43.77441406","'43.77441406","'43.77441406",
"'36.74316406","'36.74316406","'86.76757813","'86.86523438","'89.16015625",
"'37.06054688","'37.06054688","'88.42773438","'88.52539063","'90.86914063",
"'38.72070313","'38.72070313","'87.93945313","'88.03710938","'90.33203125",
"'42.72460938","'42.72460938","'92.77343750","'92.87109375","'95.31250000",
"'41.87011719","'41.87011719","'92.87109375","'92.96875000","'95.41015625",
