"'Statement of Proposed Operations for the Fiscal Year Ending June 30, 2024 Account Nc Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'ESTIMATED REVENUES","'","'","'",
"'44000 OTHER LOCAL REVENUES","'","'","'",
"'44100 Recurring Items","'","'","'",
"'44110 Investment Income","'383","'480","'800",
"'Total Recurring Items","'383","'480","'800",
"'47000 FEDERAL GOVERNMENT","'","'","'",
"'47100 Federal Through State","'","'","'",
"'47406 American Rescue Plan Act Grant#A(Health Dept)","'0","'0","'383,200",
"'47406 American Rescue Plan Act Grant#B(TDEC BALU)","'0","'0","'225,000",
"'Total Federal Through State Revenue","'0","'0","'608,200",
"'47000 FEDERAL GOVERNMENT","'","'","'",
"'47600 Direct Federal Revenue","'","'","'",
"'47902 American Rescue Plan Act Grant#7(SLFRF)","'2,445,266","'2,445,647","'0",
"'Total Direct Federal Revenue","'2,445,266","'2,445,647","'0",
"'Total Estimated Revenue","'2,445,649","'2,446,127","'609,000",
"'ESTIMATED EXPENDITURES","'","'","'",
"'58837 AMERICAN RESCUE PLAN ACT GRANT#7(SLFRF)","'","'","'",
"'188 Bonus Payments","'0","'550,000","'0",
"'201 Social Security","'0","'20,000","'0",
"'204 Pensions","'0","'25,000","'0",
"'339-TOC Matching Share","'0","'0","'696,552",
"'339-BALU Matching Share","'0","'0","'75,000",
"'713 Highway Construction","'0","'0","'861,000",
"'716 Law Enforcement Equipment","'0","'0","'0",
"'718-EMS Motor Vehicles","'0","'0","'0",
"'791-EMS Other Construction","'0","'0","'1,000,000",
"'Total Estimated American Rescue Plan Grant #7","'0","'595,000","'2,632,552",
"'58841 AMERICAN RESCUE PLAN ACT GRANT#A(Health Dept.)","'","'","'",
"'707 Building Improvements","'0","'0","'510,900",
"'Total Estimated American Rescue Plan Grant #A","'0","'0","'510,900",
"'58442 AMERICAN RESCUE PLAN ACT GRANT#B(TDEC BALU)","'","'","'",
"'399 Other Contracted Services","'0","'0","'225,000",
,,,

'Confidence Scores % (Table Cell)
""'37.28027344","'34.81445313","'36.88964844","'37.20703125",
"'69.18945313","'69.18945313","'69.18945313","'69.18945313",
"'46.09375000","'46.09375000","'46.09375000","'46.09375000",
"'39.50195313","'39.50195313","'39.50195313","'39.50195313",
"'80.37109375","'75.04882813","'79.49218750","'80.22460938",
"'94.14062500","'87.93945313","'93.16406250","'93.99414063",
"'50.39062500","'50.39062500","'50.39062500","'50.39062500",
"'41.77246094","'41.77246094","'41.77246094","'41.77246094",
"'84.37500000","'78.80859375","'83.49609375","'84.22851563",
"'87.15820313","'81.39648438","'86.23046875","'86.96289063",
"'94.14062500","'87.93945313","'93.16406250","'93.99414063",
"'54.00390625","'54.00390625","'54.00390625","'54.00390625",
"'40.20996094","'40.20996094","'40.20996094","'40.20996094",
"'71.19140625","'66.45507813","'70.41015625","'71.04492188",
"'93.06640625","'86.91406250","'92.08984375","'92.91992188",
"'92.23632813","'86.13281250","'91.25976563","'92.04101563",
"'80.12695313","'80.12695313","'80.12695313","'80.12695313",
"'60.20507813","'60.20507813","'60.20507813","'60.20507813",
"'78.80859375","'73.58398438","'77.97851563","'78.66210938",
"'86.52343750","'80.81054688","'85.59570313","'86.37695313",
"'85.40039063","'79.73632813","'84.52148438","'85.25390625",
"'87.01171875","'81.25000000","'86.08398438","'86.81640625",
"'88.28125000","'82.42187500","'87.30468750","'88.08593750",
"'88.18359375","'82.32421875","'87.25585938","'87.98828125",
"'88.57421875","'82.71484375","'87.64648438","'88.42773438",
"'86.57226563","'80.85937500","'85.64453125","'86.42578125",
"'88.18359375","'82.32421875","'87.25585938","'87.98828125",
"'93.84765625","'87.59765625","'92.82226563","'93.65234375",
"'48.24218750","'48.24218750","'48.24218750","'48.24218750",
"'65.18554688","'60.88867188","'64.50195313","'65.08789063",
"'93.35937500","'87.15820313","'92.38281250","'93.16406250",
"'86.13281250","'80.41992188","'85.20507813","'85.93750000",
"'77.92968750","'72.75390625","'77.09960938","'77.78320313",
