"'Account No. Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'719 Office Equipment","'4,582","'5,000","'5,000",
"'Total Property Assessor's Office","'250,867","'297,787","'308,662",
"'52400 County Trustee's Office","'","'","'",
"'101 County Official","'82,281","'86,395","'90,715",
"'106 Deputy","'33,920","'35,277","'37,041",
"'121 Data Processing Personnel","'27,081","'28,165","'29,574",
"'140 Salary Supplement","'3,647","'5,250","'5,625",
"'162 Clerical Personnel","'30,592","'31,816","'33,407",
"'169 Part-time Personnel","'9,318","'11,650","'15,000",
"'186 Longevity Pay","'1,900","'2,600","'2,900",
"'317 Data Processing Services","'12,599","'14,000","'13,000",
"'332 Legal Notices, Recording and Court Costs","'295","'400","'400",
"'349 Printing Stationary Forms","'4,796","'6,500","'6,800",
"'355 Travel","'1,130","'2,200","'2,200",
"'399 Other Contracted Services","'1,633","'3,325","'3,325",
"'435 Office Supplies","'2,169","'3,500","'3,500",
"'508 Surety Bond","'100","'13,365","'0",
"'524 In-Service/Staff Development","'810","'1,600","'1,600",
"'719 Office Equipment","'1,058","'3,000","'3,500",
"'Total Trustees Office","'213,329","'249,043","'248,587",
"'52500 County Clerk Office","'","'","'",
"'101 County Official","'82,281","'86,395","'90,715",
"'106 Deputy","'32,431","'33,729","'35,416",
"'140 Salary Supplement","'7,772","'7,500","'7,500",
"'161 Secretary","'30,913","'32,150","'33,758",
"'162 Clerical Personnel","'88,501","'92,042","'96,646",
"'169 Part-Time Personnel","'7,180","'15,000","'15,000",
"'186 Longevity Pay","'7,400","'7,900","'6,000",
"'317 Data Processing Services","'22,549","'28,535","'28,591",
"'355 Travel","'3,737","'4,000","'4,000",
"'435 Office Supplies","'3,409","'3,000","'3,000",
"'524 In-Service/Staff Development","'1,265","'1,400","'1,400",
"'719 Office Equipment","'14,385","'3,000","'3,000",
"'Total County Clerk","'301,823","'314,651","'325,026",
"'Total Finance","'1,048,403","'1,170,346","'1,206,645",
"'53000 ADMINISTRATION OF JUSTICE","'","'","'",
"'53100 Circuit Court","'","'","'",
"'101 County Official","'82,281","'86,395","'90,715",
"'106 Deputies","'141,322","'147,914","'180,310",
"'169 Part-time Personnel","'10,035","'10,000","'5,000",
"'186 Longevity Pay","'5,400","'5,800","'5,400",
"'189 Other Salaries and Wages","'30,000","'31,201","'27,573",
"'194 Jury & Witness Fees","'2,248","'6,500","'5,000",
,,,

'Confidence Scores % (Table Cell)
""'93.84765625","'94.14062500","'93.99414063","'92.82226563",
"'84.81445313","'85.05859375","'84.96093750","'83.83789063",
"'93.11523438","'93.40820313","'93.26171875","'92.04101563",
"'70.99609375","'70.99609375","'70.99609375","'70.99609375",
"'76.41601563","'76.66015625","'76.51367188","'75.53710938",
"'88.57421875","'88.86718750","'88.72070313","'87.54882813",
"'90.08789063","'90.38085938","'90.23437500","'89.06250000",
"'88.76953125","'89.01367188","'88.91601563","'87.74414063",
"'90.33203125","'90.62500000","'90.47851563","'89.30664063",
"'90.13671875","'90.42968750","'90.28320313","'89.11132813",
"'89.79492188","'90.03906250","'89.89257813","'88.76953125",
"'89.01367188","'89.30664063","'89.16015625","'88.03710938",
"'90.23437500","'90.52734375","'90.38085938","'89.20898438",
"'88.96484375","'89.20898438","'89.06250000","'87.93945313",
"'89.50195313","'89.79492188","'89.64843750","'88.47656250",
"'89.74609375","'89.99023438","'89.89257813","'88.72070313",
"'89.64843750","'89.89257813","'89.79492188","'88.62304688",
"'89.84375000","'90.08789063","'89.94140625","'88.81835938",
"'88.18359375","'88.47656250","'88.33007813","'87.20703125",
"'89.55078125","'89.84375000","'89.69726563","'88.52539063",
"'93.60351563","'93.89648438","'93.75000000","'92.57812500",
"'71.67968750","'71.67968750","'71.67968750","'71.67968750",
"'81.78710938","'82.03125000","'81.93359375","'80.85937500",
"'88.52539063","'88.81835938","'88.67187500","'87.50000000",
"'88.91601563","'89.16015625","'89.01367188","'87.89062500",
"'88.03710938","'88.28125000","'88.13476563","'87.01171875",
"'88.28125000","'88.57421875","'88.42773438","'87.30468750",
"'87.98828125","'88.23242188","'88.08593750","'86.96289063",
"'88.13476563","'88.42773438","'88.28125000","'87.15820313",
"'87.93945313","'88.18359375","'88.03710938","'86.91406250",
"'87.54882813","'87.84179688","'87.69531250","'86.57226563",
"'89.40429688","'89.69726563","'89.55078125","'88.37890625",
"'86.57226563","'86.86523438","'86.71875000","'85.59570313",
"'88.28125000","'88.57421875","'88.42773438","'87.30468750",
"'93.35937500","'93.65234375","'93.50585938","'92.28515625",
"'91.65039063","'91.89453125","'91.79687500","'90.57617188",
"'70.75195313","'70.75195313","'70.75195313","'70.75195313",
"'58.59375000","'58.59375000","'58.59375000","'58.59375000",
"'87.40234375","'87.69531250","'87.54882813","'86.42578125",
"'88.47656250","'88.76953125","'88.62304688","'87.50000000",
"'89.30664063","'89.59960938","'89.45312500","'88.28125000",
"'90.38085938","'90.67382813","'90.52734375","'89.35546875",
"'90.77148438","'91.01562500","'90.86914063","'89.74609375",
"'91.01562500","'91.30859375","'91.16210938","'89.99023438",
