"'Account No. Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'42110 Fines","'5,012","'4,200","'3,000",
"'42120 Officers Cost","'2,666","'2,500","'1,800",
"'42141 Drug Court Fees","'742","'650","'650",
"'42150 Jail Fees","'679","'700","'700",
"'42180 DUI Treatment Fines","'475","'350","'600",
"'42190 Data Entry Fee-Circuit Court","'394","'300","'400",
"'Total Circuit Court","'9,968","'8,700","'7,150",
"'42200 Criminal Court","'","'","'",
"'42280 DUI Treatment Fines","'542","'400","'400",
"'Total Criminal Court","'542","'400","'400",
"'42300 General Sessions Court","'","'","'",
"'42310 Fines","'7,353","'8,000","'10,000",
"'42320 Officers Cost","'28,091","'23,000","'29,000",
"'42330 Game and Fish Fines","'245","'300","'150",
"'42341 Drug Court Fees","'2,097","'1,600","'2,000",
"'42350 Jail Fees","'6,904","'6,500","'7,000",
"'42380 DUI Treatment Fines","'1,995","'2,000","'3,000",
"'42390 Data Entry Fee-General Sessions","'11,714","'9,500","'11,700",
"'Total General Sessions Court","'58,399","'50,900","'62,850",
"'42500 Chancery Court","'","'","'",
"'42520 Officers Costs","'1,817","'1,500","'800",
"'42530 Data Entry Fee-Chancery Court","'2,900","'3,000","'3,000",
"'Total Chancery Court","'4,717","'4,500","'3,800",
"'42800 Judicial District Drug Program","'","'","'",
"'42871 Courtroom Security Fee","'9,378","'8,000","'8,000",
"'Total Judicial District Drug Program","'9,378","'8,000","'8,000",
"'42900 Other Fines, Forfeitures, and Seizures","'","'","'",
"'42910 Proceeds from Confiscated Property","'1,664","'1,800","'2,500",
"'42990 Other Fines, Forfeitures, and Penalties","'388","'1,500","'400",
"'Total Other Fines, Forfeitures and Seizures","'2,052","'3,300","'2,900",
"'TOTAL FINES, FORFEITURES AND PENALTIES","'85,056","'75,800","'85,100",
"'43000 CHARGES FOR CURRENT SERVICES","'","'","'",
"'43100 General Services","'","'","'",
"'43102 Other Employee Benefit Charges/Contrib","'42,174","'25,000","'25,000",
"'43120 Patient Charges","'1,097,303","'1,200,000","'1,200,000",
"'Total Charges for General Services","'1,139,477","'1,225,000","'1,225,000",
,,,

'Confidence Scores % (Table Cell)
""'67.62695313","'92.77343750","'92.67578125","'94.92187500",
"'61.47460938","'84.32617188","'84.22851563","'86.27929688",
"'61.76757813","'84.71679688","'84.61914063","'86.71875000",
"'64.25781250","'88.13476563","'88.03710938","'90.18554688",
"'64.59960938","'88.62304688","'88.52539063","'90.67382813",
"'63.86718750","'87.59765625","'87.50000000","'89.64843750",
"'59.71679688","'81.88476563","'81.78710938","'83.78906250",
"'67.38281250","'92.43164063","'92.33398438","'94.58007813",
"'57.86132813","'57.86132813","'57.86132813","'57.86132813",
"'44.84863281","'61.52343750","'61.47460938","'62.93945313",
"'67.38281250","'92.38281250","'92.28515625","'94.53125000",
"'62.98828125","'62.98828125","'62.98828125","'62.98828125",
"'56.05468750","'76.90429688","'76.80664063","'78.71093750",
"'62.93945313","'86.32812500","'86.23046875","'88.33007813",
"'63.62304688","'87.25585938","'87.15820313","'89.30664063",
"'64.16015625","'88.03710938","'87.93945313","'90.08789063",
"'63.42773438","'87.01171875","'86.91406250","'89.06250000",
"'62.35351563","'85.54687500","'85.44921875","'87.54882813",
"'61.18164063","'83.88671875","'83.78906250","'85.83984375",
"'67.38281250","'92.43164063","'92.33398438","'94.58007813",
"'65.13671875","'65.13671875","'65.13671875","'65.13671875",
"'53.66210938","'73.58398438","'73.53515625","'75.34179688",
"'59.71679688","'81.93359375","'81.83593750","'83.83789063",
"'67.43164063","'92.48046875","'92.38281250","'94.62890625",
"'64.25781250","'64.25781250","'64.25781250","'64.25781250",
"'47.80273438","'65.57617188","'65.47851563","'67.08984375",
"'67.23632813","'92.18750000","'92.08984375","'94.38476563",
"'56.98242188","'56.98242188","'56.98242188","'56.98242188",
"'50.73242188","'69.58007813","'69.48242188","'71.19140625",
"'59.13085938","'81.10351563","'81.00585938","'83.00781250",
"'67.18750000","'92.13867188","'92.04101563","'94.28710938",
"'66.16210938","'90.72265625","'90.62500000","'92.87109375",
"'59.08203125","'59.08203125","'59.08203125","'59.08203125",
"'52.24609375","'52.24609375","'52.24609375","'52.24609375",
"'62.25585938","'85.35156250","'85.25390625","'87.35351563",
"'59.22851563","'81.25000000","'81.15234375","'83.10546875",
"'67.82226563","'93.01757813","'92.91992188","'95.21484375",
