"'Account No.","'Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'47235-TSEE","'Homeland Security Grants-Traffic Safety Enforcement","'0","'0","'25,000",
"'47250-ELC","'Law Enforcement Grants-ELC Confinement Facility","'0","'0","'176,290",
"'47250-VCIF","'Law Enforcement Grants-Violent Crime","'0","'0","'96,806",
"'47301","'Covid 19 Grant#1-Dept of Health Drug Room","'0","'0","'100,000",
"'47401","'American Rescue Plan Act-CESF Video Arraignment","'13,200","'0","'0",
"'47405-LIB","'American Rescue Plan Act-Library","'7,144","'0","'0",
"'47590","'Other Federal Through State","'0","'0","'0",
"'","'Total Federal Through State","'62,235","'39,727","'439,757",
"'47600","'DIRECT FEDERAL REVENUE","'","'","'",
"'47990","'Other Direct Federal","'4,194","'0","'0",
"'","'Total Direct Federal","'4,194","'0","'0",
"'","'TOTAL FEDERAL GOVERNMENT","'66,429","'39,727","'439,757",
"'48000","'OTHER GOVERNMENTS AND CITIZEN GROUPS","'","'","'",
"'48100","'Other Governments","'","'","'",
"'48130","'Contributions","'50,000","'45,000","'45,000",
"'","'Total Other Governments","'50,000","'45,000","'45,000",
"'48600","'Citizens Groups","'","'","'",
"'48610","'Donations","'0","'0","'0",
"'48610-AMB","'Donation-Ambulance Service","'100","'0","'0",
"'48610-HOSP","'Donations-Ascension St. Thomas Hickman","'5,000","'5,000","'5,000",
"'48610-LIB","'Donations-Library","'0","'0","'0",
"'","'Total Citizen Groups","'5,100","'5,000","'5,000",
"'","'TOTAL OTHER GOVERNMENTS AND CITIZEN GROUPS","'55,100","'50,000","'50,000",
"'","'TOTAL ESIMATED REVENUES","'14,096,670","'13,514,244","'14,941,338",
"'49000","'ESTIMATED OTHER SOURCES (NON-REVENUE)","'","'","'",
"'49700","'Insurance Recovery","'47,915","'40,000","'40,000",
"'49800","'Transfers In","'35,000","'35,000","'35,000",
"'","'TOTAL ESTIMATED OTHER SOURCES (NON-REVENUE","'82,915","'75,000","'75,000",
"'","'TOTAL ESTIMATED REVENUES AND OTHER SOURCE:","'14,179,585","'13,589,244","'15,016,338",
"'","'ESTIMATED EXPENDITURES","'","'","'",
"'51000","'GENERAL ADMINISTRATION","'","'","'",
"'51100","'County Commission","'","'","'",
"'191","'Board and Committee Members Fees","'50,200","'36,400","'33,600",
"'215","'On-behalf Payments to OPEB","'0","'0","'0",
,,,,

'Confidence Scores % (Table Cell)
""'34.42382813","'40.94238281","'88.13476563","'89.55078125","'90.47851563",
"'30.27343750","'35.98632813","'77.49023438","'78.71093750","'79.49218750",
"'30.78613281","'36.59667969","'78.80859375","'80.02929688","'80.85937500",
"'32.54394531","'38.72070313","'83.34960938","'84.66796875","'85.49804688",
"'32.15332031","'38.23242188","'82.27539063","'83.59375000","'84.42382813",
"'41.30859375","'41.30859375","'81.59179688","'82.86132813","'83.74023438",
"'42.62695313","'42.62695313","'81.20117188","'82.47070313","'83.30078125",
"'46.97265625","'46.97265625","'77.68554688","'78.95507813","'79.73632813",
"'45.60546875","'45.60546875","'87.69531250","'89.11132813","'89.99023438",
"'40.55175781","'40.55175781","'40.55175781","'40.55175781","'40.55175781",
"'37.57324219","'37.57324219","'54.34570313","'55.22460938","'55.81054688",
"'46.58203125","'46.58203125","'87.06054688","'88.42773438","'89.35546875",
"'47.75390625","'47.75390625","'85.93750000","'87.25585938","'88.18359375",
"'51.17187500","'51.17187500","'51.17187500","'51.17187500","'51.17187500",
"'37.57324219","'37.57324219","'37.57324219","'37.57324219","'37.57324219",
"'44.55566406","'44.55566406","'66.65039063","'67.67578125","'68.40820313",
"'49.02343750","'49.02343750","'87.59765625","'88.96484375","'89.89257813",
"'56.29882813","'56.29882813","'56.29882813","'56.29882813","'56.29882813",
"'42.72460938","'42.72460938","'62.15820313","'63.13476563","'63.76953125",
"'46.38671875","'46.38671875","'81.39648438","'82.66601563","'83.49609375",
"'47.65625000","'47.65625000","'81.64062500","'82.91015625","'83.78906250",
"'44.16503906","'44.16503906","'75.97656250","'77.19726563","'77.97851563",
"'47.94921875","'47.94921875","'86.91406250","'88.28125000","'89.20898438",
"'49.70703125","'49.70703125","'84.52148438","'85.83984375","'86.71875000",
"'48.53515625","'48.53515625","'86.37695313","'87.74414063","'88.67187500",
"'46.19140625","'46.19140625","'46.19140625","'46.19140625","'46.19140625",
"'42.91992188","'42.91992188","'60.98632813","'61.96289063","'62.59765625",
"'49.02343750","'49.02343750","'78.85742188","'80.07812500","'80.90820313",
"'52.34375000","'52.34375000","'86.96289063","'88.33007813","'89.25781250",
"'51.66015625","'51.66015625","'83.98437500","'85.30273438","'86.18164063",
"'62.59765625","'62.59765625","'62.59765625","'62.59765625","'62.59765625",
"'45.70312500","'45.70312500","'45.70312500","'45.70312500","'45.70312500",
"'43.87207031","'43.87207031","'43.87207031","'43.87207031","'43.87207031",
"'41.77246094","'41.77246094","'80.17578125","'81.44531250","'82.27539063",
"'50.19531250","'50.19531250","'85.98632813","'87.35351563","'88.28125000",
