"'Account No. Description","'Actual 2021-2022","'Original Estimate 2022-2023","'Estimate 2023-2024",
"'ESTIMATED REVENUES","'","'","'",
"'40000 Local Taxes","'","'","'",
"'40100 County Property Taxes","'","'","'",
"'40110 Current Property Taxes","'3,121,833","'2,953,480","'2,974,879",
"'40120 Trustee's Collection - Prior Year","'70,762","'80,000","'65,000",
"'40125 Trustee's Collection - Bankruptcy","'1,595","'0","'500",
"'40130 Circuit/Clerk & Master Collections - Prior Years","'46,819","'45,000","'47,000",
"'40140 Interest and Penalty","'14,851","'21,000","'15,000",
"'40161 Payments in Lieu of Taxes - TVA","'3,036","'4,000","'4,000",
"'40162 Payments in Lieu of Taxes - Local Utilities","'6,000","'6,000","'6,000",
"'40200 County Local Option Taxes","'","'","'",
"'40210 Local Option Sales Tax","'2,656,898","'2,350,000","'2,455,008",
"'40270 Business Tax","'44,015","'30,000","'35,000",
"'40300 Statutory Local Taxes","'","'","'",
"'40320 Bank Excise Tax","'0","'0","'0",
"'40350 Interstate Telecommunication Tax","'0","'0","'0",
"'Total Local Taxes","'5,965,809","'5,489,480","'5,602,387",
"'41000 Licenses and Permits","'","'","'",
"'41100 Licenses","'","'","'",
"'41110 Marriage Licenses","'1,188","'1,300","'1,300",
"'Total Licenses and Permits","'1,188","'1,300","'1,300",
"'43000 Charges for Current Services","'","'","'",
"'43500 Education Charges","'","'","'",
"'43517 Tuition - Other","'2,900","'2,000","'2,000",
"'43570 Receipts from Individual Schools","'2,669","'30,000","'30,000",
"'43582 Community Service Fees Adults","'150","'200","'200",
"'Total Charges for Current Services","'5,719","'32,200","'32,200",
"'44000 Other Local Revenues","'","'","'",
"'44100 Recurring Items","'","'","'",
"'44110 Investment Income","'-420,219","'0","'0",
"'44120 Lease/Rentals","'10,602","'10,000","'10,000",
"'44170 Miscellaneous Refunds","'44,381","'30,000","'30,000",
"'44500 Nonrecurring Items","'","'","'",
"'44530 Sale of Equipment","'11,729","'15,000","'15,000",
"'44560 Damages Recovered from Individuals","'866","'3,000","'3,000",
"'44570 Contributions and Gifts","'18,361","'15,000","'15,000",
"'44990 Other Local Revenues","'0","'0","'0",
,,,

'Confidence Scores % (Table Cell)
""'42.33398438","'92.57812500","'93.40820313","'95.75195313",
"'79.93164063","'79.93164063","'79.93164063","'79.93164063",
"'48.63281250","'48.63281250","'48.63281250","'48.63281250",
"'50.00000000","'50.00000000","'50.00000000","'50.00000000",
"'44.36035156","'88.28125000","'89.11132813","'91.35742188",
"'46.19140625","'87.15820313","'87.98828125","'90.13671875",
"'48.53515625","'88.37890625","'89.20898438","'91.45507813",
"'47.26562500","'88.13476563","'88.96484375","'91.16210938",
"'48.14453125","'88.52539063","'89.35546875","'91.55273438",
"'46.19140625","'88.13476563","'88.96484375","'91.16210938",
"'50.29296875","'90.23437500","'91.06445313","'93.31054688",
"'43.57910156","'43.57910156","'43.57910156","'43.57910156",
"'53.02734375","'89.59960938","'90.42968750","'92.67578125",
"'77.34375000","'89.50195313","'90.33203125","'92.57812500",
"'51.46484375","'51.46484375","'51.46484375","'51.46484375",
"'52.83203125","'85.93750000","'86.71875000","'88.86718750",
"'54.19921875","'86.76757813","'87.59765625","'89.79492188",
"'52.63671875","'91.84570313","'92.67578125","'94.97070313",
"'61.13281250","'61.13281250","'61.13281250","'61.13281250",
"'49.51171875","'49.51171875","'49.51171875","'49.51171875",
"'49.02343750","'83.25195313","'84.03320313","'86.13281250",
"'52.24609375","'91.35742188","'92.23632813","'94.53125000",
"'57.08007813","'57.08007813","'57.08007813","'57.08007813",
"'47.94921875","'47.94921875","'47.94921875","'47.94921875",
"'61.86523438","'83.34960938","'84.13085938","'86.23046875",
"'78.66210938","'85.05859375","'85.83984375","'87.98828125",
"'58.15429688","'83.30078125","'84.08203125","'86.18164063",
"'55.56640625","'91.06445313","'91.89453125","'94.18945313",
"'65.82031250","'65.82031250","'65.82031250","'65.82031250",
"'52.14843750","'52.14843750","'52.14843750","'52.14843750",
"'89.40429688","'83.93554688","'84.71679688","'86.81640625",
"'89.79492188","'85.74218750","'86.52343750","'88.67187500",
"'93.01757813","'89.74609375","'90.62500000","'92.87109375",
"'55.27343750","'55.27343750","'55.27343750","'55.27343750",
"'93.35937500","'86.18164063","'87.01171875","'89.16015625",
"'91.99218750","'87.54882813","'88.37890625","'90.57617188",
"'89.74609375","'85.59570313","'86.42578125","'88.52539063",
"'96.14257813","'90.67382813","'91.55273438","'93.79882813",
