"'Account No. Description","'Actual 2021-2022","'Original Estimate 2022-2023","'Estimate 2023-2024",
"'ESTIMATED EXPENDITURES","'","'","'",
"'71000 Instruction","'","'","'",
"'71100 Regular Instruction Program","'","'","'",
"'116 Teachers","'9,012,167","'9,840,000","'10,065,910",
"'117 Career Ladder Program","'44,755","'50,000","'45,000",
"'128 Homebound Teachers","'0","'12,000","'10,797",
"'140 Salary Supplements","'320,219","'335,602","'414,200",
"'163 Educational Assistants","'350,924","'324,240","'402,000",
"'189 Other Salaries and Wages","'384,947","'412,120","'405,000",
"'198 Non-Certified Substitute Teachers","'149,459","'185,000","'185,000",
"'201 Social Security","'757,909","'853,661","'1,095,393",
"'204 State Retirement","'839,112","'1,000,000","'972,254",
"'207 Medical Insurance","'1,384,595","'1,870,840","'2,270,840",
"'215 On-behalf Payments to OPEB","'19,011","'0","'0",
"'336 Maint and Repair Service - Equipment","'16,000","'16,000","'16,000",
"'399 Other Contracted Services","'50,747","'85,000","'85,000",
"'429 Instructional Supplies and Materials","'145,797","'125,000","'125,000",
"'449 Textbooks","'17,743","'100,000","'175,000",
"'499 Other Supplies and Materials","'21,039","'10,000","'10,000",
"'599 Other Charges","'2,337","'0","'0",
"'722 Regular Instructional Equipment","'84,673","'100,000","'100,000",
"'Total Instructional Program","'13,601,434","'15,319,463","'16,377,394",
"'71150 Alternative Instruction Program","'","'","'",
"'116 Teachers","'103,355","'150,000","'190,000",
"'163 Educational Assistants","'18,371","'20,535","'22,900",
"'201 Social Security","'8,955","'13,046","'16,287",
"'204 State Retirement","'10,519","'17,906","'19,811",
"'207 Medical Insurance","'13,800","'31,600","'33,812",
"'355 Travel","'0","'2,500","'3,000",
"'429 Instructional Supplies and Materials","'313","'1,000","'1,500",
"'499 Other Supplies and Materials","'1,044","'1,500","'1,500",
"'Total Alternative Schools","'156,357","'238,087","'288,810",
"'71200 Special Education Program","'","'","'",
"'116 Teachers","'1,595,917","'1,695,000","'1,908,233",
"'124 Psychological Personnel","'64,000","'68,000","'77,203",
"'128 Homebound Teachers","'1,348","'24,175","'15,000",
"'163 Educational Assistants","'285,263","'342,768","'406,000",
"'171 Speech Pathologist","'184,212","'225,858","'260,000",
"'201 Social Security","'156,277","'180,219","'201,971",
"'204 State Retirement","'207,500","'216,805","'237,779",
"'207 Medical Insurance","'308,625","'336,192","'359,725",
"'399 Other Contracted Services","'219,289","'240,000","'250,000",
"'499 Other Supplies and Materials","'0","'0","'5,000",
"'Total Special Educational Program","'3,022,431","'3,329,017","'3,720,911",
,,,

'Confidence Scores % (Table Cell)
""'53.27148438","'94.09179688","'93.40820313","'96.43554688",
"'64.59960938","'64.59960938","'64.59960938","'64.59960938",
"'42.43164063","'42.43164063","'42.43164063","'42.43164063",
"'40.30761719","'40.30761719","'40.30761719","'40.30761719",
"'52.09960938","'91.99218750","'91.35742188","'94.28710938",
"'51.31835938","'90.62500000","'89.94140625","'92.82226563",
"'51.36718750","'90.72265625","'90.03906250","'92.91992188",
"'51.51367188","'90.91796875","'90.28320313","'93.16406250",
"'50.97656250","'89.99023438","'89.35546875","'92.23632813",
"'51.17187500","'90.33203125","'89.69726563","'92.52929688",
"'50.68359375","'89.50195313","'88.86718750","'91.69921875",
"'51.46484375","'90.86914063","'90.23437500","'93.11523438",
"'51.22070313","'90.47851563","'89.84375000","'92.67578125",
"'51.31835938","'90.62500000","'89.94140625","'92.82226563",
"'51.31835938","'90.67382813","'89.99023438","'92.87109375",
"'51.61132813","'91.16210938","'90.52734375","'93.40820313",
"'51.12304688","'90.28320313","'89.64843750","'92.52929688",
"'51.31835938","'90.62500000","'89.94140625","'92.82226563",
"'50.68359375","'89.50195313","'88.86718750","'91.69921875",
"'51.17187500","'90.33203125","'89.69726563","'92.52929688",
"'50.34179688","'88.91601563","'88.28125000","'91.11328125",
"'49.24316406","'86.91406250","'86.32812500","'89.06250000",
"'53.07617188","'93.75000000","'93.06640625","'96.04492188",
"'59.17968750","'59.17968750","'59.17968750","'59.17968750",
"'45.65429688","'80.61523438","'80.02929688","'82.56835938",
"'48.63281250","'85.83984375","'85.25390625","'87.98828125",
"'49.43847656","'87.30468750","'86.66992188","'89.45312500",
"'48.41308594","'85.49804688","'84.86328125","'87.59765625",
"'49.95117188","'88.18359375","'87.54882813","'90.38085938",
"'48.21777344","'85.15625000","'84.57031250","'87.25585938",
"'49.48730469","'87.40234375","'86.76757813","'89.55078125",
"'47.60742188","'84.03320313","'83.44726563","'86.13281250",
"'53.07617188","'93.70117188","'93.01757813","'95.99609375",
"'59.61914063","'59.61914063","'59.61914063","'59.61914063",
"'45.53222656","'80.41992188","'79.83398438","'82.37304688",
"'49.04785156","'86.62109375","'85.98632813","'88.72070313",
"'50.34179688","'88.91601563","'88.28125000","'91.11328125",
"'49.19433594","'86.86523438","'86.27929688","'89.01367188",
"'48.99902344","'86.52343750","'85.88867188","'88.62304688",
"'49.97558594","'88.23242188","'87.59765625","'90.42968750",
"'49.41406250","'87.25585938","'86.62109375","'89.40429688",
"'49.82910156","'87.98828125","'87.35351563","'90.18554688",
"'49.48730469","'87.40234375","'86.76757813","'89.55078125",
"'49.51171875","'87.45117188","'86.81640625","'89.59960938",
"'53.12500000","'93.84765625","'93.16406250","'96.14257813",
