"'Account No. Description","'Actual 2021-2022","'Original Estimated 2022-2023","'Estimated 2023-2024",
"'82230 Education","'","'","'",
"'613 Interest on other Loans","'129,762","'338,009","'297,230",
"'Total Education","'129,762","'338,009","'297,230",
"'82300 OTHER DEBT SERVICE","'","'","'",
"'82310 General Government","'","'","'",
"'510 Trustees Commission","'26,774","'45,000","'45,000",
"'699 Other Debt Service","'25,498","'24,026","'21,608",
"'Total General Government","'52,272","'69,026","'66,608",
"'82320 Highway and Streets","'","'","'",
"'699 Other Debt Service","'0","'0","'0",
"'Total Highways and Streets","'0","'0","'0",
"'82330 Education","'","'","'",
"'699 Other Debt Service","'61,101","'54,591","'47,578",
"'Total Education","'61,101","'54,591","'47,578",
"'Total Interest Payments","'355,859","'689,686","'605,745",
"'Total Principal and Interest Payments","'2,623,466","'3,101,565","'2,796,479",
"'99000 OTHER USES","'","'","'",
"'99100 Transfers Out","'","'","'",
"'590 Transfers to Other Funds","'0","'0","'0",
"'Total Estimated Other Uses","'0","'0","'0",
"'Total Estimated Expenditures and Other Uses","'2,623,466","'3,101,565","'2,796,479",
"'Excess of Estimated Revenues and Other Sources Over","'","'","'",
"'(Under) Estimated Expenditures and Other Uses","'662,656","'(103,173)","'476,159",
"'Estimated Beginning Fund Balance, July 1","'2,621,057","'3,283,713","'3,900,000",
"'Fund Balance Audit Adjustment","'","'","'",
"'Estimated Ending fund Balance, June 30","'3,283,713","'3,180,540","'4,376,159",
,,,

'Confidence Scores % (Table Cell)
""'40.72265625","'90.62500000","'90.13671875","'94.48242188",
"'53.80859375","'53.80859375","'53.80859375","'53.80859375",
"'26.34277344","'58.64257813","'58.30078125","'61.13281250",
"'40.18554688","'89.45312500","'88.96484375","'93.26171875",
"'55.17578125","'55.17578125","'55.17578125","'55.17578125",
"'39.74609375","'39.74609375","'39.74609375","'39.74609375",
"'31.05468750","'69.09179688","'68.75000000","'72.07031250",
"'34.39941406","'76.51367188","'76.12304688","'79.83398438",
"'40.60058594","'90.33203125","'89.84375000","'94.23828125",
"'49.41406250","'49.41406250","'49.41406250","'49.41406250",
"'25.31738281","'56.34765625","'56.00585938","'58.74023438",
"'40.28320313","'89.59960938","'89.16015625","'93.45703125",
"'59.81445313","'59.81445313","'59.81445313","'59.81445313",
"'27.66113281","'61.52343750","'61.23046875","'64.20898438",
"'39.30664063","'87.45117188","'87.01171875","'91.21093750",
"'39.35546875","'87.54882813","'87.10937500","'91.30859375",
"'39.28222656","'87.40234375","'86.96289063","'91.16210938",
"'63.52539063","'63.52539063","'63.52539063","'63.52539063",
"'44.06738281","'44.06738281","'44.06738281","'44.06738281",
"'29.10156250","'64.74609375","'64.40429688","'67.52929688",
"'39.16015625","'87.15820313","'86.66992188","'90.86914063",
"'40.52734375","'90.18554688","'89.74609375","'94.09179688",
"'40.91796875","'40.91796875","'40.91796875","'40.91796875",
"'16.19873047","'36.05957031","'35.86425781","'37.59765625",
"'37.28027344","'82.95898438","'82.51953125","'86.52343750",
"'40.45410156","'40.45410156","'40.45410156","'40.45410156",
"'19.20166016","'42.74902344","'42.50488281","'44.58007813",
